"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Matt Prater (DET)","5","5","100.0","54","0","2","0","1","2","1","1","1","21.0","21.0","79.0%"
"2","Joey Slye (CAR)","3","5","60.0","49","0","1","0","2","0","4","4","1","15.0","15.0","18.0%"
"3","Brett Maher (NYJ)","3","4","75.0","62","0","0","1","0","2","1","1","1","14.0","14.0","2.0%"
"4","Brandon McManus (DEN)","3","3","100.0","53","0","0","1","1","1","1","1","1","13.0","13.0","8.0%"
"5","Justin Tucker (BAL)","3","3","100.0","49","0","1","0","2","0","2","2","1","13.0","13.0","100.0%"
"6","Mason Crosby (GB)","3","3","100.0","48","0","1","1","1","0","2","2","1","12.0","12.0","15.0%"
"7","Zane Gonzalez (ARI)","2","2","100.0","39","0","1","1","0","0","4","4","1","10.0","10.0","68.0%"
"8","Jake Elliott (PHI)","2","2","100.0","53","0","0","0","1","1","2","2","1","10.0","10.0","35.0%"
"9","Matt Bryant (FA)","2","2","100.0","44","0","1","0","1","0","3","4","1","10.0","10.0","2.0%"
"10","Robbie Gould (SF)","2","3","66.7","34","0","1","1","0","0","2","2","1","8.0","8.0","90.0%"
"11","Wil Lutz (NO)","2","2","100.0","47","0","1","0","1","0","1","1","1","8.0","8.0","99.0%"
"12","Jason Myers (SEA)","2","2","100.0","38","0","1","1","0","0","2","3","1","8.0","8.0","22.0%"
"13","Dan Bailey (MIN)","1","1","100.0","39","0","0","1","0","0","5","5","1","8.0","8.0","41.0%"
"14","Harrison Butker (KC)","1","2","50.0","41","0","0","0","1","0","3","3","1","7.0","7.0","99.0%"
"15","Chris Boswell (PIT)","1","1","100.0","20","0","1","0","0","0","3","3","1","6.0","6.0","11.0%"
"16","Josh Lambo (JAC)","2","2","100.0","32","0","1","1","0","0","0","0","1","6.0","6.0","5.0%"
"17","Sam Ficken (NYJ)","1","1","100.0","38","0","0","1","0","0","3","3","1","6.0","6.0","0.0%"
"18","Ka'imi Fairbairn (HOU)","1","2","50.0","44","0","0","0","1","0","2","3","1","6.0","6.0","32.0%"
"19","Matt Gay (TB)","1","1","100.0","54","0","0","0","0","1","1","1","1","6.0","6.0","77.0%"
"20","Chase McLaughlin (IND)","1","2","50.0","38","0","0","1","0","0","2","2","1","5.0","5.0","1.0%"
"21","Randy Bullock (CIN)","1","1","100.0","22","0","1","0","0","0","2","2","1","5.0","5.0","2.0%"
"22","Mike Nugent (FA)","0","1","0.0","0","0","0","0","0","0","5","5","1","5.0","5.0","1.0%"
"23","Dustin Hopkins (WAS)","1","2","50.0","21","0","1","0","0","0","2","2","1","5.0","5.0","1.0%"
"24","Jason Sanders (MIA)","1","1","100.0","39","0","0","1","0","0","1","1","1","4.0","4.0","1.0%"
"25","Austin Seibert (CLE)","0","0","0","0","0","0","0","0","0","2","3","1","2.0","2.0","4.0%"
"26","Aldrick Rosas (FA)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","1.0%"
"27","Greg Zuerlein (DAL)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","97.0%"
"28","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"29","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.0%"
"30","Daniel Carlson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"31","Eddy Pineiro (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"32","Greg Joseph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"33","Kaare Vedvik (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"34","Chandler Catanzaro (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Michael Badgley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.0%"
"36","Cody Parkey (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"37","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"38","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"39","Tristan Vizcaino (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Elliott Fry (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"43","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Sam Sloman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Lirim Hajrullahu (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"47","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Ramiz Ahmed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
