"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Jason Sanders (MIA)","7","8","87.5","53","0","3","2","1","1","0","0","1","24.0","24.0","1.0%"
"2","Younghoe Koo (ATL)","4","4","100.0","50","0","1","2","0","1","4","4","1","18.0","18.0","40.0%"
"3","Randy Bullock (CIN)","4","4","100.0","46","0","1","1","2","0","1","1","1","15.0","15.0","2.0%"
"4","Wil Lutz (NO)","2","2","100.0","55","0","0","0","1","1","4","4","1","13.0","13.0","99.0%"
"5","Robbie Gould (SF)","2","2","100.0","41","0","0","1","1","0","6","6","1","13.0","13.0","90.0%"
"6","Harrison Butker (KC)","3","3","100.0","48","0","0","1","2","0","2","2","1","13.0","13.0","99.0%"
"7","Sam Ficken (NYJ)","3","3","100.0","44","0","0","1","2","0","1","2","1","12.0","12.0","0.0%"
"8","Chris Boswell (PIT)","3","3","100.0","37","0","1","2","0","0","2","2","1","11.0","11.0","11.0%"
"9","Stephen Hauschka (BUF)","3","3","100.0","48","0","0","1","2","0","0","0","1","11.0","11.0","4.0%"
"10","Chase McLaughlin (IND)","2","3","66.7","50","1","0","0","0","1","3","3","1","11.0","11.0","1.0%"
"11","Austin Seibert (CLE)","2","2","100.0","53","0","0","1","0","1","3","3","1","11.0","11.0","4.0%"
"12","Joey Slye (CAR)","2","2","100.0","46","0","0","0","2","0","2","2","1","10.0","10.0","18.0%"
"13","Michael Badgley (LAC)","1","1","100.0","40","0","0","0","1","0","6","6","1","10.0","10.0","29.0%"
"14","Dan Bailey (MIN)","2","2","100.0","50","0","1","0","0","1","2","2","1","10.0","10.0","41.0%"
"15","Matt Gay (TB)","1","1","100.0","44","0","0","0","1","0","5","5","1","9.0","9.0","77.0%"
"16","Brandon McManus (DEN)","1","1","100.0","36","0","0","1","0","0","5","5","1","8.0","8.0","8.0%"
"17","Mason Crosby (GB)","2","2","100.0","33","0","0","2","0","0","2","2","1","8.0","8.0","15.0%"
"18","Ka'imi Fairbairn (HOU)","1","1","100.0","54","0","0","0","0","1","3","3","1","8.0","8.0","32.0%"
"19","Eddy Pineiro (CHI)","1","1","100.0","36","0","0","1","0","0","4","4","1","7.0","7.0","1.0%"
"20","Jason Myers (SEA)","2","2","100.0","39","0","0","2","0","0","0","1","1","6.0","6.0","22.0%"
"21","Ryan Succop (FA)","0","1","0.0","0","0","0","0","0","0","6","6","1","6.0","6.0","0.0%"
"22","Justin Tucker (BAL)","1","1","100.0","36","0","0","1","0","0","3","3","1","6.0","6.0","100.0%"
"23","Brett Maher (NYJ)","1","2","50.0","31","0","0","1","0","0","3","3","1","6.0","6.0","2.0%"
"24","Zane Gonzalez (ARI)","1","1","100.0","30","0","0","1","0","0","2","2","1","5.0","5.0","68.0%"
"25","Dustin Hopkins (WAS)","1","1","100.0","52","0","0","0","0","1","0","1","1","5.0","5.0","1.0%"
"26","Aldrick Rosas (FA)","1","1","100.0","34","0","0","1","0","0","2","2","1","5.0","5.0","1.0%"
"27","Jake Elliott (PHI)","1","2","50.0","34","0","0","1","0","0","2","2","1","5.0","5.0","35.0%"
"28","Greg Zuerlein (DAL)","0","1","0.0","0","0","0","0","0","0","4","4","1","4.0","4.0","97.0%"
"29","Josh Lambo (JAC)","1","1","100.0","26","0","1","0","0","0","1","1","1","4.0","4.0","5.0%"
"30","Nick Folk (FA)","1","2","50.0","29","0","1","0","0","0","1","1","1","4.0","4.0","0.0%"
"31","Daniel Carlson (LV)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","2.0%"
"32","Matt Prater (DET)","0","1","0.0","0","0","0","0","0","0","1","1","1","1.0","1.0","79.0%"
"33","Greg Joseph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"34","Kaare Vedvik (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"36","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"37","Ryan Santoso (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"38","Chandler Catanzaro (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"40","Tristan Vizcaino (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Elliott Fry (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"44","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Sam Sloman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Lirim Hajrullahu (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"48","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Ramiz Ahmed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
