"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Breshad Perriman (NYJ)","5","6","113","22.6","34","4","3","1","3","0","0","1","29.6","29.6","39.0%"
"2","Julio Jones (ATL)","13","20","134","10.3","28","2","2","0","0","0","0","1","25.4","25.4","100.0%"
"3","Jamison Crowder (NYJ)","6","11","90","15.0","41","1","2","0","0","0","0","1","21.0","21.0","55.0%"
"4","DeVante Parker (MIA)","4","7","72","18.0","29","2","2","0","0","0","0","1","19.2","19.2","96.0%"
"5","Terry McLaurin (WAS)","5","5","130","26.0","75","2","1","0","0","0","0","1","19.0","19.0","95.0%"
"6","Michael Thomas (NO)","12","12","128","10.7","24","2","1","0","0","0","0","1","18.8","18.8","100.0%"
"7","Tyreek Hill (KC)","5","7","67","13.4","41","1","2","1","1","0","0","1","18.8","18.8","100.0%"
"8","Tyler Lockett (SEA)","8","9","120","15.0","44","2","1","0","0","0","0","1","18.0","18.0","97.0%"
"9","Anthony Miller (CHI)","9","15","118","13.1","33","2","1","0","0","0","0","1","17.8","17.8","50.0%"
"10","A.J. Brown (TEN)","8","13","114","14.3","60","1","1","0","0","0","0","1","17.4","17.4","99.0%"
"11","Chris Conley (JAC)","4","8","49","12.3","21","1","2","0","0","0","0","1","16.9","16.9","3.0%"
"12","Davante Adams (GB)","7","13","103","14.7","34","2","1","0","0","0","0","1","16.3","16.3","100.0%"
"13","Kenny Stills (HOU)","3","3","35","11.7","16","0","2","0","0","0","0","1","15.5","15.5","11.0%"
"14","Mike Williams (LAC)","4","9","71","17.8","39","1","1","0","0","0","0","1","13.1","13.1","72.0%"
"15","Seth Roberts (CAR)","3","3","66","22.0","33","2","1","0","0","0","0","1","12.6","12.6","0.0%"
"16","Allen Robinson (CHI)","7","14","125","17.9","34","3","0","0","0","0","0","1","12.5","12.5","99.0%"
"17","D.J. Moore (CAR)","8","12","113","14.1","22","2","0","1","10","0","0","1","12.3","12.3","98.0%"
"18","Tavon Austin (FA)","1","1","59","59.0","59","1","1","2","3","0","0","1","12.2","12.2","0.0%"
"19","Greg Ward (PHI)","7","9","61","8.7","13","0","1","0","0","0","0","1","12.1","12.1","1.0%"
"20","Chris Godwin (TB)","5","8","121","24.2","51","3","0","0","0","0","0","1","12.1","12.1","100.0%"
