"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Hunter Henry (LAC)","8","9","100","12.5","21","1","2","0","0","0","0","1","22.0","22.0","98.0%"
"2","Austin Hooper (CLE)","8","8","117","14.6","30","2","1","0","0","0","0","1","17.7","17.7","92.0%"
"3","Cameron Brate (TB)","2","4","47","23.5","37","1","1","0","0","0","0","1","10.7","10.7","2.0%"
"4","Ricky Seals-Jones (KC)","3","6","47","15.7","31","1","1","0","0","0","0","1","10.7","10.7","0.0%"
"5","George Kittle (SF)","8","8","103","12.9","45","1","0","0","0","0","0","1","10.3","10.3","100.0%"
"6","Jared Cook (NO)","3","3","37","12.3","20","1","1","0","0","0","0","1","9.7","9.7","97.0%"
"7","Maxx Williams (ARI)","3","3","34","11.3","20","1","1","0","0","0","0","1","9.4","9.4","0.0%"
"8","Ryan Griffin (NYJ)","3","3","28","9.3","12","0","1","0","0","0","0","1","8.8","8.8","1.0%"
"9","Mark Andrews (BAL)","6","8","99","16.5","39","2","0","0","0","0","1","1","7.9","7.9","100.0%"
"10","Darren Fells (HOU)","6","7","69","11.5","18","0","0","0","0","0","0","1","6.9","6.9","3.0%"
"11","Travis Kelce (KC)","4","6","58","14.5","18","0","0","0","0","0","0","1","5.8","5.8","100.0%"
"12","Jason Witten (LV)","5","7","57","11.4","20","1","0","0","0","0","0","1","5.7","5.7","4.0%"
"13","Greg Olsen (SEA)","4","7","52","13.0","18","0","0","0","0","0","0","1","5.2","5.2","42.0%"
"14","Mike Gesicki (MIA)","3","7","51","17.0","30","1","0","0","0","0","0","1","5.1","5.1","81.0%"
"15","Marcedes Lewis (GB)","2","2","50","25.0","25","2","0","0","0","0","0","1","5.0","5.0","0.0%"
"16","Dallas Goedert (PHI)","5","8","48","9.6","13","0","0","0","0","0","0","1","4.8","4.8","76.0%"
"17","Delanie Walker (FA)","3","6","43","14.3","18","0","0","0","0","0","0","1","4.3","4.3","2.0%"
"18","Jordan Akins (HOU)","3","3","39","13.0","23","1","0","0","0","0","0","1","3.9","3.9","1.0%"
"19","Kyle Rudolph (MIN)","3","3","36","12.0","18","0","0","0","0","0","0","1","3.6","3.6","18.0%"
"20","O.J. Howard (TB)","2","4","35","17.5","30","1","0","0","0","0","0","1","3.5","3.5","34.0%"
"21","Zach Ertz (PHI)","4","9","54","13.5","20","1","0","0","0","0","1","1","3.4","3.4","99.0%"
"22","Ryan Izzo (NE)","2","4","31","15.5","20","1","0","0","0","0","0","1","3.1","3.1","0.0%"
"23","Rhett Ellison (FA)","3","7","30","10.0","18","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"24","Irv Smith Jr. (MIN)","2","2","29","14.5","29","1","0","0","0","0","0","1","2.9","2.9","34.0%"
"25","C.J. Uzomah (CIN)","2","3","26","13.0","22","1","0","0","0","0","0","1","2.6","2.6","1.0%"
"26","Anthony Firkser (TEN)","1","1","25","25.0","25","1","0","0","0","0","0","1","2.5","2.5","0.0%"
"27","Tyler Higbee (LAR)","3","3","25","8.3","9","0","0","0","0","0","0","1","2.5","2.5","95.0%"
"28","Jeremy Sprinkle (WAS)","2","3","24","12.0","19","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"29","Jaeden Graham (ATL)","1","1","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","0.0%"
