"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Austin Ekeler (LAC)","8","101","12.6","35","3","0","4","5","112","28.0","1","0","1","27.3","27.3","99.0%"
"2","Aaron Jones (GB)","16","134","8.4","42","2","1","6","7","58","9.7","0","0","1","25.2","25.2","100.0%"
"3","Joe Mixon (CIN)","23","146","6.3","26","1","1","3","4","40","13.3","0","0","1","24.6","24.6","100.0%"
"4","Derrick Henry (TEN)","18","103","5.7","24","1","2","1","1","6","6.0","0","0","1","22.9","22.9","100.0%"
"5","Raheem Mostert (SF)","10","69","6.9","19","0","1","2","2","40","20.0","1","0","1","22.9","22.9","96.0%"
"6","Ezekiel Elliott (DAL)","19","81","4.3","31","1","2","2","5","12","6.0","0","0","1","21.3","21.3","100.0%"
"7","Boston Scott (PHI)","10","59","5.9","25","1","1","6","6","69","11.5","0","0","1","18.8","18.8","44.0%"
"8","Todd Gurley (ATL)","23","79","3.4","23","1","1","4","4","34","8.5","0","0","1","17.3","17.3","99.0%"
"9","DeAndre Washington (KC)","14","53","3.8","14","0","1","6","7","43","7.2","0","0","1","15.6","15.6","7.0%"
"10","Devonta Freeman (FA)","17","84","4.9","13","0","1","4","4","10","2.5","0","0","1","15.4","15.4","39.0%"
"11","Melvin Gordon (DEN)","12","55","4.6","17","0","1","5","5","29","5.8","0","0","1","14.4","14.4","98.0%"
"12","Adrian Peterson (WAS)","20","76","3.8","13","0","1","0","0","0","0","0","0","1","13.6","13.6","47.0%"
"13","Dalvin Cook (MIN)","18","62","3.4","9","0","1","2","2","13","6.5","0","0","1","13.5","13.5","100.0%"
"14","Christian McCaffrey (CAR)","11","53","4.8","11","0","0","11","12","82","7.5","0","0","1","13.5","13.5","100.0%"
"15","Kareem Hunt (CLE)","9","28","3.1","7","0","1","2","2","40","20.0","0","0","1","12.8","12.8","92.0%"
"16","Brian Hill (ATL)","9","62","6.9","27","1","1","0","0","0","0","0","0","1","12.2","12.2","1.0%"
"17","Devin Singletary (BUF)","17","89","5.2","38","1","0","6","8","29","4.8","0","0","1","11.8","11.8","95.0%"
"18","Nick Chubb (CLE)","15","106","7.1","57","1","0","1","1","11","11.0","0","0","1","11.7","11.7","100.0%"
"19","Phillip Lindsay (DEN)","16","51","3.2","8","0","1","2","2","4","2.0","0","0","1","11.5","11.5","88.0%"
"20","David Johnson (HOU)","3","19","6.3","9","0","0","2","2","34","17.0","1","0","1","11.3","11.3","94.0%"
"21","Marlon Mack (IND)","13","38","2.9","13","0","1","0","0","0","0","0","0","1","9.8","9.8","87.0%"
"22","Latavius Murray (NO)","7","69","9.9","18","0","0","2","3","25","12.5","0","0","1","9.4","9.4","70.0%"
"23","Royce Freeman (DEN)","8","24","3.0","11","0","0","2","2","8","4.0","1","0","1","9.2","9.2","9.0%"
"24","Chris Carson (SEA)","15","76","5.1","13","0","0","3","4","15","5.0","0","0","1","9.1","9.1","98.0%"
"25","Bilal Powell (FA)","19","74","3.9","11","0","0","2","3","14","7.0","0","0","1","8.8","8.8","0.0%"
"26","Patrick Laird (MIA)","15","48","3.2","16","0","0","4","5","38","9.5","0","0","1","8.6","8.6","1.0%"
