"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","James Conner (PIT)","16","41","2.6","12","0","1","7","7","78","11.1","1","0","1","23.9","23.9","97.0%"
"2","Nick Chubb (CLE)","20","122","6.1","52","2","2","5","6","17","3.4","0","1","1","23.9","23.9","100.0%"
"3","Devonta Freeman (FA)","19","88","4.6","15","0","0","3","3","30","10.0","2","0","1","23.8","23.8","39.0%"
"4","David Johnson (HOU)","12","34","2.8","17","0","1","6","8","68","11.3","1","0","1","22.2","22.2","94.0%"
"5","Chris Carson (SEA)","24","124","5.2","25","2","1","4","4","35","8.8","0","0","1","21.9","21.9","98.0%"
"6","Ezekiel Elliott (DAL)","28","105","3.8","13","0","1","5","6","48","9.6","0","0","1","21.3","21.3","100.0%"
"7","Jamaal Williams (GB)","14","104","7.4","45","1","0","4","5","32","8.0","1","0","1","19.6","19.6","13.0%"
"8","Christian McCaffrey (CAR)","22","31","1.4","10","0","1","4","5","26","6.5","1","0","1","17.7","17.7","100.0%"
"9","Carlos Hyde (SEA)","26","116","4.5","26","1","1","1","1","14","14.0","0","1","1","17.0","17.0","18.0%"
"10","Miles Sanders (PHI)","3","6","2.0","3","0","0","3","3","86","28.7","1","0","1","15.2","15.2","99.0%"
"11","Adrian Peterson (WAS)","23","118","5.1","25","1","0","2","2","18","9.0","0","0","1","13.6","13.6","47.0%"
"12","Phillip Lindsay (DEN)","15","70","4.7","30","1","1","2","3","5","2.5","0","0","1","13.5","13.5","88.0%"
"13","Mark Ingram II (BAL)","13","52","4.0","12","0","1","2","2","22","11.0","0","0","1","13.4","13.4","97.0%"
"14","Chase Edmonds (ARI)","5","34","6.8","15","0","0","2","2","33","16.5","1","0","1","12.7","12.7","35.0%"
"15","Tevin Coleman (SF)","18","45","2.5","9","0","1","2","3","16","8.0","0","0","1","12.1","12.1","67.0%"
"16","Kerryon Johnson (DET)","13","34","2.6","8","0","1","2","4","27","13.5","0","0","1","12.1","12.1","81.0%"
"17","Leonard Fournette (JAC)","20","72","3.6","16","0","0","6","6","46","7.7","0","0","1","11.8","11.8","96.0%"
"18","Dalvin Cook (MIN)","16","41","2.6","14","0","1","2","2","13","6.5","0","0","1","11.4","11.4","100.0%"
"19","Duke Johnson (HOU)","5","34","6.8","15","0","0","2","4","20","10.0","1","0","1","11.4","11.4","47.0%"
"20","Sony Michel (NE)","22","86","3.9","26","1","0","2","3","27","13.5","0","0","1","11.3","11.3","87.0%"
"21","Le'Veon Bell (NYJ)","14","50","3.6","13","0","1","1","1","3","3.0","0","0","1","11.3","11.3","96.0%"
"22","Brandon Bolden (NE)","3","23","7.7","21","1","1","2","2","22","11.0","0","0","1","10.5","10.5","0.0%"
"23","Benny Snell Jr. (PIT)","17","75","4.4","20","1","0","1","1","14","14.0","0","0","1","8.9","8.9","5.0%"
"24","Dare Ogunbowale (TB)","1","3","3.0","3","0","1","3","5","22","7.3","0","0","1","8.5","8.5","1.0%"
"25","Damien Williams (KC)","1","6","6.0","6","0","0","1","1","14","14.0","1","0","1","8.0","8.0","50.0%"
"26","Latavius Murray (NO)","8","44","5.5","15","0","0","3","3","35","11.7","0","0","1","7.9","7.9","70.0%"
"27","Royce Freeman (DEN)","11","34","3.1","8","0","0","5","5","42","8.4","0","0","1","7.6","7.6","9.0%"
"28","Mark Walton (FA)","6","32","5.3","14","0","0","5","6","43","8.6","0","0","1","7.5","7.5","2.0%"
"29","Ronald Jones II (TB)","4","10","2.5","5","0","1","0","0","0","0","0","0","1","7.0","7.0","89.0%"
"30","Kenyan Drake (ARI)","10","40","4.0","9","0","0","6","9","30","5.0","0","0","1","7.0","7.0","99.0%"
"31","Kalen Ballage (MIA)","3","7","2.3","6","0","1","0","0","0","0","0","0","1","6.7","6.7","1.0%"
"32","Alvin Kamara (NO)","11","31","2.8","7","0","0","7","8","35","5.0","0","0","1","6.6","6.6","100.0%"
"33","Matt Breida (MIA)","13","36","2.8","9","0","0","4","4","27","6.8","0","0","1","6.3","6.3","87.0%"
"34","Brandon Wilson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","42.0%"
"35","Darrel Williams (KC)","0","0","0","0","0","0","1","2","52","52.0","0","0","1","5.2","5.2","2.0%"
"36","Jordan Howard (MIA)","13","49","3.8","12","0","0","0","0","0","0","0","0","1","4.9","4.9","88.0%"
"37","Melvin Gordon (DEN)","8","18","2.3","7","0","0","3","4","30","10.0","0","0","1","4.8","4.8","98.0%"
"38","Darrell Henderson (LAR)","6","39","6.5","22","1","0","1","2","9","9.0","0","0","1","4.8","4.8","72.0%"
"39","James White (NE)","2","-1","-0.5","1","0","0","9","9","46","5.1","0","0","1","4.5","4.5","82.0%"
"40","LeSean McCoy (TB)","8","44","5.5","17","0","0","2","2","0","0.0","0","0","1","4.4","4.4","11.0%"
"41","Alexander Mattison (MIN)","14","63","4.5","35","1","0","0","0","0","0","0","1","1","4.3","4.3","65.0%"
"42","Aaron Jones (GB)","11","47","4.3","9","0","0","4","7","13","3.3","0","1","1","4.0","4.0","100.0%"
"43","Malcolm Brown (LAR)","11","40","3.6","10","0","0","0","0","0","0","0","0","1","4.0","4.0","6.0%"
"44","Joe Mixon (CIN)","8","10","1.3","3","0","0","2","3","29","14.5","0","0","1","3.9","3.9","100.0%"
"45","Gus Edwards (BAL)","6","34","5.7","25","1","0","0","0","0","0","0","0","1","3.4","3.4","5.0%"
"46","Derrick Henry (TEN)","15","28","1.9","6","0","0","1","3","5","5.0","0","0","1","3.3","3.3","100.0%"
"47","Justice Hill (BAL)","5","31","6.2","12","0","0","0","0","0","0","0","0","1","3.1","3.1","5.0%"
"48","Boston Scott (PHI)","4","30","7.5","15","0","0","0","0","0","0","0","0","1","3.0","3.0","44.0%"
"49","Peyton Barber (WAS)","8","28","3.5","5","0","0","0","0","0","0","0","0","1","2.8","2.8","3.0%"
"50","Austin Ekeler (LAC)","5","14","2.8","11","0","0","3","4","14","4.7","0","0","1","2.8","2.8","99.0%"
"51","Giovani Bernard (CIN)","4","4","1.0","2","0","0","2","3","20","10.0","0","0","1","2.4","2.4","6.0%"
"52","Chris Thompson (JAC)","3","12","4.0","8","0","0","2","3","8","4.0","0","0","1","2.0","2.0","4.0%"
"53","Dion Lewis (NYG)","1","-1","-1.0","0","0","0","3","3","20","6.7","0","0","1","1.9","1.9","2.0%"
"54","Dontrell Hilliard (CLE)","0","0","0","0","0","0","2","3","17","8.5","0","0","1","1.7","1.7","0.0%"
"55","Ty Montgomery (NO)","0","0","0","0","0","0","3","3","17","5.7","0","0","1","1.7","1.7","0.0%"
"56","Jonathan Hilliman (FA)","11","38","3.5","10","0","0","2","2","-3","-1.5","0","1","1","1.5","1.5","0.0%"
"57","Tony Pollard (DAL)","3","13","4.3","10","0","0","0","0","0","0","0","0","1","1.3","1.3","51.0%"
"58","Raheem Mostert (SF)","4","13","3.3","8","0","0","0","0","0","0","0","0","1","1.3","1.3","96.0%"
"59","J.D. McKissic (WAS)","3","4","1.3","2","0","0","2","3","7","3.5","0","0","1","1.1","1.1","0.0%"
"60","Andy Janovich (CLE)","0","0","0","0","0","0","1","1","8","8.0","0","0","1","0.8","0.8","0.0%"
"61","Ito Smith (ATL)","3","6","2.0","3","0","0","0","0","0","0","0","0","1","0.6","0.6","3.0%"
"62","Elijhaa Penny (NYG)","3","6","2.0","3","0","0","1","2","0","0.0","0","0","1","0.6","0.6","0.0%"
"63","Bilal Powell (FA)","1","5","5.0","5","0","0","0","1","0","0","0","0","1","0.5","0.5","0.0%"
"64","Wendell Smallwood (PIT)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"65","Alex Armah (CAR)","2","4","2.0","3","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"66","C.J. Prosise (FA)","3","8","2.7","5","0","0","1","3","15","15.0","0","1","1","0.3","0.3","0.0%"
"67","Dalyn Dawkins (TEN)","2","2","1.0","1","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"68","Keith Smith (ATL)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"69","Ryquell Armstead (JAC)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","6.0%"
"70","Christian Wade (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Elijah Holyfield (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Devin Singletary (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.0%"
"73","Devine Ozigbo (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","Josh Jacobs (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"75","Bryce Love (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"76","Kerrith Whyte Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","David Montgomery (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.0%"
"78","Damien Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.0%"
"79","Patrick Laird (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"80","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"81","Rodney Anderson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"82","Jordan Scarlett (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Isaac Nauta (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Travis Homer (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
