"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","Pittsburgh Steelers (PIT)","4","3","1","3","1","0","0","1","25.0","25.0","99.0%"
"2","Baltimore Ravens (BAL)","2","1","2","2","2","0","0","1","24.0","24.0","99.0%"
"3","Los Angeles Rams (LAR)","3","0","2","2","1","1","0","1","19.0","19.0","76.0%"
"4","San Francisco 49ers (SF)","5","1","3","5","1","0","0","1","19.0","19.0","100.0%"
"5","Seattle Seahawks (SEA)","5","1","2","2","1","0","0","1","18.0","18.0","53.0%"
"6","Las Vegas Raiders (LV)","5","3","0","1","1","0","0","1","17.0","17.0","3.0%"
"7","New York Jets (NYJ)","6","0","2","3","1","0","0","1","16.0","16.0","29.0%"
"8","Miami Dolphins (MIA)","1","3","0","1","0","0","0","1","11.0","11.0","3.0%"
"9","Atlanta Falcons (ATL)","6","0","0","0","0","0","0","1","10.0","10.0","2.0%"
"10","Tennessee Titans (TEN)","2","0","1","1","1","0","0","1","9.0","9.0","39.0%"
"11","Arizona Cardinals (ARI)","4","2","1","1","0","0","0","1","9.0","9.0","5.0%"
"12","Green Bay Packers (GB)","3","1","1","1","0","0","0","1","8.0","8.0","32.0%"
"13","Indianapolis Colts (IND)","3","1","1","1","0","0","0","1","8.0","8.0","74.0%"
"14","Chicago Bears (CHI)","2","1","0","0","0","0","0","1","8.0","8.0","93.0%"
"15","Detroit Lions (DET)","5","0","0","0","0","0","0","1","6.0","6.0","4.0%"
"16","Tampa Bay Buccaneers (TB)","2","1","1","1","0","0","0","1","6.0","6.0","56.0%"
"17","Buffalo Bills (BUF)","2","0","0","0","0","1","0","1","5.0","5.0","98.0%"
"18","Kansas City Chiefs (KC)","4","0","1","1","0","0","0","1","5.0","5.0","94.0%"
"19","Los Angeles Chargers (LAC)","3","0","0","0","0","0","0","1","4.0","4.0","66.0%"
"20","Minnesota Vikings (MIN)","1","1","0","0","0","0","0","1","3.0","3.0","86.0%"
"21","New Orleans Saints (NO)","1","1","0","0","0","0","0","1","3.0","3.0","94.0%"
"22","Cleveland Browns (CLE)","1","0","0","1","0","0","0","1","2.0","2.0","34.0%"
"23","Carolina Panthers (CAR)","2","0","0","0","0","0","0","1","2.0","2.0","2.0%"
"24","New York Giants (NYG)","2","0","0","0","0","0","0","1","1.0","1.0","1.0%"
"25","Denver Broncos (DEN)","0","0","0","0","0","0","0","0","0","0","69.0%"
"26","Philadelphia Eagles (PHI)","0","0","0","0","0","0","0","0","0","0","65.0%"
"27","Dallas Cowboys (DAL)","1","0","0","0","0","0","0","1","0.0","0.0","46.0%"
"28","Houston Texans (HOU)","0","0","0","0","0","0","0","0","0","0","10.0%"
"29","New England Patriots (NE)","0","0","0","0","0","0","0","0","0","0","96.0%"
"30","Jacksonville Jaguars (JAC)","0","0","0","0","0","0","0","0","0","0","4.0%"
"31","Washington Football Team (WAS)","0","0","0","0","0","0","0","0","0","0","14.0%"
"32","Cincinnati Bengals (CIN)","1","1","0","0","0","0","0","1","-1.0","-1.0","7.0%"
""
""
