"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Aaron Jones (GB)","19","107","5.6","18","0","4","7","8","75","10.7","0","0","1","42.2","42.2","100.0%"
"2","Christian McCaffrey (CAR)","19","176","9.3","84","1","2","6","8","61","10.2","1","0","1","41.7","41.7","100.0%"
"3","Josh Jacobs (LV)","26","123","4.7","21","1","2","3","3","20","6.7","0","0","1","26.3","26.3","100.0%"
"4","Matt Breida (MIA)","11","114","10.4","83","1","1","3","3","15","5.0","1","0","1","24.9","24.9","87.0%"
"5","Phillip Lindsay (DEN)","15","114","7.6","32","2","1","4","4","33","8.3","0","0","1","20.7","20.7","88.0%"
"6","Dalvin Cook (MIN)","21","132","6.3","41","1","0","6","6","86","14.3","0","1","1","19.8","19.8","100.0%"
"7","Leonard Fournette (JAC)","23","108","4.7","48","1","1","4","7","29","7.3","0","0","1","19.7","19.7","96.0%"
"8","Chris Carson (SEA)","27","118","4.4","14","0","0","1","2","5","5.0","1","0","1","18.3","18.3","98.0%"
"9","Sony Michel (NE)","16","91","5.7","25","1","1","3","3","32","10.7","0","0","1","18.3","18.3","87.0%"
"10","Todd Gurley (ATL)","15","51","3.4","12","0","2","3","5","6","2.0","0","1","1","15.7","15.7","99.0%"
"11","Tevin Coleman (SF)","16","97","6.1","19","0","1","0","0","0","0","0","0","1","15.7","15.7","67.0%"
"12","David Johnson (HOU)","17","91","5.4","17","0","0","3","5","65","21.7","0","0","1","15.6","15.6","94.0%"
"13","Ezekiel Elliott (DAL)","12","62","5.2","14","0","1","2","3","29","14.5","0","0","1","15.1","15.1","100.0%"
"14","Marlon Mack (IND)","29","132","4.6","30","1","0","3","3","16","5.3","0","0","1","14.8","14.8","87.0%"
"15","Chase Edmonds (ARI)","8","68","8.5","37","1","1","3","4","18","6.0","0","0","1","14.6","14.6","35.0%"
"16","Reggie Bonnafon (CAR)","5","80","16.0","59","1","1","0","1","0","0","0","0","1","14.0","14.0","1.0%"
"17","Derrick Henry (TEN)","20","78","3.9","24","1","1","0","0","0","0","0","0","1","13.8","13.8","100.0%"
"18","Devonta Freeman (FA)","11","30","2.7","21","1","0","5","5","40","8.0","1","0","1","13.0","13.0","39.0%"
"19","Jordan Howard (MIA)","13","62","4.8","15","0","1","0","0","0","0","0","0","1","12.2","12.2","88.0%"
"20","Carlos Hyde (SEA)","21","60","2.9","14","0","1","0","1","0","0","0","0","1","12.0","12.0","18.0%"
"21","James Conner (PIT)","14","55","3.9","12","0","1","0","0","0","0","0","0","1","11.5","11.5","97.0%"
"22","Alvin Kamara (NO)","16","62","3.9","16","0","0","6","7","42","7.0","0","0","1","10.9","10.9","100.0%"
"23","Mark Ingram II (BAL)","19","44","2.3","14","0","1","2","2","5","2.5","0","0","1","10.9","10.9","97.0%"
"24","Joe Mixon (CIN)","19","93","4.9","18","0","0","1","1","16","16.0","0","0","1","10.9","10.9","100.0%"
"25","Brandon Bolden (NE)","5","13","2.6","5","0","0","1","1","29","29.0","1","0","1","10.2","10.2","0.0%"
"26","Nick Chubb (CLE)","16","87","5.4","37","1","0","1","1","12","12.0","0","0","1","9.9","9.9","100.0%"
"27","DeAndre Washington (KC)","6","17","2.8","5","0","1","3","3","19","6.3","0","0","1","9.6","9.6","7.0%"
"28","David Montgomery (CHI)","11","25","2.3","6","0","1","1","1","11","11.0","0","0","1","9.6","9.6","94.0%"
"29","Peyton Barber (WAS)","8","32","4.0","8","0","1","1","1","-1","-1.0","0","0","1","9.1","9.1","3.0%"
"30","Le'Veon Bell (NYJ)","15","43","2.9","13","0","0","7","9","45","6.4","0","0","1","8.8","8.8","96.0%"
"31","Austin Ekeler (LAC)","3","7","2.3","4","0","0","15","16","86","5.7","0","1","1","7.3","7.3","99.0%"
"32","James White (NE)","6","26","4.3","7","0","0","6","9","46","7.7","0","0","1","7.2","7.2","82.0%"
"33","Frank Gore (NYJ)","14","60","4.3","19","0","0","2","2","9","4.5","0","0","1","6.9","6.9","2.0%"
"34","Duke Johnson (HOU)","9","59","6.6","24","1","0","1","1","8","8.0","0","0","1","6.7","6.7","47.0%"
"35","Royce Freeman (DEN)","13","61","4.7","11","0","0","2","2","6","3.0","0","0","1","6.7","6.7","9.0%"
"36","Ito Smith (ATL)","5","19","3.8","11","0","0","6","6","45","7.5","0","0","1","6.4","6.4","3.0%"
"37","Miles Sanders (PHI)","9","15","1.7","8","0","0","4","5","49","12.3","0","0","1","6.4","6.4","99.0%"
"38","Ronald Jones II (TB)","9","35","3.9","14","0","0","2","3","21","10.5","0","0","1","5.6","5.6","89.0%"
"39","Alexander Mattison (MIN)","7","52","7.4","19","0","0","0","0","0","0","0","0","1","5.2","5.2","65.0%"
"40","Rashaad Penny (SEA)","6","18","3.0","8","0","0","2","2","31","15.5","0","0","1","4.9","4.9","12.0%"
"41","Tarik Cohen (CHI)","4","10","2.5","4","0","0","6","7","39","6.5","0","0","1","4.9","4.9","76.0%"
"42","Nyheim Hines (IND)","2","-1","-0.5","3","0","0","4","5","46","11.5","0","0","1","4.5","4.5","23.0%"
"43","Melvin Gordon (DEN)","12","31","2.6","7","0","0","4","6","7","1.8","0","0","1","3.8","3.8","98.0%"
"44","Damien Williams (KC)","9","23","2.6","6","0","0","3","4","15","5.0","0","0","1","3.8","3.8","50.0%"
"45","Chris Thompson (JAC)","4","21","5.3","12","0","0","5","7","17","3.4","0","0","1","3.8","3.8","4.0%"
"46","Latavius Murray (NO)","7","28","4.0","12","0","0","2","2","6","3.0","0","0","1","3.4","3.4","70.0%"
"47","Raheem Mostert (SF)","7","34","4.9","8","0","0","0","0","0","0","0","0","1","3.4","3.4","96.0%"
