"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Harrison Butker (KC)","4","5","80.0","43","0","0","2","2","0","2","3","1","16.0","16.0","99.0%"
"2","Younghoe Koo (ATL)","4","4","100.0","48","0","0","3","1","0","2","2","1","15.0","15.0","40.0%"
"3","Matt Gay (TB)","3","3","100.0","45","0","0","1","2","0","3","3","1","14.0","14.0","77.0%"
"4","Jason Sanders (MIA)","3","3","100.0","48","0","0","0","3","0","1","1","1","13.0","13.0","1.0%"
"5","Chase McLaughlin (IND)","3","4","75.0","47","0","0","1","2","0","1","1","1","12.0","12.0","1.0%"
"6","Sam Ficken (NYJ)","2","3","66.7","53","0","0","1","0","1","4","4","1","12.0","12.0","0.0%"
"7","Zane Gonzalez (ARI)","2","2","100.0","54","0","0","1","0","1","3","3","1","11.0","11.0","68.0%"
"8","Jason Myers (SEA)","2","2","100.0","46","0","0","0","2","0","3","3","1","11.0","11.0","22.0%"
"9","Wil Lutz (NO)","3","3","100.0","47","0","2","0","1","0","0","0","1","10.0","10.0","99.0%"
"10","Matt Prater (DET)","2","2","100.0","54","0","1","0","0","1","1","1","1","9.0","9.0","79.0%"
"11","Daniel Carlson (LV)","2","3","66.7","40","0","1","0","1","0","2","3","1","9.0","9.0","2.0%"
"12","Dan Bailey (MIN)","2","2","100.0","27","0","2","0","0","0","2","2","1","8.0","8.0","41.0%"
"13","Randy Bullock (CIN)","2","2","100.0","42","0","0","1","1","0","1","1","1","8.0","8.0","2.0%"
"14","Austin Seibert (CLE)","2","2","100.0","47","0","1","0","1","0","1","2","1","8.0","8.0","4.0%"
"15","Mason Crosby (GB)","1","1","100.0","47","0","0","0","1","0","3","3","1","7.0","7.0","15.0%"
"16","Justin Tucker (BAL)","0","0","0","0","0","0","0","0","0","7","7","1","7.0","7.0","100.0%"
"17","Adam Vinatieri (FA)","2","2","100.0","39","0","1","1","0","0","0","1","1","6.0","6.0","1.0%"
"18","Joey Slye (CAR)","1","1","100.0","50","0","0","0","0","1","1","1","1","6.0","6.0","18.0%"
"19","Michael Badgley (LAC)","1","1","100.0","27","0","1","0","0","0","3","3","1","6.0","6.0","29.0%"
"20","Brett Maher (NYJ)","1","2","50.0","23","0","1","0","0","0","3","3","1","6.0","6.0","2.0%"
"21","Chris Boswell (PIT)","1","1","100.0","33","0","0","1","0","0","2","2","1","5.0","5.0","11.0%"
"22","Greg Zuerlein (DAL)","1","2","50.0","30","0","0","1","0","0","1","1","1","4.0","4.0","97.0%"
"23","Ryan Succop (FA)","0","0","0","0","0","0","0","0","0","3","4","1","3.0","3.0","0.0%"
"24","Stephen Hauschka (BUF)","0","2","0.0","0","0","0","0","0","0","2","2","1","2.0","2.0","4.0%"
"25","Eddy Pineiro (CHI)","0","0","0","0","0","0","0","0","0","2","3","1","2.0","2.0","1.0%"
"26","Aldrick Rosas (FA)","0","0","0","0","0","0","0","0","0","1","2","1","1.0","1.0","1.0%"
"27","Jake Elliott (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.0%"
"28","Kaare Vedvik (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"29","Greg Joseph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"30","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"31","Chandler Catanzaro (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"32","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"33","Josh Lambo (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.0%"
"34","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"35","Ka'imi Fairbairn (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.0%"
"36","Tristan Vizcaino (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Elliott Fry (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"40","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Sam Sloman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Lirim Hajrullahu (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"44","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Ramiz Ahmed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Brandon McManus (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0%"
"47","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"48","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"49","Robbie Gould (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.0%"
"50","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"51","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"52","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"53","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"54","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"55","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
