"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Harrison Butker (KC)","4","4","100.0","54","0","1","0","2","1","2","2","1","18.0","18.0","99.0%"
"2","Michael Badgley (LAC)","4","5","80.0","43","0","1","1","2","0","2","2","1","16.0","16.0","29.0%"
"3","Chris Boswell (PIT)","4","4","100.0","51","0","2","1","0","1","2","2","1","16.0","16.0","11.0%"
"4","Brett Maher (NYJ)","3","4","75.0","52","0","1","1","0","1","4","4","1","15.0","15.0","2.0%"
"5","Sam Ficken (NYJ)","3","4","75.0","52","0","1","0","1","1","1","1","1","13.0","13.0","0.0%"
"6","Austin Seibert (CLE)","4","4","100.0","39","0","1","3","0","0","1","1","1","13.0","13.0","4.0%"
"7","Aldrick Rosas (FA)","4","4","100.0","29","0","4","0","0","0","0","1","1","12.0","12.0","1.0%"
"8","Matt Gay (TB)","2","3","66.7","45","0","0","0","2","0","4","4","1","12.0","12.0","77.0%"
"9","Ka'imi Fairbairn (HOU)","2","3","66.7","52","0","0","0","1","1","2","3","1","11.0","11.0","32.0%"
"10","Jake Elliott (PHI)","3","3","100.0","38","0","2","1","0","0","1","2","1","10.0","10.0","35.0%"
"11","Dustin Hopkins (WAS)","3","3","100.0","39","0","1","2","0","0","0","0","1","9.0","9.0","1.0%"
"12","Jason Myers (SEA)","2","4","50.0","37","0","1","1","0","0","2","3","1","8.0","8.0","22.0%"
"13","Nick Folk (FA)","2","2","100.0","22","1","1","0","0","0","2","2","1","8.0","8.0","0.0%"
"14","Stephen Hauschka (BUF)","1","1","100.0","42","0","0","0","1","0","3","3","1","7.0","7.0","4.0%"
"15","Brandon McManus (DEN)","1","1","100.0","43","0","0","0","1","0","3","3","1","7.0","7.0","8.0%"
"16","Daniel Carlson (LV)","1","2","50.0","32","0","0","1","0","0","4","4","1","7.0","7.0","2.0%"
"17","Justin Tucker (BAL)","1","1","100.0","39","0","0","1","0","0","4","5","1","7.0","7.0","100.0%"
"18","Jason Sanders (MIA)","1","2","50.0","26","0","1","0","0","0","3","3","1","6.0","6.0","1.0%"
"19","Joey Slye (CAR)","1","2","50.0","35","0","0","1","0","0","3","4","1","6.0","6.0","18.0%"
"20","Matt Prater (DET)","1","1","100.0","23","0","1","0","0","0","3","3","1","6.0","6.0","79.0%"
"21","Mason Crosby (GB)","1","1","100.0","54","0","0","0","0","1","0","0","1","5.0","5.0","15.0%"
"22","Zane Gonzalez (ARI)","1","1","100.0","36","0","0","1","0","0","2","2","1","5.0","5.0","68.0%"
"23","Dan Bailey (MIN)","1","1","100.0","29","0","1","0","0","0","2","3","1","5.0","5.0","41.0%"
"24","Robbie Gould (SF)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","90.0%"
"25","Adam Vinatieri (FA)","1","2","50.0","25","0","1","0","0","0","1","2","1","4.0","4.0","1.0%"
"26","Josh Lambo (JAC)","1","1","100.0","30","0","0","1","0","0","0","0","1","3.0","3.0","5.0%"
"27","Eddy Pineiro (CHI)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","1.0%"
"28","Ryan Succop (FA)","0","3","0.0","0","0","0","0","0","0","2","2","1","2.0","2.0","0.0%"
"29","Wil Lutz (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.0%"
"30","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"31","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.0%"
"32","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"33","Chandler Catanzaro (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"34","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"35","Greg Joseph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"36","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Sam Sloman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Lirim Hajrullahu (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"40","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Ramiz Ahmed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"43","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Kaare Vedvik (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Tristan Vizcaino (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Elliott Fry (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Chase McLaughlin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"48","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"49","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"50","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"51","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"52","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"53","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"54","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"55","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"56","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"57","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"58","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"59","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"60","Randy Bullock (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"61","Greg Zuerlein (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.0%"
"62","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
