"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","T.J. Hockenson (DET)","6","9","131","21.8","39","4","1","0","0","0","0","1","19.1","19.1","80.0%"
"2","Evan Engram (NYG)","11","14","116","10.5","22","1","1","0","0","0","0","1","17.6","17.6","94.0%"
"3","Delanie Walker (FA)","5","6","55","11.0","16","0","2","0","0","0","0","1","17.5","17.5","2.0%"
"4","Mark Andrews (BAL)","8","8","108","13.5","39","3","1","0","0","0","0","1","16.8","16.8","100.0%"
"5","Vernon Davis (FA)","4","7","59","14.8","48","1","1","0","0","0","0","1","11.9","11.9","1.0%"
"6","Blake Jarwin (DAL)","3","3","39","13.0","28","1","1","0","0","0","0","1","9.9","9.9","51.0%"
"7","David Njoku (CLE)","4","6","37","9.3","18","0","1","0","0","0","0","1","9.7","9.7","6.0%"
"8","Jimmy Graham (CHI)","3","5","30","10.0","16","0","1","0","0","0","0","1","9.0","9.0","6.0%"
"9","Travis Kelce (KC)","3","8","88","29.3","42","2","0","0","0","0","0","1","8.8","8.8","100.0%"
"10","Tyler Higbee (LAR)","4","5","20","5.0","6","0","1","0","0","0","0","1","8.0","8.0","95.0%"
"11","Austin Hooper (CLE)","9","9","77","8.6","16","0","0","0","0","0","0","1","7.7","7.7","92.0%"
"12","Jason Witten (LV)","3","4","15","5.0","6","0","1","0","0","0","0","1","7.5","7.5","4.0%"
"13","Darren Waller (LV)","7","8","70","10.0","25","1","0","0","0","0","0","1","7.0","7.0","99.0%"
"14","C.J. Uzomah (CIN)","4","5","66","16.5","36","1","0","0","0","0","0","1","6.6","6.6","1.0%"
"15","Hunter Henry (LAC)","4","5","60","15.0","22","1","0","0","0","0","0","1","6.0","6.0","98.0%"
"16","Zach Ertz (PHI)","5","7","54","10.8","26","1","0","0","0","0","0","1","5.4","5.4","99.0%"
"17","George Kittle (SF)","8","10","54","6.8","19","0","0","0","0","0","0","1","5.4","5.4","100.0%"
"18","Hayden Hurst (ATL)","3","3","41","13.7","23","1","0","0","0","0","0","1","4.1","4.1","89.0%"
"19","Vance McDonald (PIT)","2","4","40","20.0","21","1","0","0","0","0","0","1","4.0","4.0","3.0%"
"20","Jared Cook (NO)","2","3","37","18.5","31","1","0","0","0","0","0","1","3.7","3.7","97.0%"
"21","Greg Olsen (SEA)","4","9","36","9.0","14","0","0","0","0","0","0","1","3.6","3.6","42.0%"
"22","Tommy Sweeney (BUF)","2","2","35","17.5","29","1","0","0","0","0","0","1","3.5","3.5","0.0%"
"23","James O'Shaughnessy (JAC)","4","5","32","8.0","9","0","0","0","0","0","0","1","3.2","3.2","0.0%"
"24","Mike Gesicki (MIA)","2","6","31","15.5","26","1","0","0","0","0","0","1","3.1","3.1","81.0%"
"25","Robert Tonyan (GB)","1","1","28","28.0","28","1","0","0","0","0","0","1","2.8","2.8","0.0%"
"26","Tyler Eifert (JAC)","5","5","27","5.4","7","0","0","0","0","0","0","1","2.7","2.7","6.0%"
"27","Nick Boyle (BAL)","3","3","26","8.7","12","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"28","Noah Fant (DEN)","2","4","29","14.5","20","1","0","1","-5","0","0","1","2.4","2.4","83.0%"
"29","Jack Doyle (IND)","1","2","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","50.0%"
"30","Foster Moreau (LV)","2","2","20","10.0","11","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"31","Jonnu Smith (TEN)","1","1","7","7.0","7","0","0","1","10","0","0","1","1.7","1.7","79.0%"
"32","Jordan Akins (HOU)","1","2","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","1.0%"
"33","Geoff Swaim (FA)","4","4","17","4.3","5","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"34","Dallas Goedert (PHI)","2","3","16","8.0","9","0","0","0","0","0","0","1","1.6","1.6","76.0%"
"35","Nick Vannett (DEN)","2","2","16","8.0","11","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"36","Maxx Williams (ARI)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"37","Jesse James (DET)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"38","Marcedes Lewis (GB)","2","3","14","7.0","9","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"39","O.J. Howard (TB)","4","5","32","8.0","15","0","0","0","0","0","1","1","1.2","1.2","34.0%"
"40","Will Dissly (SEA)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","8.0%"
