"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Mark Ingram II (BAL)","16","103","6.4","21","1","3","4","4","32","8.0","0","0","1","31.5","31.5","97.0%"
"2","Alvin Kamara (NO)","16","69","4.3","16","0","1","9","10","92","10.2","1","0","1","28.1","28.1","100.0%"
"3","Phillip Lindsay (DEN)","21","81","3.9","9","0","2","4","5","49","12.3","0","0","1","25.0","25.0","88.0%"
"4","Christian McCaffrey (CAR)","24","153","6.4","76","1","1","3","4","35","11.7","0","0","1","24.8","24.8","100.0%"
"5","Dalvin Cook (MIN)","16","110","6.9","25","1","1","4","5","33","8.3","0","0","1","20.3","20.3","100.0%"
"6","LeSean McCoy (TB)","8","54","6.8","25","1","1","3","3","26","8.7","1","0","1","20.0","20.0","11.0%"
"7","Tony Pollard (DAL)","13","103","7.9","28","1","1","3","3","25","8.3","0","0","1","18.8","18.8","51.0%"
"8","Joe Mixon (CIN)","15","60","4.0","14","0","0","2","2","34","17.0","1","0","1","15.4","15.4","100.0%"
"9","Frank Gore (NYJ)","14","76","5.4","22","1","1","2","2","13","6.5","0","0","1","14.9","14.9","2.0%"
"10","Marlon Mack (IND)","16","74","4.6","26","1","1","2","3","14","7.0","0","0","1","14.8","14.8","87.0%"
"11","Aaron Jones (GB)","10","19","1.9","7","0","2","1","1","4","4.0","0","0","1","14.3","14.3","100.0%"
"12","Ezekiel Elliott (DAL)","19","125","6.6","18","0","0","2","3","14","7.0","0","0","1","13.9","13.9","100.0%"
"13","Jeff Wilson (SF)","8","18","2.3","5","0","2","0","1","0","0","0","0","1","13.8","13.8","0.0%"
"14","Nick Chubb (CLE)","23","96","4.2","13","0","0","4","7","35","8.8","0","0","1","13.1","13.1","100.0%"
"15","Rex Burkhead (NE)","11","47","4.3","8","0","1","6","7","22","3.7","0","0","1","12.9","12.9","2.0%"
"16","David Johnson (HOU)","11","37","3.4","15","0","0","6","9","28","4.7","1","0","1","12.5","12.5","94.0%"
"17","Ronald Jones II (TB)","14","80","5.7","25","1","0","1","1","41","41.0","0","0","1","12.1","12.1","89.0%"
"18","Alexander Mattison (MIN)","12","58","4.8","21","1","1","0","0","0","0","0","0","1","11.8","11.8","65.0%"
"19","Darrel Williams (KC)","9","62","6.9","41","1","0","5","5","47","9.4","0","0","1","10.9","10.9","2.0%"
"20","Chris Thompson (JAC)","7","29","4.1","11","0","0","4","5","79","19.8","0","0","1","10.8","10.8","4.0%"
"21","Derrick Henry (TEN)","17","44","2.6","11","0","1","1","2","2","2.0","0","0","1","10.6","10.6","100.0%"
"22","Miles Sanders (PHI)","13","53","4.1","14","0","0","2","4","73","36.5","0","1","1","10.6","10.6","99.0%"
"23","Kerryon Johnson (DET)","20","36","1.8","11","0","1","1","1","7","7.0","0","0","1","10.3","10.3","81.0%"
"24","Jordan Howard (MIA)","11","37","3.4","11","0","1","0","1","0","0","0","0","1","9.7","9.7","88.0%"
"25","Devonta Freeman (FA)","16","88","5.5","28","2","0","3","4","7","2.3","0","0","1","9.5","9.5","39.0%"
"26","Leonard Fournette (JAC)","15","66","4.4","69","1","0","6","8","26","4.3","0","0","1","9.2","9.2","96.0%"
"27","Matt Breida (MIA)","14","68","4.9","10","0","0","2","3","20","10.0","0","0","1","8.8","8.8","87.0%"
"28","Jamaal Williams (GB)","12","59","4.9","12","0","0","2","2","27","13.5","0","0","1","8.6","8.6","13.0%"
"29","Austin Ekeler (LAC)","9","36","4.0","11","0","0","7","7","45","6.4","0","0","1","8.1","8.1","99.0%"
"30","David Montgomery (CHI)","13","67","5.2","25","1","0","3","3","14","4.7","0","0","1","8.1","8.1","94.0%"
"31","Carlos Hyde (SEA)","10","19","1.9","10","0","1","0","0","0","0","0","0","1","7.9","7.9","18.0%"
"32","Royce Freeman (DEN)","15","63","4.2","13","0","0","4","5","10","2.5","0","0","1","7.3","7.3","9.0%"
"33","Sony Michel (NE)","9","11","1.2","5","0","1","0","1","0","0","0","0","1","7.1","7.1","87.0%"
"34","Gus Edwards (BAL)","7","53","7.6","15","0","0","2","2","15","7.5","0","0","1","6.8","6.8","5.0%"
"35","Le'Veon Bell (NYJ)","18","35","1.9","8","0","0","4","4","28","7.0","0","0","1","6.3","6.3","96.0%"
"36","Raheem Mostert (SF)","12","79","6.6","19","0","0","0","1","0","0","0","1","1","5.9","5.9","96.0%"
"37","Peyton Barber (WAS)","13","48","3.7","8","0","0","2","2","7","3.5","0","0","1","5.5","5.5","3.0%"
"38","Kenyan Drake (ARI)","12","38","3.2","8","0","0","3","6","34","11.3","0","1","1","5.2","5.2","99.0%"
"39","Kyle Juszczyk (SF)","0","0","0","0","0","0","3","3","51","17.0","0","0","1","5.1","5.1","0.0%"
"40","Josh Jacobs (LV)","10","44","4.4","18","0","0","0","2","0","0","0","0","1","4.4","4.4","100.0%"
"41","J.D. McKissic (WAS)","1","44","44.0","44","1","0","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"42","C.J. Prosise (FA)","4","5","1.3","2","0","0","5","5","38","7.6","0","0","1","4.3","4.3","0.0%"
"43","Todd Gurley (ATL)","14","43","3.1","9","0","0","0","1","0","0","0","0","1","4.3","4.3","99.0%"
"44","James Conner (PIT)","13","43","3.3","10","0","0","4","4","14","3.5","0","1","1","3.7","3.7","97.0%"
"45","Saquon Barkley (NYG)","8","10","1.3","6","0","0","4","5","27","6.8","0","0","1","3.7","3.7","100.0%"
"46","Adrian Peterson (WAS)","12","37","3.1","7","0","0","1","3","-3","-3.0","0","0","1","3.4","3.4","47.0%"
"47","Justin Jackson (LAC)","5","26","5.2","10","0","0","4","4","4","1.0","0","0","1","3.0","3.0","33.0%"
"48","Chris Carson (SEA)","15","52","3.5","22","1","0","1","1","-2","-2.0","0","1","1","3.0","3.0","98.0%"
"49","Nyheim Hines (IND)","2","3","1.5","2","0","0","3","4","26","8.7","0","0","1","2.9","2.9","23.0%"
"50","Jalen Richard (LV)","2","15","7.5","11","0","0","3","3","14","4.7","0","0","1","2.9","2.9","2.0%"
"51","T.J. Yeldon (BUF)","8","30","3.8","10","0","0","2","3","19","9.5","0","1","1","2.9","2.9","0.0%"
"52","Mike Boone (MIN)","3","28","9.3","24","1","0","0","0","0","0","0","0","1","2.8","2.8","2.0%"
"53","Kalen Ballage (MIA)","8","17","2.1","6","0","0","1","3","10","10.0","0","0","1","2.7","2.7","1.0%"
"54","Dan Vitale (NE)","0","0","0","0","0","0","1","1","27","27.0","0","0","1","2.7","2.7","0.0%"
"55","Chase Edmonds (ARI)","3","15","5.0","8","0","0","1","2","10","10.0","0","0","1","2.5","2.5","35.0%"
"56","Duke Johnson (HOU)","2","2","1.0","1","0","0","2","3","22","11.0","0","0","1","2.4","2.4","47.0%"
"57","Tarik Cohen (CHI)","4","-2","-0.5","1","0","0","2","4","26","13.0","0","0","1","2.4","2.4","76.0%"
"58","Dare Ogunbowale (TB)","0","0","0","0","0","0","3","3","23","7.7","0","0","1","2.3","2.3","1.0%"
"59","DeAndre Washington (KC)","6","22","3.7","8","0","0","0","0","0","0","0","0","1","2.2","2.2","7.0%"
"60","Dion Lewis (NYG)","3","13","4.3","5","0","0","1","1","7","7.0","0","0","1","2.0","2.0","2.0%"
"61","Brandon Bolden (NE)","2","-2","-1.0","3","0","0","2","3","21","10.5","0","0","1","1.9","1.9","0.0%"
"62","Wayne Gallman (NYG)","5","13","2.6","6","0","0","0","1","0","0","0","0","1","1.3","1.3","1.0%"
"63","Giovani Bernard (CIN)","3","5","1.7","4","0","0","2","2","7","3.5","0","0","1","1.2","1.2","6.0%"
"64","Nick Bawden (DET)","0","0","0","0","0","0","1","1","10","10.0","0","0","1","1.0","1.0","0.0%"
"65","Darwin Thompson (KC)","3","8","2.7","8","0","0","0","0","0","0","0","0","1","0.8","0.8","4.0%"
"66","Malcolm Brown (LAR)","3","7","2.3","4","0","0","0","1","0","0","0","0","1","0.7","0.7","6.0%"
"67","Alex Armah (CAR)","1","4","4.0","4","0","0","1","1","2","2.0","0","0","1","0.6","0.6","0.0%"
"68","Benny Snell Jr. (PIT)","3","6","2.0","4","0","0","0","0","0","0","0","0","1","0.6","0.6","5.0%"
"69","Reggie Bonnafon (CAR)","2","5","2.5","4","0","0","0","0","0","0","0","0","1","0.5","0.5","1.0%"
"70","Ty Johnson (DET)","4","5","1.3","3","0","0","1","2","0","0.0","0","0","1","0.5","0.5","0.0%"
"71","Kenjon Barner (FA)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.4","0.4","0.0%"
"72","Darren Sproles (FA)","2","4","2.0","3","0","0","0","1","0","0","0","0","1","0.4","0.4","0.0%"
"73","Mike Davis (CAR)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"74","Latavius Murray (NO)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","70.0%"
"75","Justice Hill (BAL)","1","1","1.0","1","0","0","0","3","0","0","0","0","1","0.1","0.1","5.0%"
"76","Ty Montgomery (NO)","2","1","0.5","3","0","0","0","1","0","0","0","0","1","0.1","0.1","0.0%"
"77","Devine Ozigbo (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Ryquell Armstead (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.0%"
"79","Christian Wade (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Elijah Holyfield (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Jakob Johnson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"82","Bryce Love (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"83","Damien Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","21.0%"
"84","Chandler Cox (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Devin Singletary (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.0%"
"86","Kerrith Whyte Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Wes Hills (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Qadree Ollison (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Alec Ingold (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"91","Dexter Williams (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Darrell Henderson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.0%"
"93","Isaac Nauta (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Jordan Scarlett (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Rodney Anderson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"96","Patrick Laird (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"97","Travis Homer (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"98","Damarea Crockett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Karan Higdon (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Jacques Patrick (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Cullen Gillaspia (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"102","Darrynton Evans (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.0%"
"103","Connor Slomka (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Joshua Kelley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"105","J.J. Taylor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Javon Leake (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Michael Warren II (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.0%"
"109","Eno Benjamin (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"110","A.J. Dillon (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.0%"
"111","Ke'Shawn Vaughn (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.0%"
"112","Salvon Ahmed (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Darius Anderson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Lamical Perine (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"115","DeeJay Dallas (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"116","Artavis Pierce (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Patrick Taylor Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Adrian Killins Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Xavier Jones (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Benny LeMay (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"121","Darius Bradwell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Tony Jones Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Levante Bellamy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.0%"
"125","Jeremy Cox (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
