"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","San Francisco 49ers (SF)","3","3","1","2","2","0","0","1","27.0","27.0","100.0%"
"2","Tennessee Titans (TEN)","5","3","0","0","1","1","0","1","23.0","23.0","39.0%"
"3","New York Jets (NYJ)","1","2","2","1","1","1","0","1","18.0","18.0","29.0%"
"4","Minnesota Vikings (MIN)","4","2","1","1","0","0","0","1","14.0","14.0","86.0%"
"5","Green Bay Packers (GB)","5","1","0","0","0","0","0","1","14.0","14.0","32.0%"
"6","Baltimore Ravens (BAL)","3","2","1","0","0","0","0","1","13.0","13.0","99.0%"
"7","Tampa Bay Buccaneers (TB)","1","1","1","0","1","0","0","1","12.0","12.0","56.0%"
"8","Seattle Seahawks (SEA)","5","0","3","3","0","0","0","1","12.0","12.0","53.0%"
"9","Buffalo Bills (BUF)","4","0","1","0","0","0","0","1","10.0","10.0","98.0%"
"10","New England Patriots (NE)","1","1","0","1","0","0","0","1","10.0","10.0","96.0%"
"11","Los Angeles Rams (LAR)","3","1","2","2","0","0","0","1","9.0","9.0","76.0%"
"12","Chicago Bears (CHI)","5","0","0","1","0","0","0","1","9.0","9.0","93.0%"
"13","Arizona Cardinals (ARI)","3","0","2","2","0","0","0","1","7.0","7.0","5.0%"
"14","Detroit Lions (DET)","5","1","0","0","0","0","0","1","7.0","7.0","4.0%"
"15","Indianapolis Colts (IND)","4","1","1","1","0","0","0","1","7.0","7.0","74.0%"
"16","New Orleans Saints (NO)","6","1","0","0","0","0","0","1","7.0","7.0","94.0%"
"17","Dallas Cowboys (DAL)","1","0","2","3","0","0","0","1","6.0","6.0","46.0%"
"18","Cincinnati Bengals (CIN)","4","0","1","1","0","0","0","1","6.0","6.0","7.0%"
"19","Kansas City Chiefs (KC)","1","1","1","1","0","0","0","1","5.0","5.0","94.0%"
"20","Las Vegas Raiders (LV)","3","0","0","1","0","0","0","1","4.0","4.0","3.0%"
"21","Houston Texans (HOU)","1","1","0","1","0","0","0","1","2.0","2.0","10.0%"
"22","Los Angeles Chargers (LAC)","2","0","0","0","0","0","0","1","2.0","2.0","66.0%"
"23","Carolina Panthers (CAR)","1","1","0","0","0","0","0","1","2.0","2.0","2.0%"
"24","Philadelphia Eagles (PHI)","1","0","0","0","0","0","0","1","1.0","1.0","65.0%"
"25","Washington Football Team (WAS)","1","0","0","0","0","0","0","1","0.0","0.0","14.0%"
"26","Pittsburgh Steelers (PIT)","1","0","0","0","0","0","0","1","0.0","0.0","99.0%"
"27","Atlanta Falcons (ATL)","1","0","0","1","0","0","0","1","0.0","0.0","2.0%"
"28","Denver Broncos (DEN)","0","0","0","0","0","0","0","1","0.0","0.0","69.0%"
"29","Cleveland Browns (CLE)","4","0","0","0","0","0","0","1","0.0","0.0","34.0%"
"30","Miami Dolphins (MIA)","1","0","0","0","0","0","0","1","-3.0","-3.0","3.0%"
"31","New York Giants (NYG)","0","0","0","0","0","0","0","1","-4.0","-4.0","1.0%"
"32","Jacksonville Jaguars (JAC)","0","0","0","0","0","0","0","1","-4.0","-4.0","4.0%"
""
""
