"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Derrick Henry (TEN)","32","211","6.6","53","2","3","0","0","0","0","0","0","1","39.1","39.1","100.0%"
"2","Boston Scott (PHI)","19","54","2.8","15","0","3","4","6","84","21.0","0","0","1","31.8","31.8","44.0%"
"3","Joe Mixon (CIN)","26","162","6.2","41","3","2","1","1","14","14.0","0","0","1","29.6","29.6","100.0%"
"4","Damien Williams (KC)","12","124","10.3","84","1","2","4","7","30","7.5","0","0","1","27.4","27.4","50.0%"
"5","Ezekiel Elliott (DAL)","18","122","6.8","33","1","1","3","5","2","0.7","1","0","1","24.4","24.4","100.0%"
"6","Mike Boone (MIN)","17","148","8.7","59","2","1","2","3","12","6.0","0","0","1","22.0","22.0","2.0%"
"7","Marlon Mack (IND)","15","77","5.1","20","1","2","0","1","0","0","0","0","1","19.7","19.7","87.0%"
"8","Raheem Mostert (SF)","10","57","5.7","17","0","2","1","2","16","16.0","0","0","1","19.3","19.3","96.0%"
"9","Melvin Gordon (DEN)","14","46","3.3","15","0","1","6","7","76","12.7","0","0","1","18.2","18.2","98.0%"
"10","Saquon Barkley (NYG)","17","92","5.4","68","1","1","3","4","25","8.3","0","0","1","17.7","17.7","100.0%"
"11","Alvin Kamara (NO)","8","39","4.9","15","0","2","2","3","18","9.0","0","0","1","17.7","17.7","100.0%"
"12","David Montgomery (CHI)","23","113","4.9","14","0","1","0","0","0","0","0","0","1","17.3","17.3","94.0%"
"13","Christian McCaffrey (CAR)","9","26","2.9","10","0","1","7","10","72","10.3","0","0","1","15.8","15.8","100.0%"
"14","Benny Snell Jr. (PIT)","18","91","5.1","19","0","1","0","0","0","0","0","0","1","15.1","15.1","5.0%"
"15","Ryquell Armstead (JAC)","10","33","3.3","9","0","0","5","9","52","10.4","1","0","1","14.5","14.5","6.0%"
"16","Aaron Jones (GB)","25","100","4.0","14","0","0","2","6","43","21.5","0","0","1","14.3","14.3","100.0%"
"17","Kenyan Drake (ARI)","12","60","5.0","24","1","1","3","4","23","7.7","0","0","1","14.3","14.3","99.0%"
"18","Sony Michel (NE)","18","74","4.1","9","0","1","0","0","0","0","0","0","1","13.4","13.4","87.0%"
"19","DeAndre Washington (KC)","17","77","4.5","36","1","0","8","9","55","6.9","0","0","1","13.2","13.2","7.0%"
"20","Duke Johnson (HOU)","4","12","3.0","8","0","1","5","6","45","9.0","0","0","1","11.7","11.7","47.0%"
"21","Kerryon Johnson (DET)","11","53","4.8","20","1","1","0","0","0","0","0","0","1","11.3","11.3","81.0%"
"22","Gus Edwards (BAL)","21","130","6.2","38","1","0","1","1","2","2.0","0","1","1","11.2","11.2","5.0%"
"23","Justice Hill (BAL)","10","39","3.9","13","0","1","1","2","10","10.0","0","0","1","10.9","10.9","5.0%"
"24","Ronald Jones II (TB)","11","106","9.6","33","2","0","2","2","10","5.0","0","1","1","9.6","9.6","89.0%"
"25","Marshawn Lynch (FA)","12","34","2.8","15","0","1","0","0","0","0","0","0","1","9.4","9.4","0.0%"
"26","Travis Homer (SEA)","10","62","6.2","13","0","0","5","5","30","6.0","0","0","1","9.2","9.2","0.0%"
"27","Malcolm Brown (LAR)","9","26","2.9","15","0","1","1","1","6","6.0","0","0","1","9.2","9.2","6.0%"
"28","Austin Ekeler (LAC)","9","46","5.1","22","1","0","9","11","43","4.8","0","0","1","8.9","8.9","99.0%"
"29","Todd Gurley (ATL)","20","68","3.4","14","0","0","2","2","21","10.5","0","0","1","8.9","8.9","99.0%"
"30","Le'Veon Bell (NYJ)","16","41","2.6","12","0","0","5","5","36","7.2","0","0","1","7.7","7.7","96.0%"
"31","James White (NE)","2","4","2.0","7","0","0","3","3","33","11.0","1","1","1","7.7","7.7","82.0%"
"32","Latavius Murray (NO)","17","61","3.6","13","0","0","1","1","14","14.0","0","0","1","7.5","7.5","70.0%"
"33","Devonta Freeman (FA)","18","58","3.2","12","0","0","2","4","15","7.5","0","0","1","7.3","7.3","39.0%"
"34","Patrick Laird (MIA)","11","21","1.9","4","0","0","4","5","48","12.0","0","0","1","6.9","6.9","1.0%"
"35","Tony Pollard (DAL)","14","60","4.3","11","0","0","1","2","5","5.0","0","0","1","6.5","6.5","51.0%"
"36","Ty Johnson (DET)","3","65","21.7","40","1","0","0","2","0","0","0","0","1","6.5","6.5","0.0%"
"37","Tarik Cohen (CHI)","4","20","5.0","19","0","0","9","10","44","4.9","0","0","1","6.4","6.4","76.0%"
"38","Jalen Richard (LV)","3","20","6.7","9","0","0","2","2","39","19.5","0","0","1","5.9","5.9","2.0%"
"39","Adrian Peterson (WAS)","13","78","6.0","32","1","0","1","4","0","0.0","0","1","1","5.8","5.8","47.0%"
"40","Nyheim Hines (IND)","7","34","4.9","15","0","0","3","5","22","7.3","0","0","1","5.6","5.6","23.0%"
