"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Aaron Rodgers (GB)","21","33","63.6","243","7.4","4","0","0","3","24","0","0","1","28.1","28.1","95.0%"
"2","Deshaun Watson (HOU)","18","25","72.0","234","9.4","3","0","3","4","-1","0","0","1","27.9","27.9","99.0%"
"3","Ryan Fitzpatrick (MIA)","27","39","69.2","365","9.4","3","1","3","3","2","0","0","1","27.8","27.8","11.0%"
"4","Carson Wentz (PHI)","28","46","60.9","310","6.7","3","1","2","0","0","0","0","1","25.4","25.4","95.0%"
"5","Tom Brady (TB)","24","47","51.1","326","6.9","3","1","3","1","13","0","0","1","25.3","25.3","97.0%"
"6","Jared Goff (LAR)","32","43","74.4","424","9.9","2","0","1","0","0","0","0","1","25.0","25.0","69.0%"
"7","Mitch Trubisky (CHI)","29","38","76.3","338","8.9","3","1","1","4","4","0","0","1","24.9","24.9","6.0%"
"8","Kyle Allen (WAS)","27","46","58.7","278","6.0","2","1","7","4","22","1","1","1","24.3","24.3","1.0%"
"9","Dak Prescott (DAL)","32","49","65.3","355","7.2","2","1","4","4","25","0","1","1","23.7","23.7","99.0%"
"10","Josh Allen (BUF)","19","24","79.2","231","9.6","1","0","4","10","43","1","0","1","23.5","23.5","98.0%"
"11","Lamar Jackson (BAL)","14","23","60.9","105","4.6","1","0","1","16","101","1","1","1","22.3","22.3","100.0%"
"12","Patrick Mahomes (KC)","15","29","51.7","175","6.0","1","0","1","3","25","1","0","1","19.5","19.5","100.0%"
"13","Matt Ryan (ATL)","35","50","70.0","312","6.2","2","2","9","3","21","0","1","1","18.6","18.6","97.0%"
"14","David Blough (DET)","22","38","57.9","280","7.4","2","1","2","1","1","0","0","1","18.3","18.3","0.0%"
"15","Kirk Cousins (MIN)","22","38","57.9","276","7.3","2","1","0","0","0","0","0","1","18.0","18.0","56.0%"
"16","Russell Wilson (SEA)","21","31","67.7","240","7.7","2","1","2","4","13","0","0","1","17.9","17.9","100.0%"
"17","Philip Rivers (IND)","20","29","69.0","265","9.1","2","1","3","0","0","0","0","1","17.6","17.6","48.0%"
"18","Taysom Hill (NO)","0","1","0.0","0","0.0","0","0","0","2","33","1","0","1","16.5","16.5","3.0%"
"19","Jacoby Brissett (IND)","25","40","62.5","319","8.0","1","2","3","1","-1","0","0","1","14.7","14.7","2.0%"
"20","Kyler Murray (ARI)","19","34","55.9","163","4.8","0","1","6","4","28","1","0","1","14.3","14.3","99.0%"
"21","Drew Lock (DEN)","18","28","64.3","134","4.8","2","1","0","3","15","0","0","1","13.9","13.9","45.0%"
"22","Ryan Tannehill (TEN)","17","22","77.3","182","8.3","2","0","6","4","5","0","1","1","13.8","13.8","73.0%"
"23","Andy Dalton (DAL)","22","37","59.5","243","6.6","1","0","1","5","-4","0","0","1","13.3","13.3","2.0%"
"24","Gardner Minshew II (JAC)","16","27","59.3","147","5.4","1","1","2","2","8","0","0","1","11.7","11.7","33.0%"
