"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Demarcus Robinson (KC)","6","6","172","28.7","44","4","2","0","0","0","0","1","29.2","29.2","2.0%"
"2","Julio Jones (ATL)","5","10","106","21.2","54","2","2","0","0","0","0","1","22.6","22.6","100.0%"
"3","Odell Beckham Jr. (CLE)","6","10","161","26.8","89","3","1","0","0","0","0","1","22.1","22.1","100.0%"
"4","Chris Godwin (TB)","8","9","121","15.1","24","4","1","0","0","0","0","1","18.1","18.1","100.0%"
"5","Emmanuel Sanders (NO)","11","13","98","8.9","21","1","1","0","0","0","0","1","17.8","17.8","73.0%"
"6","Kenny Golladay (DET)","8","10","117","14.6","31","2","1","0","0","0","0","1","17.7","17.7","99.0%"
"7","John Ross (CIN)","4","8","112","28.0","66","2","1","0","0","0","0","1","17.2","17.2","21.0%"
"8","Nelson Agholor (LV)","8","11","107","13.4","43","1","1","0","0","0","0","1","16.7","16.7","2.0%"
"9","Calvin Ridley (ATL)","8","10","105","13.1","34","1","1","0","0","0","0","1","16.5","16.5","96.0%"
"10","Deebo Samuel (SF)","5","7","86","17.2","39","2","1","2","7","0","0","1","15.3","15.3","89.0%"
"11","Marquise Goodwin (PHI)","3","3","77","25.7","38","2","1","0","0","0","0","1","13.7","13.7","1.0%"
"12","Brandin Cooks (HOU)","3","4","74","24.7","57","1","1","1","2","0","0","1","13.6","13.6","87.0%"
"13","Devin Smith (DAL)","3","3","74","24.7","51","1","1","0","0","0","0","1","13.4","13.4","0.0%"
"14","Cooper Kupp (LAR)","5","9","120","24.0","66","2","0","1","6","0","0","1","12.6","12.6","97.0%"
"15","Tyler Boyd (CIN)","10","10","122","12.2","47","1","0","0","0","0","0","1","12.2","12.2","91.0%"
"16","Terry McLaurin (WAS)","5","9","62","12.4","27","2","1","0","0","0","0","1","12.2","12.2","95.0%"
"17","Mecole Hardman (KC)","4","6","61","15.3","42","1","1","0","0","0","0","1","12.1","12.1","68.0%"
"18","D.K. Metcalf (SEA)","3","7","61","20.3","28","1","1","0","0","0","0","1","12.1","12.1","97.0%"
"19","Antonio Brown (FA)","4","8","56","14.0","20","1","1","1","5","0","0","1","12.1","12.1","31.0%"
"20","D.J. Chark (JAC)","7","9","55","7.9","14","0","1","0","0","0","0","1","11.5","11.5","95.0%"
"21","Christian Kirk (ARI)","6","8","114","19.0","34","3","0","0","0","0","0","1","11.4","11.4","60.0%"
"22","Davante Adams (GB)","7","9","106","15.1","39","2","0","0","0","0","0","1","10.6","10.6","100.0%"
"23","Tyrell Williams (LV)","5","7","46","9.2","19","0","1","0","0","0","0","1","10.6","10.6","23.0%"
"24","Amari Cooper (DAL)","4","5","44","11.0","18","0","1","0","0","0","0","1","10.4","10.4","99.0%"
"25","Larry Fitzgerald (ARI)","5","11","104","20.8","54","2","0","0","0","0","0","1","10.4","10.4","23.0%"
"26","Isaiah McKenzie (BUF)","2","2","40","20.0","26","1","1","1","4","0","0","1","10.4","10.4","0.0%"
"27","T.Y. Hilton (IND)","4","6","43","10.8","19","0","1","0","0","0","0","1","10.3","10.3","94.0%"
"28","Keenan Allen (LAC)","8","15","98","12.3","23","1","0","0","0","0","0","1","9.8","9.8","96.0%"
"29","TJ Jones (FA)","3","4","38","12.7","28","1","1","0","0","0","0","1","9.8","9.8","0.0%"
"30","Curtis Samuel (CAR)","5","13","91","18.2","44","2","0","1","2","0","0","1","9.3","9.3","40.0%"
"31","Stefon Diggs (BUF)","1","7","49","49.0","45","1","1","0","0","0","1","1","8.9","8.9","95.0%"
"32","D.J. Moore (CAR)","9","14","89","9.9","18","0","0","0","0","0","0","1","8.9","8.9","98.0%"
"33","Michael Thomas (NO)","10","13","89","8.9","19","0","0","0","0","0","0","1","8.9","8.9","100.0%"
"34","Marquise Brown (BAL)","8","13","86","10.8","41","1","0","0","0","0","0","1","8.6","8.6","93.0%"
"35","JuJu Smith-Schuster (PIT)","5","8","84","16.8","45","1","0","0","0","0","0","1","8.4","8.4","99.0%"
"36","Cole Beasley (BUF)","4","4","83","20.8","51","1","0","0","0","0","0","1","8.3","8.3","11.0%"
"37","Mike Williams (LAC)","3","5","83","27.7","47","1","0","0","0","0","0","1","8.3","8.3","72.0%"
"38","Robby Anderson (CAR)","4","6","81","20.3","36","2","0","0","0","0","0","1","8.1","8.1","47.0%"
"39","Tyler Lockett (SEA)","10","12","79","7.9","22","1","0","0","0","0","0","1","7.9","7.9","97.0%"
"40","Paul Richardson Jr. (FA)","3","3","16","5.3","9","0","1","0","0","0","0","1","7.6","7.6","0.0%"
"41","Adam Thielen (MIN)","5","8","75","15.0","30","2","0","0","0","0","0","1","7.5","7.5","99.0%"
"42","Chris Conley (JAC)","4","5","73","18.3","31","1","0","0","0","0","0","1","7.3","7.3","3.0%"
"43","John Brown (BUF)","7","8","72","10.3","17","0","0","0","0","0","0","1","7.2","7.2","89.0%"
"44","Parris Campbell (IND)","1","1","12","12.0","12","0","1","0","0","0","0","1","7.2","7.2","22.0%"
"45","Bennie Fowler III (NO)","5","10","51","10.2","14","0","0","1","20","0","0","1","7.1","7.1","0.0%"
"46","Michael Gallup (DAL)","6","8","68","11.3","16","0","0","0","0","0","0","1","6.8","6.8","93.0%"
"47","Geronimo Allison (DET)","4","4","25","6.3","12","0","1","0","0","0","1","1","6.5","6.5","1.0%"
"48","Preston Williams (MIA)","4","6","63","15.8","17","0","0","0","0","0","0","1","6.3","6.3","41.0%"
"49","Chad Beebe (MIN)","1","1","61","61.0","61","1","0","0","0","0","0","1","6.1","6.1","0.0%"
"50","Mike Evans (TB)","4","8","61","15.3","41","1","0","0","0","0","0","1","6.1","6.1","100.0%"
"51","Malik Turner (FA)","3","3","54","18.0","30","1","0","0","0","0","0","1","5.4","5.4","0.0%"
