"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","Houston Texans (HOU)","4","2","2","3","0","0","0","1","19.0","19.0","10.0%"
"2","Dallas Cowboys (DAL)","5","1","2","2","1","0","0","1","18.0","18.0","46.0%"
"3","Pittsburgh Steelers (PIT)","5","1","2","1","1","0","0","1","17.0","17.0","99.0%"
"4","Baltimore Ravens (BAL)","2","1","1","1","1","0","0","1","13.0","13.0","99.0%"
"5","Carolina Panthers (CAR)","4","2","1","1","0","0","0","1","11.0","11.0","2.0%"
"6","Miami Dolphins (MIA)","3","1","0","0","0","1","0","1","8.0","8.0","3.0%"
"7","Buffalo Bills (BUF)","4","0","0","1","0","0","0","1","8.0","8.0","98.0%"
"8","Indianapolis Colts (IND)","1","1","1","2","0","1","0","1","8.0","8.0","74.0%"
"9","Minnesota Vikings (MIN)","5","0","1","2","0","0","0","1","7.0","7.0","86.0%"
"10","Los Angeles Chargers (LAC)","3","0","0","0","0","0","0","1","7.0","7.0","66.0%"
"11","Philadelphia Eagles (PHI)","3","0","1","0","0","0","0","1","6.0","6.0","65.0%"
"12","New York Jets (NYJ)","4","0","0","0","0","1","0","1","6.0","6.0","29.0%"
"13","Las Vegas Raiders (LV)","2","1","1","0","0","0","0","1","6.0","6.0","3.0%"
"14","Cleveland Browns (CLE)","3","0","1","1","0","0","0","1","5.0","5.0","34.0%"
"15","Tennessee Titans (TEN)","3","1","0","0","0","0","0","1","4.0","4.0","39.0%"
"16","New England Patriots (NE)","1","0","2","1","0","0","0","1","4.0","4.0","96.0%"
"17","Chicago Bears (CHI)","4","0","0","0","0","0","0","1","4.0","4.0","93.0%"
"18","San Francisco 49ers (SF)","3","0","0","0","0","0","0","1","3.0","3.0","100.0%"
"19","Jacksonville Jaguars (JAC)","1","0","1","1","0","0","0","1","3.0","3.0","4.0%"
"20","Denver Broncos (DEN)","2","0","0","0","0","0","0","1","3.0","3.0","69.0%"
"21","New York Giants (NYG)","0","1","1","1","0","0","0","1","3.0","3.0","1.0%"
"22","Seattle Seahawks (SEA)","2","0","1","1","0","0","0","1","3.0","3.0","53.0%"
"23","Washington Football Team (WAS)","2","0","0","1","0","0","0","1","2.0","2.0","14.0%"
"24","Green Bay Packers (GB)","2","0","0","0","0","0","0","1","2.0","2.0","32.0%"
"25","Kansas City Chiefs (KC)","1","0","0","0","0","0","0","1","1.0","1.0","94.0%"
"26","Tampa Bay Buccaneers (TB)","3","0","1","2","0","0","0","1","1.0","1.0","56.0%"
"27","New Orleans Saints (NO)","0","0","0","0","0","0","0","0","0","0","94.0%"
"28","Atlanta Falcons (ATL)","0","0","0","0","0","0","0","0","0","0","2.0%"
"29","Detroit Lions (DET)","1","0","0","0","0","0","0","1","0.0","0.0","4.0%"
"30","Los Angeles Rams (LAR)","0","0","0","0","0","0","0","0","0","0","76.0%"
"31","Cincinnati Bengals (CIN)","0","0","0","0","0","0","0","0","0","0","7.0%"
"32","Arizona Cardinals (ARI)","1","0","0","0","0","0","0","1","0.0","0.0","5.0%"
""
""
