"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Marvin Jones (DET)","10","13","93","9.3","24","1","4","0","0","0","0","1","33.3","33.3","76.0%"
"2","Zach Pascal (IND)","6","7","106","17.7","34","3","2","0","0","0","0","1","22.6","22.6","3.0%"
"3","Marquez Valdes-Scantling (GB)","2","3","133","66.5","74","2","1","0","0","0","0","1","19.3","19.3","2.0%"
"4","DeAndre Hopkins (ARI)","9","12","106","11.8","21","1","1","0","0","0","0","1","16.6","16.6","100.0%"
"5","Allen Robinson (CHI)","10","16","87","8.7","17","0","1","0","0","0","0","1","14.7","14.7","99.0%"
"6","John Brown (BUF)","5","6","83","16.6","24","3","1","0","0","0","0","1","14.3","14.3","89.0%"
"7","Stefon Diggs (BUF)","7","8","143","20.4","66","2","0","0","0","0","0","1","14.3","14.3","95.0%"
"8","Corey Davis (TEN)","6","7","80","13.3","38","1","1","0","0","0","0","1","14.0","14.0","8.0%"
"9","Alex Erickson (CIN)","8","14","137","17.1","48","2","0","2","-2","0","0","1","13.5","13.5","1.0%"
"10","T.Y. Hilton (IND)","6","11","74","12.3","25","2","1","0","0","0","0","1","13.4","13.4","94.0%"
"11","Tyreek Hill (KC)","3","5","74","24.7","57","1","1","0","0","0","0","1","13.4","13.4","100.0%"
"12","Michael Thomas (NO)","9","11","131","14.6","34","2","0","0","0","0","0","1","13.1","13.1","100.0%"
"13","Tyler Lockett (SEA)","5","7","61","12.2","33","1","1","1","-3","0","0","1","11.8","11.8","97.0%"
"14","Dede Westbrook (JAC)","6","9","103","17.2","33","2","0","2","14","0","0","1","11.7","11.7","14.0%"
"15","DeVante Parker (MIA)","5","10","55","11.0","14","0","1","0","0","0","0","1","11.5","11.5","96.0%"
"16","Jake Kumerow (GB)","2","2","54","27.0","37","1","1","0","0","0","0","1","11.4","11.4","0.0%"
"17","Amari Cooper (DAL)","5","5","106","21.2","44","2","0","0","0","0","0","1","10.6","10.6","99.0%"
"18","Phillip Dorsett (SEA)","3","4","46","15.3","26","1","1","0","0","0","0","1","10.6","10.6","2.0%"
"19","Danny Amendola (DET)","8","11","105","13.1","36","1","0","0","0","0","0","1","10.5","10.5","3.0%"
"20","Kenny Stills (HOU)","4","5","105","26.3","45","2","0","0","0","0","0","1","10.5","10.5","11.0%"
"21","Chris Conley (JAC)","3","7","83","27.7","47","2","0","0","0","0","0","1","10.3","10.3","3.0%"
"22","Olabisi Johnson (MIN)","4","8","40","10.0","19","0","1","0","0","0","0","1","10.0","10.0","1.0%"
"23","Julio Jones (ATL)","6","9","93","15.5","39","1","0","0","0","0","0","1","9.3","9.3","100.0%"
"24","Keke Coutee (HOU)","3","5","25","8.3","13","0","0","1","4","1","0","1","8.9","8.9","1.0%"
"25","Mecole Hardman (KC)","2","3","28","14.0","21","1","1","0","0","0","0","1","8.8","8.8","68.0%"
"26","Courtland Sutton (DEN)","6","8","87","14.5","41","1","0","0","0","0","0","1","8.7","8.7","97.0%"
"27","Robert Woods (LAR)","5","7","80","16.0","25","1","0","1","6","0","0","1","8.6","8.6","94.0%"
"28","Adam Thielen (MIN)","1","2","25","25.0","25","1","1","0","0","0","0","1","8.5","8.5","99.0%"
"29","Cordarrelle Patterson (CHI)","2","3","21","10.5","11","0","0","1","2","0","0","1","8.3","8.3","1.0%"
"30","Tavon Austin (FA)","0","1","0","0","0","0","0","1","20","1","0","1","8.0","8.0","0.0%"
"31","Golden Tate (NYG)","6","11","80","13.3","20","1","0","0","0","0","0","1","8.0","8.0","45.0%"
"32","Tajae Sharpe (MIN)","2","3","19","9.5","14","0","1","0","0","0","0","1","7.9","7.9","0.0%"
"33","Cole Beasley (BUF)","3","6","16","5.3","8","0","1","0","0","0","0","1","7.6","7.6","11.0%"
"34","D.J. Chark (JAC)","3","5","53","17.7","33","1","0","1","20","0","0","1","7.3","7.3","95.0%"
"35","Kendrick Bourne (SF)","3","4","69","23.0","28","2","0","0","0","0","0","1","6.9","6.9","2.0%"
"36","Julian Edelman (NE)","7","12","47","6.7","14","0","0","3","20","0","0","1","6.7","6.7","91.0%"
"37","Javon Wims (CHI)","1","1","6","6.0","6","0","1","0","0","0","0","1","6.6","6.6","0.0%"
"38","Auden Tate (CIN)","3","6","65","21.7","33","2","0","0","0","0","0","1","6.5","6.5","2.0%"
"39","A.J. Brown (TEN)","6","8","64","10.7","16","0","0","1","-2","0","0","1","6.2","6.2","99.0%"
"40","Keelan Cole (JAC)","1","2","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.0%"
"41","Preston Williams (MIA)","6","8","82","13.7","35","1","0","0","0","0","1","1","6.2","6.2","41.0%"
"42","Keenan Allen (LAC)","4","11","61","15.3","17","0","0","0","0","0","0","1","6.1","6.1","96.0%"
"43","Emmanuel Sanders (NO)","5","6","60","12.0","16","0","0","0","0","0","0","1","6.0","6.0","73.0%"
"44","Jaron Brown (FA)","3","6","60","20.0","48","1","0","0","0","0","0","1","6.0","6.0","0.0%"
"45","Brandin Cooks (HOU)","4","7","59","14.8","21","1","0","0","0","0","0","1","5.9","5.9","87.0%"
"46","Miles Boykin (BAL)","2","2","55","27.5","50","1","0","0","0","0","0","1","5.5","5.5","4.0%"
"47","Keelan Doss (LV)","3","5","54","18.0","31","1","0","0","0","0","0","1","5.4","5.4","0.0%"
"48","Allen Hurns (MIA)","3","3","53","17.7","27","1","0","0","0","0","0","1","5.3","5.3","0.0%"
"49","Cooper Kupp (LAR)","6","8","50","8.3","17","0","0","0","0","0","0","1","5.0","5.0","97.0%"
"50","Ted Ginn (CHI)","2","5","48","24.0","45","1","0","0","0","0","0","1","4.8","4.8","1.0%"
"51","Marvin Hall (DET)","1","2","47","47.0","47","1","0","0","0","0","0","1","4.7","4.7","0.0%"
"52","Jakobi Meyers (NE)","5","5","47","9.4","23","1","0","0","0","0","0","1","4.7","4.7","1.0%"
"53","Mike Williams (LAC)","4","6","47","11.8","21","1","0","0","0","0","0","1","4.7","4.7","72.0%"
"54","Anthony Miller (CHI)","5","9","64","12.8","28","1","0","1","-1","0","1","1","4.3","4.3","50.0%"
"55","Demaryius Thomas (FA)","3","9","42","14.0","20","1","0","0","0","0","0","1","4.2","4.2","0.0%"
"56","Allen Lazard (GB)","3","4","42","14.0","26","1","0","0","0","0","0","1","4.2","4.2","27.0%"
"57","Richie James (SF)","1","1","40","40.0","40","1","0","0","0","0","0","1","4.0","4.0","0.0%"
"58","Adam Humphries (TEN)","4","4","40","10.0","14","0","0","0","0","0","0","1","4.0","4.0","1.0%"
"59","Alshon Jeffery (PHI)","2","5","38","19.0","30","1","0","0","0","0","0","1","3.8","3.8","40.0%"
