"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Harrison Butker (KC)","4","4","100.0","46","0","2","1","1","0","4","4","1","17.0","17.0","99.0%"
"2","Stephen Gostkowski (FA)","4","4","100.0","41","0","1","2","1","0","3","3","1","16.0","16.0","1.0%"
"3","Wil Lutz (NO)","3","4","75.0","58","0","0","1","1","1","3","3","1","15.0","15.0","99.0%"
"4","Greg Zuerlein (DAL)","3","4","75.0","56","0","1","0","1","1","3","3","1","15.0","15.0","97.0%"
"5","Zane Gonzalez (ARI)","4","4","100.0","42","0","2","1","1","0","1","1","1","14.0","14.0","68.0%"
"6","Cairo Santos (FA)","2","2","100.0","53","0","0","1","0","1","5","5","1","13.0","13.0","0.0%"
"7","Robbie Gould (SF)","3","4","75.0","47","0","1","1","1","0","2","2","1","12.0","12.0","90.0%"
"8","Joey Slye (CAR)","2","3","66.7","52","0","0","0","1","1","3","3","1","12.0","12.0","18.0%"
"9","Matt Prater (DET)","2","2","100.0","55","0","0","1","0","1","3","3","1","11.0","11.0","79.0%"
"10","Dustin Hopkins (WAS)","2","2","100.0","48","0","0","0","2","0","3","3","1","11.0","11.0","1.0%"
"11","Justin Tucker (BAL)","1","1","100.0","34","0","0","1","0","0","8","8","1","11.0","11.0","100.0%"
"12","Brandon McManus (DEN)","3","4","75.0","39","0","2","1","0","0","1","1","1","10.0","10.0","8.0%"
"13","Randy Bullock (CIN)","2","3","66.7","39","0","1","1","0","0","2","2","1","8.0","8.0","2.0%"
"14","Josh Lambo (JAC)","2","2","100.0","37","0","1","1","0","0","2","2","1","8.0","8.0","5.0%"
"15","Ty Long (LAC)","1","1","100.0","40","0","0","0","1","0","3","3","1","7.0","7.0","0.0%"
"16","Stephen Hauschka (BUF)","1","1","100.0","43","0","0","0","1","0","2","2","1","6.0","6.0","4.0%"
"17","Jake Elliott (PHI)","1","1","100.0","22","0","1","0","0","0","3","3","1","6.0","6.0","35.0%"
"18","Daniel Carlson (LV)","1","1","100.0","29","0","1","0","0","0","3","3","1","6.0","6.0","2.0%"
"19","Jason Sanders (MIA)","1","1","100.0","54","0","0","0","0","1","1","1","1","6.0","6.0","1.0%"
"20","Matt Gay (TB)","1","1","100.0","31","0","0","1","0","0","2","2","1","5.0","5.0","77.0%"
"21","Adam Vinatieri (FA)","1","3","33.3","44","0","0","0","1","0","1","2","1","5.0","5.0","1.0%"
"22","Aldrick Rosas (FA)","1","1","100.0","28","0","1","0","0","0","2","2","1","5.0","5.0","1.0%"
"23","Brett Maher (NYJ)","0","0","0","0","0","0","0","0","0","5","5","1","5.0","5.0","2.0%"
"24","Mason Crosby (GB)","1","1","100.0","39","0","0","1","0","0","1","1","1","4.0","4.0","15.0%"
"25","Ka'imi Fairbairn (HOU)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","32.0%"
"26","Dan Bailey (MIN)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","41.0%"
"27","Eddy Pineiro (CHI)","1","1","100.0","38","0","0","1","0","0","0","0","1","3.0","3.0","1.0%"
"28","Jason Myers (SEA)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","22.0%"
"29","Chris Boswell (PIT)","1","1","100.0","19","1","0","0","0","0","0","0","1","3.0","3.0","11.0%"
"30","Austin Seibert (CLE)","0","0","0","0","0","0","0","0","0","1","2","1","1.0","1.0","4.0%"
"31","Sam Ficken (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"32","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"33","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"34","Chandler Catanzaro (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Cody Parkey (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"36","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.0%"
"37","Sam Sloman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Lirim Hajrullahu (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"42","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Ramiz Ahmed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"45","Chase McLaughlin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"46","Greg Joseph (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"47","Kaare Vedvik (BUF)","0","1","0.0","0","0","0","0","0","0","0","1","1","0.0","0.0","0.0%"
"48","Michael Badgley (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","29.0%"
"49","Matt McCrane (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"50","Tristan Vizcaino (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Elliott Fry (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Mike Nugent (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"53","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"54","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"55","Ryan Succop (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","Sebastian Janikowski (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","29.0%"
"57","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"58","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"59","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"60","Matt Bryant (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"61","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"62","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"63","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"64","Graham Gano (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"65","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"66","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"67","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"68","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"69","Kai Forbath (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"70","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"71","Giorgio Tavecchio (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"72","Caleb Sturgis (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"73","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"74","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"75","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
""
""
