"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","James White (NE)","14","79","5.6","32","1","0","8","11","98","12.3","2","0","1","29.7","29.7","82.0%"
"2","Derrius Guice (FA)","10","129","12.9","60","2","2","2","2","8","4.0","0","0","1","25.7","25.7","69.0%"
"3","Rashaad Penny (SEA)","15","74","4.9","13","0","1","4","5","33","8.3","1","0","1","22.7","22.7","12.0%"
"4","Raheem Mostert (SF)","19","146","7.7","40","1","1","2","2","8","4.0","0","0","1","21.4","21.4","96.0%"
"5","Derrick Henry (TEN)","26","149","5.7","34","1","1","3","3","17","5.7","0","1","1","20.6","20.6","100.0%"
"6","Peyton Barber (WAS)","17","44","2.6","15","0","2","0","0","0","0","0","0","1","18.4","18.4","3.0%"
"7","Todd Gurley (ATL)","19","95","5.0","11","0","1","1","1","20","20.0","0","0","1","17.5","17.5","99.0%"
"8","Chris Carson (SEA)","23","102","4.4","25","1","1","1","2","7","7.0","0","0","1","16.9","16.9","98.0%"
"9","Miles Sanders (PHI)","17","83","4.9","13","0","0","5","5","22","4.4","1","0","1","16.5","16.5","99.0%"
"10","Devin Singletary (BUF)","14","63","4.5","26","1","0","3","4","38","12.7","1","0","1","16.1","16.1","95.0%"
"11","Adrian Peterson (WAS)","13","99","7.6","22","2","1","0","1","0","0","0","0","1","15.9","15.9","47.0%"
"12","Duke Johnson (HOU)","9","36","4.0","13","0","0","5","6","54","10.8","1","0","1","15.0","15.0","47.0%"
"13","David Montgomery (CHI)","16","75","4.7","14","0","0","2","2","12","6.0","1","0","1","14.7","14.7","94.0%"
"14","Ezekiel Elliott (DAL)","12","71","5.9","30","1","0","7","10","66","9.4","0","0","1","13.7","13.7","100.0%"
"15","Joe Mixon (CIN)","19","44","2.3","9","0","1","4","4","26","6.5","0","0","1","13.0","13.0","100.0%"
"16","Patrick Laird (MIA)","10","5","0.5","4","0","1","4","5","43","10.8","0","0","1","12.8","12.8","1.0%"
"17","Benny Snell Jr. (PIT)","16","63","3.9","14","0","1","1","1","4","4.0","0","0","1","12.7","12.7","5.0%"
"18","Austin Ekeler (LAC)","9","16","1.8","8","0","0","4","5","51","12.8","1","0","1","12.7","12.7","99.0%"
"19","Kareem Hunt (CLE)","7","46","6.6","16","0","0","5","5","19","3.8","1","0","1","12.5","12.5","92.0%"
"20","Saquon Barkley (NYG)","19","83","4.4","16","0","0","3","7","32","10.7","0","0","1","11.5","11.5","100.0%"
"21","Melvin Gordon (DEN)","20","99","5.0","19","0","0","2","3","11","5.5","0","0","1","11.0","11.0","98.0%"
"22","Josh Jacobs (LV)","17","104","6.1","35","1","0","0","0","0","0","0","0","1","10.4","10.4","100.0%"
"23","Darwin Thompson (KC)","11","44","4.0","9","0","1","0","0","0","0","0","0","1","10.4","10.4","4.0%"
"24","Dalvin Cook (MIN)","9","29","3.2","9","0","1","3","4","35","11.7","0","1","1","10.4","10.4","100.0%"
"25","Christian McCaffrey (CAR)","14","44","3.1","12","0","0","7","12","58","8.3","0","0","1","10.2","10.2","100.0%"
"26","Nyheim Hines (IND)","4","22","5.5","14","0","1","2","2","18","9.0","0","0","1","10.0","10.0","23.0%"
"27","Leonard Fournette (JAC)","14","38","2.7","10","0","0","9","11","53","5.9","0","0","1","9.1","9.1","96.0%"
"28","LeSean McCoy (TB)","5","10","2.0","6","0","1","3","3","20","6.7","0","0","1","9.0","9.0","11.0%"
"29","Alvin Kamara (NO)","11","61","5.5","24","1","0","4","8","23","5.8","0","0","1","8.4","8.4","100.0%"
"30","Bo Scarbrough (DET)","21","83","4.0","15","0","0","0","0","0","0","0","0","1","8.3","8.3","1.0%"
"31","Nick Chubb (CLE)","16","58","3.6","12","0","0","1","2","21","21.0","0","0","1","7.9","7.9","100.0%"
"32","Darrel Williams (KC)","6","13","2.2","15","0","0","1","2","3","3.0","1","0","1","7.6","7.6","2.0%"
"33","Alexander Mattison (MIN)","4","22","5.5","15","0","0","4","5","51","12.8","0","0","1","7.3","7.3","65.0%"
"34","Le'Veon Bell (NYJ)","10","32","3.2","7","0","0","4","5","35","8.8","0","0","1","6.7","6.7","96.0%"
"35","Jamaal Williams (GB)","10","41","4.1","9","0","0","4","4","26","6.5","0","0","1","6.7","6.7","13.0%"
"36","Devonta Freeman (FA)","17","51","3.0","6","0","0","4","5","13","3.3","0","0","1","6.4","6.4","39.0%"
"37","Phillip Lindsay (DEN)","17","58","3.4","15","0","0","3","3","4","1.3","0","0","1","6.2","6.2","88.0%"
"38","Mark Ingram II (BAL)","15","59","3.9","10","0","0","2","2","3","1.5","0","0","1","6.2","6.2","97.0%"
"39","Jordan Wilkins (IND)","11","47","4.3","15","0","0","2","3","9","4.5","0","0","1","5.6","5.6","1.0%"
"40","Jaylen Samuels (PIT)","7","32","4.6","8","0","0","2","2","22","11.0","0","0","1","5.4","5.4","4.0%"
