"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"55","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Jake Dolegala (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"57","Justin Herbert (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"58","Jarrett Stidham (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"59","Phillip Walker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Nick Mullens (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Cooper Rush (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","C.J. Beathard (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Davis Webb (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Joshua Dobbs (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Chad Kelly (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Nathan Peterman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Deshaun Watson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.0%"
"68","Kurt Benkert (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Tim Boyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Alex McGough (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Danny Etling (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Kyle Lauletta (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Mike White (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Logan Woodside (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Josh Rosen (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"76","Mason Rudolph (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"77","Lamar Jackson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"78","Steven Montez (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Bryce Perkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Nate Stanley (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Josh Love (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Reid Sinnett (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Tommy Stevens (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Ben DiNucci (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Chris Streveler (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Kevin Davidson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Brian Lewerke (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","James Morgan (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Jake Luton (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Cole McDonald (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Colt McCoy (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"93","John David Booty (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"94","Tyrod Taylor (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"95","Cam Newton (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.0%"
"96","Blaine Gabbert (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"98","Chad Henne (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Chase Daniel (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Brian Hoyer (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Brian Brohm (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"102","Brett Ratliff (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"103","Ben Roethlisberger (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.0%"
"104","Matthew Stafford (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.0%"
"105","Matt Schaub (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Matt Moore (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Keith Null (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"108","Joe Flacco (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"109","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"110","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"111","James Franklin (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"112","Nate Sudfeld (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Brandon Allen (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Alex Smith (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"115","Jeff Driskel (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Paxton Lynch (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Tyler Bray (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Alex Tanney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Kirk Cousins (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.0%"
"120","Nick Foles (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"121","Garrett Gilbert (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","David Fales (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"124","Ryan Griffin (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Geno Smith (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Mike Glennon (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Will Grier (CAR)","1","8","12.5","4","0.5","0","1","1","3","5","0","1","1","-2.3","-2.3","0.0%"
""
""
