"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Sammy Watkins (KC)","9","11","198","22.0","68","4","3","0","0","0","0","1","37.8","37.8","59.0%"
"2","John Ross (CIN)","7","12","158","22.6","55","4","2","0","0","0","0","1","27.8","27.8","21.0%"
"3","DeSean Jackson (PHI)","8","9","154","19.3","53","2","2","0","0","0","0","1","27.4","27.4","44.0%"
"4","Marquise Brown (BAL)","4","5","147","36.8","83","2","2","0","0","0","0","1","26.7","26.7","93.0%"
"5","DeAndre Hopkins (ARI)","8","13","111","13.9","38","2","2","0","0","0","0","1","23.1","23.1","100.0%"
"6","Phillip Dorsett (SEA)","4","4","95","23.8","58","2","2","0","0","0","0","1","21.5","21.5","2.0%"
"7","T.Y. Hilton (IND)","8","9","87","10.9","19","0","2","0","0","0","0","1","20.7","20.7","94.0%"
"8","D.J. Chark (JAC)","4","4","146","36.5","69","3","1","0","0","0","0","1","20.6","20.6","95.0%"
"9","Terry McLaurin (WAS)","5","7","125","25.0","69","2","1","0","0","0","0","1","18.5","18.5","95.0%"
"10","John Brown (BUF)","7","10","123","17.6","38","2","1","0","0","0","0","1","18.3","18.3","89.0%"
"11","Keenan Allen (LAC)","8","10","123","15.4","28","4","1","0","0","0","0","1","18.3","18.3","96.0%"
"12","Larry Fitzgerald (ARI)","8","13","113","14.1","45","2","1","0","0","0","0","1","17.3","17.3","23.0%"
"13","Alshon Jeffery (PHI)","5","7","49","9.8","16","0","1","1","2","1","0","1","17.1","17.1","40.0%"
"14","Amari Cooper (DAL)","6","9","106","17.7","45","2","1","0","0","0","0","1","16.6","16.6","99.0%"
"15","Tyrell Williams (LV)","6","7","105","17.5","43","2","1","0","0","0","0","1","16.5","16.5","23.0%"
"16","Danny Amendola (DET)","7","13","104","14.9","47","1","1","0","0","0","0","1","16.4","16.4","3.0%"
"17","Michael Gallup (DAL)","7","7","158","22.6","62","3","0","0","0","0","0","1","15.8","15.8","93.0%"
"18","Chris Conley (JAC)","6","7","97","16.2","21","3","1","0","0","0","0","1","15.7","15.7","3.0%"
"19","Emmanuel Sanders (NO)","5","7","86","17.2","53","2","1","0","0","0","0","1","14.6","14.6","73.0%"
"20","Josh Gordon (FA)","3","4","73","24.3","44","2","1","0","0","0","0","1","13.3","13.3","4.0%"
"21","Randall Cobb (HOU)","4","5","69","17.3","25","1","1","0","0","0","0","1","12.9","12.9","10.0%"
"22","Calvin Ridley (ATL)","4","6","64","16.0","20","2","1","0","0","0","0","1","12.4","12.4","96.0%"
"23","Michael Thomas (NO)","10","13","123","12.3","24","1","0","0","0","0","0","1","12.3","12.3","100.0%"
"24","Courtland Sutton (DEN)","7","8","120","17.1","30","3","0","0","0","0","0","1","12.0","12.0","97.0%"
"25","Chris Godwin (TB)","3","6","53","17.7","28","1","1","0","0","0","0","1","11.3","11.3","100.0%"
"26","Julian Edelman (NE)","6","11","83","13.8","24","1","0","1","8","0","0","1","10.4","10.4","91.0%"
"27","Tyler Lockett (SEA)","1","2","44","44.0","44","1","1","0","0","0","0","1","10.4","10.4","97.0%"
"28","Adam Thielen (MIN)","3","3","43","14.3","23","1","1","0","0","0","0","1","10.3","10.3","99.0%"
"29","Jamison Crowder (NYJ)","14","17","99","7.1","19","0","0","1","4","0","0","1","10.3","10.3","55.0%"
"30","Allen Robinson (CHI)","7","13","102","14.6","27","3","0","0","0","0","0","1","10.2","10.2","99.0%"
"31","Kenny Golladay (DET)","4","9","42","10.5","13","0","1","0","0","0","0","1","10.2","10.2","99.0%"
"32","Ted Ginn (CHI)","7","7","101","14.4","41","1","0","0","0","0","0","1","10.1","10.1","1.0%"
"33","Willie Snead (BAL)","2","3","41","20.5","33","1","1","0","0","0","0","1","10.1","10.1","1.0%"
"34","A.J. Brown (TEN)","3","4","100","33.3","51","2","0","0","0","0","0","1","10.0","10.0","99.0%"
"35","Richie James (SF)","1","2","39","39.0","39","1","1","0","0","0","0","1","9.9","9.9","0.0%"
"36","Kenny Stills (HOU)","3","3","37","12.3","37","1","1","0","0","0","0","1","9.7","9.7","11.0%"
"37","Trey Quinn (WAS)","4","6","33","8.3","14","0","1","0","0","0","0","1","9.3","9.3","0.0%"
"38","Dede Westbrook (JAC)","5","6","30","6.0","15","0","1","1","2","0","0","1","9.2","9.2","14.0%"
"39","Julio Jones (ATL)","6","11","31","5.2","10","0","1","0","0","0","0","1","9.1","9.1","100.0%"
"40","D.K. Metcalf (SEA)","4","6","89","22.3","42","2","0","0","0","0","0","1","8.9","8.9","97.0%"
"41","Robert Woods (LAR)","8","13","70","8.8","22","1","0","2","16","0","0","1","8.6","8.6","94.0%"
"42","Tre'Quan Smith (NO)","2","2","26","13.0","14","0","1","0","0","0","0","1","8.6","8.6","2.0%"
"43","Preston Williams (MIA)","3","5","24","8.0","11","0","1","0","0","0","0","1","8.4","8.4","41.0%"
"44","JuJu Smith-Schuster (PIT)","6","8","78","13.0","26","1","0","0","0","0","0","1","7.8","7.8","99.0%"
"45","Jarvis Landry (CLE)","4","7","67","16.8","34","2","0","1","10","0","0","1","7.7","7.7","92.0%"
"46","DeVante Parker (MIA)","3","7","75","25.0","49","1","0","0","0","0","0","1","7.5","7.5","96.0%"
"47","Cody Latimer (WAS)","3","7","74","24.7","43","2","0","0","0","0","0","1","7.4","7.4","0.0%"
"48","Odell Beckham Jr. (CLE)","7","11","71","10.1","24","1","0","0","0","0","0","1","7.1","7.1","100.0%"
