"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Derrick Henry (TEN)","23","188","8.2","68","1","2","2","2","3","1.5","0","0","1","31.1","31.1","100.0%"
"2","Aaron Jones (GB)","13","93","7.2","28","1","3","0","0","0","0","0","0","1","27.3","27.3","100.0%"
"3","Dalvin Cook (MIN)","26","97","3.7","23","1","1","7","7","86","12.3","0","0","1","24.3","24.3","100.0%"
"4","Christian McCaffrey (CAR)","20","108","5.4","18","0","1","6","7","33","5.5","0","0","1","20.1","20.1","100.0%"
"5","Melvin Gordon (DEN)","22","108","4.9","24","1","1","1","1","25","25.0","0","0","1","19.3","19.3","98.0%"
"6","Josh Jacobs (LV)","16","71","4.4","18","0","1","3","5","30","10.0","0","0","1","16.1","16.1","100.0%"
"7","Chris Carson (SEA)","25","89","3.6","9","0","1","3","4","12","4.0","0","0","1","16.1","16.1","98.0%"
"8","Joe Mixon (CIN)","30","114","3.8","15","0","0","2","3","37","18.5","0","0","1","15.1","15.1","100.0%"
"9","Ronald Jones II (TB)","11","29","2.6","11","0","1","8","8","77","9.6","0","1","1","14.6","14.6","89.0%"
"10","Brian Hill (ATL)","20","61","3.1","15","0","0","1","2","10","10.0","1","0","1","13.1","13.1","1.0%"
"11","Le'Veon Bell (NYJ)","18","34","1.9","4","0","1","4","4","34","8.5","0","0","1","12.8","12.8","96.0%"
"12","Nick Chubb (CLE)","20","116","5.8","24","3","0","2","4","5","2.5","0","0","1","12.1","12.1","100.0%"
"13","Austin Ekeler (LAC)","6","19","3.2","10","0","0","2","2","29","14.5","1","0","1","10.8","10.8","99.0%"
"14","Peyton Barber (WAS)","11","43","3.9","17","0","1","1","1","4","4.0","0","0","1","10.7","10.7","3.0%"
"15","Tarik Cohen (CHI)","3","14","4.7","8","0","0","4","4","23","5.8","1","0","1","9.7","9.7","76.0%"
"16","Mark Ingram II (BAL)","9","34","3.8","9","0","1","0","0","0","0","0","0","1","9.4","9.4","97.0%"
"17","Damien Williams (KC)","19","77","4.1","15","0","0","5","5","32","6.4","0","1","1","8.9","8.9","50.0%"
"18","Marlon Mack (IND)","19","74","3.9","20","1","0","1","1","8","8.0","0","0","1","8.2","8.2","87.0%"
"19","Kareem Hunt (CLE)","4","30","7.5","9","0","0","7","9","44","6.3","0","0","1","7.4","7.4","92.0%"
"20","Alvin Kamara (NO)","4","24","6.0","8","0","0","8","10","50","6.3","0","0","1","7.4","7.4","100.0%"
"21","Todd Gurley (ATL)","12","73","6.1","22","1","0","0","4","0","0","0","0","1","7.3","7.3","99.0%"
"22","Alec Ingold (LV)","1","3","3.0","3","0","0","1","1","9","9.0","1","0","1","7.2","7.2","0.0%"
"23","Tevin Coleman (SF)","9","40","4.4","22","1","0","4","4","32","8.0","0","0","1","7.2","7.2","67.0%"
"24","Jamaal Williams (GB)","13","63","4.8","16","0","0","0","1","0","0","0","0","1","6.3","6.3","13.0%"
"25","Ezekiel Elliott (DAL)","20","47","2.4","6","0","0","2","3","16","8.0","0","0","1","6.3","6.3","100.0%"
"26","David Montgomery (CHI)","17","60","3.5","9","0","0","0","0","0","0","0","0","1","6.0","6.0","94.0%"
"27","J.D. McKissic (WAS)","10","36","3.6","9","0","0","6","7","19","3.2","0","0","1","5.5","5.5","0.0%"
"28","Alexander Mattison (MIN)","8","52","6.5","16","0","0","1","1","2","2.0","0","0","1","5.4","5.4","65.0%"
"29","Devin Singletary (BUF)","8","42","5.3","10","0","0","3","6","8","2.7","0","0","1","5.0","5.0","95.0%"
