"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","New England Patriots (NE)","1","4","2","1","0","1","0","1","25.0","25.0","96.0%"
"2","Kansas City Chiefs (KC)","9","0","1","3","1","0","0","1","24.0","24.0","94.0%"
"3","Los Angeles Rams (LAR)","5","1","2","3","1","0","0","1","21.0","21.0","76.0%"
"4","Baltimore Ravens (BAL)","1","1","1","0","2","0","0","1","18.0","18.0","99.0%"
"5","Jacksonville Jaguars (JAC)","2","3","1","1","1","0","0","1","17.0","17.0","4.0%"
"6","Arizona Cardinals (ARI)","8","1","2","3","0","0","0","1","15.0","15.0","5.0%"
"7","San Francisco 49ers (SF)","3","0","1","1","0","0","0","1","15.0","15.0","100.0%"
"8","Dallas Cowboys (DAL)","3","1","3","3","0","0","0","1","15.0","15.0","46.0%"
"9","Indianapolis Colts (IND)","3","2","0","0","0","1","0","1","9.0","9.0","74.0%"
"10","New York Giants (NYG)","2","0","0","0","0","0","0","1","8.0","8.0","1.0%"
"11","New Orleans Saints (NO)","2","0","2","2","0","1","0","1","8.0","8.0","94.0%"
"12","Washington Football Team (WAS)","2","1","0","0","0","0","0","1","8.0","8.0","14.0%"
"13","Buffalo Bills (BUF)","1","1","1","2","0","0","1","1","5.0","5.0","98.0%"
"14","Tennessee Titans (TEN)","1","0","1","2","0","0","0","1","4.0","4.0","39.0%"
"15","Los Angeles Chargers (LAC)","2","1","0","1","0","0","0","1","4.0","4.0","66.0%"
"16","Minnesota Vikings (MIN)","2","1","0","0","0","0","0","1","3.0","3.0","86.0%"
"17","Houston Texans (HOU)","1","0","1","0","0","0","0","1","2.0","2.0","10.0%"
"18","Green Bay Packers (GB)","0","1","0","1","0","0","0","1","2.0","2.0","32.0%"
"19","Seattle Seahawks (SEA)","1","0","0","1","0","0","0","1","2.0","2.0","53.0%"
"20","Cincinnati Bengals (CIN)","2","0","0","0","0","0","0","1","2.0","2.0","7.0%"
"21","Philadelphia Eagles (PHI)","3","1","0","1","0","0","0","1","1.0","1.0","65.0%"
"22","Miami Dolphins (MIA)","2","0","0","0","0","0","0","1","1.0","1.0","3.0%"
"23","Denver Broncos (DEN)","1","0","0","0","0","0","0","1","1.0","1.0","69.0%"
"24","New York Jets (NYJ)","0","1","0","0","0","0","0","1","1.0","1.0","29.0%"
"25","Pittsburgh Steelers (PIT)","0","0","0","0","0","0","0","0","0","0","99.0%"
"26","Cleveland Browns (CLE)","0","0","0","0","0","0","0","0","0","0","34.0%"
"27","Carolina Panthers (CAR)","0","0","0","0","0","0","0","0","0","0","2.0%"
"28","Tampa Bay Buccaneers (TB)","0","0","0","0","0","0","0","0","0","0","56.0%"
"29","Atlanta Falcons (ATL)","0","0","0","0","0","0","0","1","-1.0","-1.0","2.0%"
"30","Chicago Bears (CHI)","1","0","0","0","0","0","1","1","-3.0","-3.0","93.0%"
"31","Las Vegas Raiders (LV)","1","0","0","0","0","0","0","1","-3.0","-3.0","3.0%"
"32","Detroit Lions (DET)","0","0","0","2","0","0","0","1","-4.0","-4.0","4.0%"
""
""
