"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Russell Wilson (SEA)","29","43","67.4","378","8.8","5","0","3","1","21","0","0","1","39.2","39.2","100.0%"
"2","Jimmy Garoppolo (SF)","28","37","75.7","317","8.6","4","0","1","3","2","0","0","1","28.9","28.9","67.0%"
"3","Lamar Jackson (BAL)","17","23","73.9","163","7.1","1","0","1","16","61","2","0","1","28.6","28.6","100.0%"
"4","Matthew Stafford (DET)","26","41","63.4","406","9.9","3","1","2","3","6","0","1","1","25.8","25.8","90.0%"
"5","Ryan Tannehill (TEN)","27","39","69.2","331","8.5","1","2","4","4","38","1","0","1","25.0","25.0","73.0%"
"6","Ryan Fitzpatrick (MIA)","24","36","66.7","288","8.0","3","0","4","5","2","0","0","1","23.7","23.7","11.0%"
"7","Kyler Murray (ARI)","17","24","70.8","241","10.0","2","0","3","5","34","0","0","1","23.0","23.0","99.0%"
"8","Dak Prescott (DAL)","22","35","62.9","257","7.3","3","1","0","3","12","0","0","1","22.5","22.5","99.0%"
"9","Kirk Cousins (MIN)","19","38","50.0","220","5.8","3","0","1","1","5","0","0","1","21.3","21.3","56.0%"
"10","Jameis Winston (NO)","29","44","65.9","335","7.6","2","0","2","2","8","0","1","1","20.2","20.2","5.0%"
"11","Deshaun Watson (HOU)","22","28","78.6","201","7.2","2","0","1","7","37","0","0","1","19.7","19.7","99.0%"
"12","Derek Carr (LV)","20","31","64.5","289","9.3","2","0","1","0","0","0","0","1","19.6","19.6","33.0%"
"13","Josh Allen (BUF)","14","20","70.0","160","8.0","1","0","2","8","12","1","0","1","17.6","17.6","98.0%"
"14","Baker Mayfield (CLE)","27","42","64.3","273","6.5","1","0","2","3","22","0","0","1","17.1","17.1","80.0%"
"15","Brandon Allen (CIN)","12","20","60.0","193","9.7","2","0","3","5","13","0","0","1","17.0","17.0","0.0%"
"16","Brian Hoyer (NE)","17","26","65.4","168","6.5","3","1","4","1","6","0","1","1","16.3","16.3","0.0%"
"17","Kyle Allen (WAS)","17","32","53.1","232","7.3","2","1","3","3","-4","0","0","1","15.9","15.9","1.0%"
"18","Carson Wentz (PHI)","26","39","66.7","239","6.1","1","0","4","4","15","0","0","1","15.1","15.1","95.0%"
"19","Matt Moore (KC)","25","35","71.4","275","7.9","1","0","5","0","0","0","0","1","15.0","15.0","0.0%"
"20","Tom Brady (TB)","30","46","65.2","285","6.2","1","1","2","0","0","0","0","1","14.4","14.4","97.0%"
"21","Sam Darnold (NYJ)","27","39","69.2","260","6.7","1","1","3","2","1","0","0","1","13.5","13.5","39.0%"
"22","Aaron Rodgers (GB)","23","35","65.7","161","4.6","1","0","3","1","5","0","0","1","12.9","12.9","95.0%"
"23","Daniel Jones (NYG)","26","41","63.4","210","5.1","1","1","5","6","54","0","2","1","12.8","12.8","69.0%"
"24","Philip Rivers (IND)","21","28","75.0","294","10.5","0","0","2","3","0","0","0","1","11.8","11.8","48.0%"
"25","Mason Rudolph (PIT)","26","35","74.3","191","5.5","1","1","1","3","5","0","0","1","11.1","11.1","1.0%"
"26","Gardner Minshew II (JAC)","27","47","57.4","309","6.6","0","2","3","4","34","0","2","1","9.8","9.8","33.0%"
"27","Dwayne Haskins (WAS)","15","22","68.2","144","6.5","0","0","4","3","14","0","0","1","7.2","7.2","10.0%"
"28","Mitch Trubisky (CHI)","10","21","47.6","125","6.0","0","0","3","2","15","0","0","1","6.5","6.5","6.0%"
"29","Jacoby Brissett (IND)","4","5","80.0","59","11.8","0","0","1","2","4","0","0","1","2.8","2.8","2.0%"
"30","John Wolford (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"31","Jake Browning (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"32","Trace McSorley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"33","Clayton Thorson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"34","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Brett Rypien (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"36","Justin Herbert (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"37","Ryan Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Will Grier (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Drew Lock (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.0%"
"40","Jarrett Stidham (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"41","Jake Dolegala (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"42","Tua Tagovailoa (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.0%"
"43","Anthony Gordon (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Tyler Huntley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Jalen Hurts (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"46","Jordan Love (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"47","Jake Fromm (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Jacob Eason (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"49","Joe Burrow (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.0%"
"50","Jordan Ta'amu (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Devlin Hodges (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","David Blough (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Patrick Mahomes (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"55","Nathan Peterman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Taysom Hill (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"57","Phillip Walker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Nick Mullens (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Cooper Rush (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","C.J. Beathard (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Davis Webb (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Joshua Dobbs (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Josh Rosen (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"64","Logan Woodside (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Danny Etling (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Chad Kelly (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Kurt Benkert (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Tim Boyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Alex McGough (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Nate Stanley (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Kyle Lauletta (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Mike White (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Bryce Perkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Jake Luton (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Cole McDonald (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Steven Montez (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Josh Love (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Reid Sinnett (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Tommy Stevens (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Ben DiNucci (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Chris Streveler (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Kevin Davidson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Brian Lewerke (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","James Morgan (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"86","John David Booty (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"87","Colt McCoy (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"89","Tyrod Taylor (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"90","Andy Dalton (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"91","Cam Newton (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.0%"
"92","Blaine Gabbert (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"94","Drew Brees (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.0%"
"95","Chase Daniel (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Chad Henne (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Brian Brohm (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"98","Brett Ratliff (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"99","Ben Roethlisberger (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.0%"
"100","Matt Schaub (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Matt Ryan (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.0%"
"102","Keith Null (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"103","Joe Flacco (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"104","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"105","Nate Sudfeld (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Sean Mannion (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Brett Hundley (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Marcus Mariota (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"109","Alex Smith (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"110","Jeff Driskel (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Jared Goff (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.0%"
"112","Paxton Lynch (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Case Keenum (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"114","Tyler Bray (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Alex Tanney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Nick Foles (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"117","Robert Griffin (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Garrett Gilbert (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","David Fales (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"121","AJ McCarron (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Teddy Bridgewater (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.0%"
"123","Ryan Griffin (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Geno Smith (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Matt Barkley (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Mike Glennon (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
