"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Ricky Seals-Jones (KC)","3","3","82","27.3","59","1","1","0","0","0","0","1","14.2","14.2","0.0%"
"2","Austin Hooper (CLE)","9","11","130","14.4","28","2","0","0","0","0","0","1","13.0","13.0","92.0%"
"3","Jimmy Graham (CHI)","6","9","61","10.2","15","0","1","0","0","0","0","1","12.1","12.1","6.0%"
"4","Will Dissly (SEA)","7","8","57","8.1","17","0","1","0","0","0","0","1","11.7","11.7","8.0%"
"5","Eric Ebron (PIT)","1","5","48","48.0","48","1","1","0","0","0","0","1","10.8","10.8","52.0%"
"6","Gerald Everett (LAR)","5","8","44","8.8","15","0","1","0","0","0","0","1","10.4","10.4","11.0%"
"7","Cameron Brate (TB)","3","3","36","12.0","13","0","1","0","0","0","0","1","9.6","9.6","2.0%"
"8","Mark Andrews (BAL)","4","8","31","7.8","11","0","1","0","0","0","0","1","9.1","9.1","100.0%"
"9","Noah Fant (DEN)","2","4","31","15.5","25","1","1","0","0","0","0","1","9.1","9.1","83.0%"
"10","Foster Moreau (LV)","3","3","30","10.0","18","0","1","0","0","0","0","1","9.0","9.0","0.0%"
"11","T.J. Hockenson (DET)","3","3","27","9.0","13","0","1","0","0","0","0","1","8.7","8.7","80.0%"
"12","Travis Kelce (KC)","7","8","85","12.1","18","0","0","0","0","0","0","1","8.5","8.5","100.0%"
"13","Jack Doyle (IND)","4","8","22","5.5","8","0","1","0","0","0","0","1","8.2","8.2","50.0%"
"14","James O'Shaughnessy (JAC)","1","4","18","18.0","18","0","1","0","0","0","0","1","7.8","7.8","0.0%"
"15","Dallas Goedert (PHI)","2","3","16","8.0","13","0","1","0","0","0","0","1","7.6","7.6","76.0%"
"16","Zach Ertz (PHI)","7","8","65","9.3","14","0","0","0","0","0","0","1","6.5","6.5","99.0%"
"17","Dawson Knox (BUF)","3","3","58","19.3","21","1","0","0","0","0","0","1","5.8","5.8","12.0%"
"18","Evan Engram (NYG)","4","7","54","13.5","31","1","0","0","0","0","0","1","5.4","5.4","94.0%"
"19","Darren Waller (LV)","7","8","53","7.6","17","0","0","0","0","0","0","1","5.3","5.3","99.0%"
"20","Blake Jarwin (DAL)","3","3","49","16.3","35","1","0","0","0","0","0","1","4.9","4.9","51.0%"
"21","Deon Yelder (KC)","2","2","43","21.5","24","1","0","0","0","0","0","1","4.3","4.3","0.0%"
"22","Tyler Higbee (LAR)","4","7","41","10.3","13","0","0","0","0","0","0","1","4.1","4.1","95.0%"
"23","Hayden Hurst (ATL)","2","2","39","19.5","29","1","0","0","0","0","0","1","3.9","3.9","89.0%"
"24","Lance Kendricks (FA)","2","3","37","18.5","24","1","0","0","0","0","0","1","3.7","3.7","0.0%"
"25","O.J. Howard (TB)","3","3","33","11.0","14","0","0","0","0","0","0","1","3.3","3.3","34.0%"
"26","Jason Witten (LV)","4","4","50","12.5","16","0","0","0","0","0","1","1","3.0","3.0","4.0%"
"27","Josh Hill (NO)","3","4","29","9.7","20","1","0","0","0","0","0","1","2.9","2.9","0.0%"
"28","Nick Vannett (DEN)","2","2","28","14.0","17","0","0","0","0","0","0","1","2.8","2.8","0.0%"
"29","Tyler Eifert (JAC)","2","5","27","13.5","14","0","0","0","0","0","0","1","2.7","2.7","6.0%"
"30","Luke Willson (SEA)","2","2","26","13.0","17","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"31","Logan Thomas (WAS)","3","3","25","8.3","12","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"32","Rhett Ellison (FA)","3","4","24","8.0","22","1","0","0","0","0","0","1","2.4","2.4","0.0%"
"33","Maxx Williams (ARI)","1","1","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","0.0%"
"34","Jared Cook (NO)","3","6","21","7.0","9","0","0","0","0","0","0","1","2.1","2.1","97.0%"
"35","Jordan Akins (HOU)","3","4","21","7.0","10","0","0","0","0","0","0","1","2.1","2.1","1.0%"
"36","Jeremy Sprinkle (WAS)","1","3","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","0.0%"
"37","Marcedes Lewis (GB)","2","2","19","9.5","10","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"38","Pharaoh Brown (CLE)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"39","Geoff Swaim (FA)","3","4","17","5.7","9","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"40","Trey Burton (IND)","2","4","16","8.0","11","0","0","0","0","0","0","1","1.6","1.6","2.0%"
"41","Adam Shaheen (MIA)","2","2","13","6.5","8","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"42","Kyle Rudolph (MIN)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","18.0%"
"43","Darren Fells (HOU)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","3.0%"
"44","Sean Culkin (FA)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
