"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Kai Forbath (FA)","3","3","100.0","50","0","0","0","2","1","5","5","1","18.0","18.0","1.0%"
"2","Dan Bailey (MIN)","4","4","100.0","44","0","2","1","1","0","3","4","1","16.0","16.0","41.0%"
"3","Robbie Gould (SF)","3","3","100.0","46","0","1","0","2","0","1","2","1","12.0","12.0","90.0%"
"4","Dustin Hopkins (WAS)","2","2","100.0","53","0","0","0","1","1","3","3","1","12.0","12.0","1.0%"
"5","Nick Folk (FA)","2","2","100.0","46","0","0","0","2","0","4","4","1","12.0","12.0","0.0%"
"6","Wil Lutz (NO)","2","2","100.0","33","0","1","1","0","0","4","4","1","10.0","10.0","99.0%"
"7","Harrison Butker (KC)","3","3","100.0","44","0","2","0","1","0","0","0","1","10.0","10.0","99.0%"
"8","Daniel Carlson (LV)","3","4","75.0","34","0","1","2","0","0","1","1","1","10.0","10.0","2.0%"
"9","Jason Sanders (MIA)","2","3","66.7","47","0","1","0","1","0","2","2","1","9.0","9.0","1.0%"
"10","Josh Lambo (JAC)","2","2","100.0","43","0","1","0","1","0","2","2","1","9.0","9.0","5.0%"
"11","Matt Gay (TB)","1","2","50.0","46","0","0","0","1","0","5","5","1","9.0","9.0","77.0%"
"12","Joey Slye (CAR)","1","1","100.0","52","0","0","0","0","1","3","3","1","8.0","8.0","18.0%"
"13","Randy Bullock (CIN)","2","2","100.0","48","0","0","1","1","0","1","1","1","8.0","8.0","2.0%"
"14","Zane Gonzalez (ARI)","1","1","100.0","21","0","1","0","0","0","5","5","1","8.0","8.0","68.0%"
"15","Jake Elliott (PHI)","1","1","100.0","25","0","1","0","0","0","4","4","1","7.0","7.0","35.0%"
"16","Eddy Pineiro (CHI)","2","2","100.0","30","0","1","1","0","0","1","1","1","7.0","7.0","1.0%"
"17","Austin Seibert (CLE)","1","2","50.0","44","0","0","0","1","0","3","3","1","7.0","7.0","4.0%"
"18","Younghoe Koo (ATL)","1","1","100.0","43","0","0","0","1","0","2","2","1","6.0","6.0","40.0%"
"19","Jason Myers (SEA)","1","1","100.0","30","0","0","1","0","0","3","4","1","6.0","6.0","22.0%"
"20","Matt Prater (DET)","1","1","100.0","44","0","0","0","1","0","2","2","1","6.0","6.0","79.0%"
"21","Ka'imi Fairbairn (HOU)","1","1","100.0","29","0","1","0","0","0","3","3","1","6.0","6.0","32.0%"
"22","Stephen Hauschka (BUF)","1","1","100.0","36","0","0","1","0","0","2","2","1","5.0","5.0","4.0%"
"23","Michael Badgley (LAC)","1","1","100.0","41","0","0","0","1","0","1","1","1","5.0","5.0","29.0%"
"24","Chris Boswell (PIT)","1","1","100.0","49","0","0","0","1","0","1","1","1","5.0","5.0","11.0%"
"25","Aldrick Rosas (FA)","0","0","0","0","0","0","0","0","0","4","5","1","4.0","4.0","1.0%"
"26","Justin Tucker (BAL)","0","0","0","0","0","0","0","0","0","4","5","1","4.0","4.0","100.0%"
"27","Mason Crosby (GB)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","15.0%"
"28","Brandon McManus (DEN)","1","1","100.0","32","0","0","1","0","0","0","0","1","3.0","3.0","8.0%"
"29","Ryan Succop (FA)","0","1","0.0","0","0","0","0","0","0","3","3","1","3.0","3.0","0.0%"
"30","Sam Ficken (NYJ)","0","1","0.0","0","0","0","0","0","0","1","2","1","1.0","1.0","0.0%"
"31","Greg Zuerlein (DAL)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","97.0%"
"32","Chase McLaughlin (IND)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","1.0%"
"33","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"34","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"35","Greg Joseph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"36","Kaare Vedvik (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Ryan Santoso (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"38","Chandler Catanzaro (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"40","Tristan Vizcaino (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
