"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","Chicago Bears (CHI)","4","3","2","3","1","0","0","1","21.0","21.0","93.0%"
"2","New York Jets (NYJ)","1","1","1","0","2","0","0","1","16.0","16.0","29.0%"
"3","Jacksonville Jaguars (JAC)","9","0","1","2","0","0","0","1","15.0","15.0","4.0%"
"4","New England Patriots (NE)","5","1","0","0","0","0","0","1","14.0","14.0","96.0%"
"5","Green Bay Packers (GB)","6","1","2","2","0","0","0","1","13.0","13.0","32.0%"
"6","Carolina Panthers (CAR)","8","2","0","0","0","0","0","1","13.0","13.0","2.0%"
"7","Dallas Cowboys (DAL)","3","0","1","1","0","0","0","1","12.0","12.0","46.0%"
"8","Pittsburgh Steelers (PIT)","1","2","3","1","0","0","0","1","11.0","11.0","99.0%"
"9","Buffalo Bills (BUF)","2","2","2","2","0","0","0","1","11.0","11.0","98.0%"
"10","Cleveland Browns (CLE)","2","2","1","1","0","0","0","1","9.0","9.0","34.0%"
"11","Los Angeles Rams (LAR)","3","1","0","1","0","0","0","1","9.0","9.0","76.0%"
"12","New Orleans Saints (NO)","0","0","1","1","1","0","1","1","8.0","8.0","94.0%"
"13","Houston Texans (HOU)","5","0","1","1","0","0","0","1","8.0","8.0","10.0%"
"14","Tampa Bay Buccaneers (TB)","5","0","2","2","0","0","0","1","8.0","8.0","56.0%"
"15","Minnesota Vikings (MIN)","4","1","0","0","0","0","0","1","7.0","7.0","86.0%"
"16","San Francisco 49ers (SF)","2","1","1","2","0","0","0","1","7.0","7.0","100.0%"
"17","Detroit Lions (DET)","3","0","2","2","0","0","1","1","7.0","7.0","4.0%"
"18","Cincinnati Bengals (CIN)","1","1","1","2","0","0","0","1","5.0","5.0","7.0%"
"19","New York Giants (NYG)","4","1","0","0","0","0","0","1","5.0","5.0","1.0%"
"20","Washington Football Team (WAS)","3","1","0","0","0","0","0","1","5.0","5.0","14.0%"
"21","Los Angeles Chargers (LAC)","2","0","1","0","0","0","0","1","4.0","4.0","66.0%"
"22","Seattle Seahawks (SEA)","0","0","1","0","0","0","0","1","2.0","2.0","53.0%"
"23","Miami Dolphins (MIA)","1","1","0","0","0","0","0","1","2.0","2.0","3.0%"
"24","Kansas City Chiefs (KC)","3","0","0","0","0","0","0","1","2.0","2.0","94.0%"
"25","Indianapolis Colts (IND)","0","1","0","0","0","0","0","1","2.0","2.0","74.0%"
"26","Atlanta Falcons (ATL)","1","0","0","0","0","0","0","1","1.0","1.0","2.0%"
"27","Tennessee Titans (TEN)","0","0","0","0","0","0","0","1","1.0","1.0","39.0%"
"28","Philadelphia Eagles (PHI)","0","0","0","0","0","0","0","1","0.0","0.0","65.0%"
"29","Denver Broncos (DEN)","0","0","0","0","0","0","0","1","0.0","0.0","69.0%"
"30","Baltimore Ravens (BAL)","1","0","0","2","0","0","0","1","0.0","0.0","99.0%"
"31","Arizona Cardinals (ARI)","2","0","1","2","0","0","0","1","0.0","0.0","5.0%"
"32","Las Vegas Raiders (LV)","0","0","0","0","0","0","0","1","-1.0","-1.0","3.0%"
""
""
