"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","Atlanta Falcons (ATL)","5","4","0","0","0","0","1","1","20.0","20.0","2.0%"
"2","New Orleans Saints (NO)","2","4","0","0","1","0","0","1","17.0","17.0","94.0%"
"3","Cleveland Browns (CLE)","4","4","0","1","0","0","0","1","16.0","16.0","34.0%"
"4","Baltimore Ravens (BAL)","7","1","1","1","0","0","0","1","15.0","15.0","99.0%"
"5","San Francisco 49ers (SF)","4","0","2","2","1","0","0","1","14.0","14.0","100.0%"
"6","Las Vegas Raiders (LV)","5","1","1","1","0","0","0","1","13.0","13.0","3.0%"
"7","New England Patriots (NE)","5","0","1","1","0","0","0","1","11.0","11.0","96.0%"
"8","Kansas City Chiefs (KC)","2","4","0","1","0","0","0","1","11.0","11.0","94.0%"
"9","Buffalo Bills (BUF)","7","0","1","0","0","0","0","1","10.0","10.0","98.0%"
"10","Los Angeles Rams (LAR)","3","1","0","0","0","0","0","1","9.0","9.0","76.0%"
"11","Denver Broncos (DEN)","5","0","2","1","0","0","0","1","9.0","9.0","69.0%"
"12","New York Jets (NYJ)","6","1","0","0","0","0","0","1","9.0","9.0","29.0%"
"13","Cincinnati Bengals (CIN)","3","1","1","1","0","0","0","1","8.0","8.0","7.0%"
"14","Indianapolis Colts (IND)","2","1","0","0","0","0","0","1","8.0","8.0","74.0%"
"15","Jacksonville Jaguars (JAC)","3","1","1","1","0","0","0","1","6.0","6.0","4.0%"
"16","Arizona Cardinals (ARI)","2","2","0","0","0","0","0","1","5.0","5.0","5.0%"
"17","Washington Football Team (WAS)","2","1","1","1","0","0","0","1","5.0","5.0","14.0%"
"18","Chicago Bears (CHI)","0","1","1","3","0","0","0","1","5.0","5.0","93.0%"
"19","Minnesota Vikings (MIN)","2","1","0","0","0","0","0","1","4.0","4.0","86.0%"
"20","Dallas Cowboys (DAL)","3","0","0","0","0","0","0","1","3.0","3.0","46.0%"
"21","Los Angeles Chargers (LAC)","1","1","0","1","0","0","0","1","3.0","3.0","66.0%"
"22","Philadelphia Eagles (PHI)","1","0","0","0","0","0","0","1","2.0","2.0","65.0%"
"23","Carolina Panthers (CAR)","3","0","0","1","0","0","0","1","2.0","2.0","2.0%"
"24","Pittsburgh Steelers (PIT)","1","0","0","0","0","0","0","1","1.0","1.0","99.0%"
"25","Green Bay Packers (GB)","0","0","0","0","0","0","0","0","0","0","32.0%"
"26","New York Giants (NYG)","0","0","0","0","0","0","0","0","0","0","1.0%"
"27","Seattle Seahawks (SEA)","0","0","0","0","0","0","0","0","0","0","53.0%"
"28","Tampa Bay Buccaneers (TB)","1","0","0","1","0","0","0","1","0.0","0.0","56.0%"
"29","Tennessee Titans (TEN)","0","0","0","0","0","0","0","0","0","0","39.0%"
"30","Detroit Lions (DET)","1","0","1","1","0","0","0","1","-1.0","-1.0","4.0%"
"31","Houston Texans (HOU)","0","0","0","0","0","0","0","1","-4.0","-4.0","10.0%"
"32","Miami Dolphins (MIA)","0","0","0","2","0","0","1","1","-4.0","-4.0","3.0%"
""
""
