"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"57","Dylan Cantrell (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Deon Yelder (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Kendall Blanton (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Carson Meier (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Hale Hentges (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Austin Fort (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Donald Parham (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Nate Becker (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Stephen Carlson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Matt Sokol (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Charles Scarff (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Andrew Beck (DEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"70","Jesper Horsted (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Jaeden Graham (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"72","Garrett Dickerson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Albert Okwuegbunam (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"74","Kaden Smith (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"75","Tommy Sweeney (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Daniel Helm (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Brandon Dillon (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Josh Oliver (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Zach Gentry (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Trevon Wesco (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"81","Isaac Nauta (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Caleb Wilson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Jace Sternberger (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.0%"
"84","Dax Raymond (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Jakob Johnson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Kahale Warring (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Chris Herndon IV (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.0%"
"88","Ian Thomas (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.0%"
"89","Durham Smythe (MIA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Antony Auclair (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Jason Vander Laan (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","O.J. Howard (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.0%"
"93","David Njoku (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"94","Jake Butt (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Robert Tonyan (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Cole Hikutini (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Mason Schreck (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Cethan Carter (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"99","Mo Alie-Cox (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"100","Darrell Daniels (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"101","Ricky Seals-Jones (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","J.P. Holtz (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"103","Alex Ellis (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Cole Wick (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Joshua Perkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Garrett Griffin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Eric Saubert (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Johnny Mundt (LAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"109","Colin Thompson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Dan Arnold (ARI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"111","Troy Fumagalli (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Dalton Schultz (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
