"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Kenyan Drake (ARI)","22","137","6.2","21","1","4","1","1","9","9.0","0","0","1","38.6","38.6","99.0%"
"2","Christian McCaffrey (CAR)","19","87","4.6","15","0","2","8","10","88","11.0","0","0","1","29.5","29.5","100.0%"
"3","Miles Sanders (PHI)","19","122","6.4","56","1","1","6","6","50","8.3","1","0","1","29.2","29.2","99.0%"
"4","Ezekiel Elliott (DAL)","24","117","4.9","15","0","2","3","4","43","14.3","0","0","1","28.0","28.0","100.0%"
"5","Saquon Barkley (NYG)","24","112","4.7","12","0","2","4","5","31","7.8","0","0","1","26.3","26.3","100.0%"
"6","Chris Carson (SEA)","24","133","5.5","23","1","2","1","2","4","4.0","0","0","1","25.7","25.7","98.0%"
"7","Mark Ingram II (BAL)","13","76","5.8","29","1","1","1","2","10","10.0","1","0","1","22.6","22.6","97.0%"
"8","Nick Chubb (CLE)","17","127","7.5","33","2","1","3","3","21","7.0","0","0","1","20.8","20.8","100.0%"
"9","Tony Pollard (DAL)","12","131","10.9","44","3","1","2","2","12","6.0","0","0","1","20.3","20.3","51.0%"
"10","Todd Gurley (ATL)","11","20","1.8","8","0","1","3","6","18","6.0","1","0","1","17.8","17.8","99.0%"
"11","Mike Boone (MIN)","13","56","4.3","10","0","2","0","0","0","0","0","0","1","17.6","17.6","2.0%"
"12","Aaron Jones (GB)","13","51","3.9","21","1","2","0","0","0","0","0","0","1","17.1","17.1","100.0%"
"13","Carlos Hyde (SEA)","26","104","4.0","11","0","1","0","0","0","0","0","0","1","16.4","16.4","18.0%"
"14","Joe Mixon (CIN)","25","136","5.4","29","1","0","3","3","20","6.7","0","0","1","15.6","15.6","100.0%"
"15","Adrian Peterson (WAS)","16","66","4.1","14","0","1","3","3","25","8.3","0","0","1","15.1","15.1","47.0%"
"16","Wes Hills (DET)","10","21","2.1","15","0","2","2","2","1","0.5","0","0","1","14.2","14.2","0.0%"
"17","James White (NE)","3","13","4.3","13","0","0","3","4","49","16.3","1","0","1","12.2","12.2","82.0%"
"18","Rex Burkhead (NE)","6","53","8.8","33","1","1","2","2","6","3.0","0","0","1","11.9","11.9","2.0%"
"19","James Conner (PIT)","8","42","5.3","17","0","0","4","5","9","2.3","1","0","1","11.1","11.1","97.0%"
"20","Josh Jacobs (LV)","24","89","3.7","9","0","0","2","3","20","10.0","0","0","1","10.9","10.9","100.0%"
"21","Sony Michel (NE)","19","89","4.7","12","0","0","1","2","14","14.0","0","0","1","10.3","10.3","87.0%"
"22","Raheem Mostert (SF)","14","54","3.9","8","0","1","1","2","5","5.0","0","1","1","9.9","9.9","96.0%"
"23","Alvin Kamara (NO)","14","66","4.7","15","0","0","5","5","23","4.6","0","0","1","8.9","8.9","100.0%"
"24","Javorius Allen (FA)","8","28","3.5","19","0","1","0","0","0","0","0","0","1","8.8","8.8","0.0%"
"25","Le'Veon Bell (NYJ)","21","87","4.1","15","0","0","2","2","1","0.5","0","0","1","8.8","8.8","96.0%"
"26","Derrick Henry (TEN)","21","86","4.1","23","1","0","0","1","0","0","0","0","1","8.6","8.6","100.0%"
"27","Tarik Cohen (CHI)","8","28","3.5","8","0","0","7","10","57","8.1","0","0","1","8.5","8.5","76.0%"
"28","Austin Ekeler (LAC)","7","19","2.7","11","0","0","5","7","62","12.4","0","0","1","8.1","8.1","99.0%"
"29","Dion Lewis (NYG)","3","10","3.3","6","0","0","1","1","11","11.0","1","0","1","8.1","8.1","2.0%"
"30","Jordan Wilkins (IND)","3","10","3.3","5","0","1","1","3","7","7.0","0","0","1","7.7","7.7","1.0%"
"31","Kareem Hunt (CLE)","4","14","3.5","6","0","0","8","9","62","7.8","0","0","1","7.6","7.6","92.0%"
"32","Leonard Fournette (JAC)","15","42","2.8","17","0","0","5","7","31","6.2","0","0","1","7.3","7.3","96.0%"
"33","Myles Gaskin (MIA)","9","43","4.8","27","1","0","2","3","29","14.5","0","0","1","7.2","7.2","1.0%"
"34","Devin Singletary (BUF)","21","87","4.1","15","0","0","2","3","2","1.0","0","1","1","6.9","6.9","95.0%"
"35","Kyle Juszczyk (SF)","2","1","0.5","2","0","0","2","2","6","3.0","1","0","1","6.7","6.7","0.0%"
"36","Boston Scott (PHI)","6","26","4.3","6","0","0","7","7","39","5.6","0","0","1","6.5","6.5","44.0%"
"37","Qadree Ollison (ATL)","1","1","1.0","1","0","1","0","0","0","0","0","0","1","6.1","6.1","0.0%"
"38","Devonta Freeman (FA)","12","39","3.3","11","0","0","2","3","16","8.0","0","0","1","5.5","5.5","39.0%"
"39","Patrick Laird (MIA)","12","46","3.8","18","0","0","2","5","8","4.0","0","0","1","5.4","5.4","1.0%"
"40","David Montgomery (CHI)","14","39","2.8","8","0","0","1","1","10","10.0","0","0","1","4.9","4.9","94.0%"
"41","Latavius Murray (NO)","9","29","3.2","8","0","0","2","3","20","10.0","0","0","1","4.9","4.9","70.0%"
"42","Ronald Jones II (TB)","11","23","2.1","6","0","0","1","3","26","26.0","0","0","1","4.9","4.9","89.0%"
"43","Dalvin Cook (MIN)","9","27","3.0","8","0","0","3","3","16","5.3","0","0","1","4.3","4.3","100.0%"
"44","Peyton Barber (WAS)","10","17","1.7","4","0","0","2","2","23","11.5","0","0","1","4.0","4.0","3.0%"
"45","Tevin Coleman (SF)","4","40","10.0","37","1","0","0","1","0","0","0","0","1","4.0","4.0","67.0%"
"46","Darwin Thompson (KC)","8","38","4.8","12","0","0","1","1","1","1.0","0","0","1","3.9","3.9","4.0%"
"47","Giovani Bernard (CIN)","5","27","5.4","17","0","0","2","2","10","5.0","0","0","1","3.7","3.7","6.0%"
"48","Jalen Richard (LV)","1","11","11.0","11","0","0","2","3","25","12.5","0","0","1","3.6","3.6","2.0%"
"49","Gus Edwards (BAL)","5","35","7.0","28","1","0","0","0","0","0","0","0","1","3.5","3.5","5.0%"
"50","Spencer Ware (FA)","7","26","3.7","5","0","0","2","2","9","4.5","0","0","1","3.5","3.5","0.0%"
"51","Jamaal Williams (GB)","8","26","3.3","6","0","0","1","1","7","7.0","0","0","1","3.3","3.3","13.0%"
"52","Phillip Lindsay (DEN)","7","32","4.6","13","0","0","0","2","0","0","0","0","1","3.2","3.2","88.0%"
"53","Royce Freeman (DEN)","5","12","2.4","8","0","0","4","4","14","3.5","0","0","1","2.6","2.6","9.0%"
"54","Chris Thompson (JAC)","0","0","0","0","0","0","2","3","26","13.0","0","0","1","2.6","2.6","4.0%"
"55","Ameer Abdullah (MIN)","5","25","5.0","11","0","0","0","2","0","0","0","0","1","2.5","2.5","0.0%"
"56","C.J. Prosise (FA)","5","15","3.0","7","0","0","1","1","10","10.0","0","0","1","2.5","2.5","0.0%"
"57","Melvin Gordon (DEN)","7","28","4.0","12","0","0","5","7","36","7.2","0","2","1","2.4","2.4","98.0%"
"58","Duke Johnson (HOU)","2","4","2.0","3","0","0","2","3","19","9.5","0","0","1","2.3","2.3","47.0%"
"59","Alec Ingold (LV)","0","0","0","0","0","0","3","3","22","7.3","0","0","1","2.2","2.2","0.0%"
"60","DeAndre Washington (KC)","6","16","2.7","9","0","0","2","3","6","3.0","0","0","1","2.2","2.2","7.0%"
"61","Dwayne Washington (NO)","3","20","6.7","12","0","0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"62","Marlon Mack (IND)","11","19","1.7","7","0","0","0","0","0","0","0","0","1","1.9","1.9","87.0%"
"63","CJ Ham (MIN)","1","5","5.0","5","0","0","3","3","13","4.3","0","0","1","1.8","1.8","0.0%"
"64","Justin Jackson (LAC)","5","15","3.0","5","0","0","2","2","2","1.0","0","0","1","1.7","1.7","33.0%"
"65","Dare Ogunbowale (TB)","1","3","3.0","3","0","0","1","1","13","13.0","0","0","1","1.6","1.6","1.0%"
"66","LeSean McCoy (TB)","6","16","2.7","10","0","0","0","0","0","0","0","0","1","1.6","1.6","11.0%"
"67","Brian Hill (ATL)","1","16","16.0","16","0","0","0","0","0","0","0","0","1","1.6","1.6","1.0%"
"68","Frank Gore (NYJ)","10","15","1.5","9","0","0","0","0","0","0","0","0","1","1.5","1.5","2.0%"
"69","Justice Hill (BAL)","4","15","3.8","9","0","0","0","0","0","0","0","0","1","1.5","1.5","5.0%"
"70","Nyheim Hines (IND)","2","10","5.0","5","0","0","2","2","2","1.0","0","0","1","1.2","1.2","23.0%"
"71","Ty Montgomery (NO)","2","5","2.5","4","0","0","1","1","5","5.0","0","0","1","1.0","1.0","0.0%"
"72","J.D. McKissic (WAS)","1","2","2.0","2","0","0","2","3","7","3.5","0","0","1","0.9","0.9","0.0%"
"73","Josh Ferguson (FA)","3","9","3.0","7","0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"74","Travis Homer (SEA)","2","7","3.5","5","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"75","David Johnson (HOU)","3","6","2.0","5","0","0","0","0","0","0","0","0","1","0.6","0.6","94.0%"
"76","Kerrith Whyte Jr. (PIT)","1","5","5.0","5","0","0","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"77","Devontae Booker (LV)","1","5","5.0","5","0","0","0","0","0","0","0","0","1","0.5","0.5","0.0%"
