"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Drew Brees (NO)","29","40","72.5","349","8.7","5","0","0","1","1","1","0","1","40.1","40.1","98.0%"
"2","Jameis Winston (NO)","33","45","73.3","456","10.1","4","3","1","6","5","1","0","1","37.7","37.7","5.0%"
"3","Mitch Trubisky (CHI)","23","31","74.2","244","7.9","3","1","2","10","63","1","0","1","33.1","33.1","6.0%"
"4","Deshaun Watson (HOU)","28","50","56.0","292","5.8","1","2","3","6","44","2","0","1","30.1","30.1","99.0%"
"5","Jimmy Garoppolo (SF)","26","35","74.3","349","10.0","4","1","3","2","1","0","0","1","29.1","29.1","67.0%"
"6","Ryan Tannehill (TEN)","21","27","77.8","391","14.5","3","1","0","4","19","0","0","1","28.5","28.5","73.0%"
"7","Drew Lock (DEN)","22","27","81.5","309","11.4","3","1","1","3","15","0","0","1","24.9","24.9","45.0%"
"8","Philip Rivers (IND)","16","22","72.7","314","14.3","3","0","1","1","0","0","0","1","24.6","24.6","48.0%"
"9","Jacoby Brissett (IND)","19","36","52.8","251","7.0","2","0","1","4","26","0","0","1","22.6","22.6","2.0%"
"10","Matt Ryan (ATL)","20","34","58.8","313","9.2","2","0","1","1","8","0","0","1","21.3","21.3","97.0%"
"11","Lamar Jackson (BAL)","16","25","64.0","145","5.8","3","1","1","11","40","0","0","1","20.8","20.8","100.0%"
"12","Derek Carr (LV)","25","34","73.5","262","7.7","2","0","2","2","17","0","0","1","20.2","20.2","33.0%"
"13","Kyle Allen (WAS)","28","41","68.3","293","7.1","1","2","5","6","24","1","1","1","20.1","20.1","1.0%"
"14","Carson Wentz (PHI)","33","50","66.0","325","6.5","2","0","3","5","9","0","1","1","19.9","19.9","95.0%"
"15","Jared Goff (LAR)","22","31","71.0","293","9.5","2","2","0","2","4","0","0","1","18.1","18.1","69.0%"
"16","Sam Darnold (NYJ)","20","36","55.6","270","7.5","2","1","1","3","3","0","0","1","18.1","18.1","39.0%"
"17","Dak Prescott (DAL)","27","49","55.1","334","6.8","1","0","2","3","1","0","0","1","17.5","17.5","99.0%"
"18","Eli Manning (FA)","15","30","50.0","203","6.8","2","0","2","2","-1","0","0","1","16.0","16.0","4.0%"
"19","Ryan Fitzpatrick (MIA)","21","37","56.8","245","6.6","0","1","2","7","65","0","0","1","15.3","15.3","11.0%"
"20","Patrick Mahomes (KC)","26","40","65.0","283","7.1","1","1","1","6","6","0","0","1","14.9","14.9","100.0%"
"21","Gardner Minshew II (JAC)","24","37","64.9","162","4.4","1","0","2","6","31","0","0","1","13.6","13.6","33.0%"
"22","Kirk Cousins (MIN)","24","30","80.0","242","8.1","1","0","1","1","-1","0","0","1","13.6","13.6","56.0%"
