"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","Denver Broncos (DEN)","3","2","1","1","1","0","0","1","15.0","15.0","69.0%"
"2","Los Angeles Rams (LAR)","5","1","0","0","0","0","0","1","14.0","14.0","76.0%"
"3","Atlanta Falcons (ATL)","5","2","2","2","0","0","0","1","14.0","14.0","2.0%"
"4","Minnesota Vikings (MIN)","5","2","0","0","0","0","0","1","13.0","13.0","86.0%"
"5","Pittsburgh Steelers (PIT)","5","3","0","0","0","0","1","1","12.0","12.0","99.0%"
"6","Indianapolis Colts (IND)","1","3","1","1","1","0","0","1","11.0","11.0","74.0%"
"7","Cleveland Browns (CLE)","2","1","0","1","1","0","0","1","11.0","11.0","34.0%"
"8","Tennessee Titans (TEN)","2","0","1","1","1","0","0","1","10.0","10.0","39.0%"
"9","Baltimore Ravens (BAL)","6","0","1","2","0","0","0","1","9.0","9.0","99.0%"
"10","Seattle Seahawks (SEA)","0","2","0","0","1","0","0","1","9.0","9.0","53.0%"
"11","Arizona Cardinals (ARI)","3","0","2","3","0","0","0","1","7.0","7.0","5.0%"
"12","Washington Football Team (WAS)","4","0","1","1","0","0","0","1","7.0","7.0","14.0%"
"13","Green Bay Packers (GB)","4","1","0","2","0","0","0","1","7.0","7.0","32.0%"
"14","Los Angeles Chargers (LAC)","2","0","0","0","0","0","0","1","6.0","6.0","66.0%"
"15","Kansas City Chiefs (KC)","3","1","0","0","0","0","0","1","6.0","6.0","94.0%"
"16","Dallas Cowboys (DAL)","2","1","1","1","0","0","0","1","5.0","5.0","46.0%"
"17","New England Patriots (NE)","1","1","1","2","0","0","0","1","5.0","5.0","96.0%"
"18","New York Giants (NYG)","3","0","1","1","0","0","0","1","5.0","5.0","1.0%"
"19","Cincinnati Bengals (CIN)","1","2","0","0","0","0","0","1","5.0","5.0","7.0%"
"20","New York Jets (NYJ)","2","1","0","1","0","0","0","1","4.0","4.0","29.0%"
"21","Miami Dolphins (MIA)","1","1","0","1","0","0","0","1","3.0","3.0","3.0%"
"22","Buffalo Bills (BUF)","1","1","0","0","0","0","0","1","3.0","3.0","98.0%"
"23","Philadelphia Eagles (PHI)","2","0","0","1","0","0","0","1","3.0","3.0","65.0%"
"24","Tampa Bay Buccaneers (TB)","1","0","1","1","0","0","0","1","2.0","2.0","56.0%"
"25","Chicago Bears (CHI)","2","0","0","0","0","0","0","1","2.0","2.0","93.0%"
"26","Houston Texans (HOU)","1","1","0","0","0","0","0","1","2.0","2.0","10.0%"
"27","Detroit Lions (DET)","1","0","0","0","0","0","0","1","2.0","2.0","4.0%"
"28","New Orleans Saints (NO)","3","1","0","0","0","0","0","1","1.0","1.0","94.0%"
"29","San Francisco 49ers (SF)","0","0","1","2","0","0","0","1","-2.0","-2.0","100.0%"
"30","Las Vegas Raiders (LV)","0","1","0","0","0","0","0","1","-2.0","-2.0","3.0%"
"31","Carolina Panthers (CAR)","1","0","0","0","0","0","0","1","-3.0","-3.0","2.0%"
"32","Jacksonville Jaguars (JAC)","1","0","0","0","0","0","0","1","-3.0","-3.0","4.0%"
""
""
