"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Lamar Jackson (BAL)","15","17","88.2","223","13.1","3","0","0","7","65","1","0","1","33.4","33.4","100.0%"
"2","Daniel Jones (NYG)","26","40","65.0","308","7.7","4","0","6","3","20","0","1","1","30.3","30.3","69.0%"
"3","Patrick Mahomes (KC)","36","50","72.0","446","8.9","3","0","2","0","0","0","0","1","29.8","29.8","100.0%"
"4","Kyler Murray (ARI)","27","44","61.4","324","7.4","3","1","2","3","38","0","0","1","27.8","27.8","99.0%"
"5","Dak Prescott (DAL)","28","46","60.9","397","8.6","3","1","1","0","0","0","0","1","26.9","26.9","99.0%"
"6","Josh Allen (BUF)","22","41","53.7","266","6.5","0","0","1","6","28","2","0","1","25.4","25.4","98.0%"
"7","Sam Darnold (NYJ)","19","30","63.3","230","7.7","1","0","2","3","25","1","0","1","21.7","21.7","39.0%"
"8","Jameis Winston (NO)","30","48","62.5","358","7.5","1","2","4","3","40","0","0","1","20.3","20.3","5.0%"
"9","Mitch Trubisky (CHI)","16","23","69.6","173","7.5","3","0","5","3","8","0","0","1","19.7","19.7","6.0%"
"10","Kirk Cousins (MIN)","23","32","71.9","220","6.9","2","0","1","1","5","0","0","1","19.3","19.3","56.0%"
"11","Ryan Tannehill (TEN)","13","19","68.4","181","9.5","2","0","4","3","37","0","1","1","18.9","18.9","73.0%"
"12","Jeff Driskel (DEN)","27","46","58.7","269","5.8","1","1","2","5","37","0","0","1","18.1","18.1","0.0%"
"13","Russell Wilson (SEA)","24","34","70.6","232","6.8","1","1","5","6","53","0","0","1","17.6","17.6","100.0%"
"14","Baker Mayfield (CLE)","26","38","68.4","238","6.3","2","0","2","2","1","0","0","1","17.6","17.6","80.0%"
"15","Matt Ryan (ATL)","20","35","57.1","182","5.2","2","1","1","2","13","0","0","1","15.6","15.6","97.0%"
"16","Kyle Allen (WAS)","28","43","65.1","307","7.1","1","1","3","3","12","0","1","1","14.5","14.5","1.0%"
"17","Ryan Fitzpatrick (MIA)","21","33","63.6","169","5.1","0","1","3","4","23","1","0","1","14.1","14.1","11.0%"
"18","Mason Rudolph (PIT)","22","38","57.9","242","6.4","1","0","3","2","-1","0","0","1","13.6","13.6","1.0%"
"19","Philip Rivers (IND)","17","31","54.8","207","6.7","2","3","5","0","0","0","0","1","13.3","13.3","48.0%"
"20","Derek Carr (LV)","21","31","67.7","218","7.0","1","0","3","1","4","0","0","1","13.1","13.1","33.0%"
"21","Drew Brees (NO)","32","45","71.1","287","6.4","0","0","6","0","0","0","0","1","11.5","11.5","98.0%"
"22","Jimmy Garoppolo (SF)","24","46","52.2","248","5.4","1","1","5","2","1","0","2","1","11.0","11.0","67.0%"
"23","Aaron Rodgers (GB)","17","29","58.6","233","8.0","0","0","2","1","7","0","0","1","10.0","10.0","95.0%"
"24","Ryan Finley (CIN)","16","30","53.3","167","5.6","1","1","2","5","22","0","1","1","9.9","9.9","0.0%"
"25","Brian Hoyer (NE)","18","39","46.2","204","5.2","1","3","1","2","0","0","0","1","9.2","9.2","0.0%"
"26","Jared Goff (LAR)","22","41","53.7","243","5.9","0","2","4","1","0","0","1","1","5.7","5.7","69.0%"
"27","Taysom Hill (NO)","1","1","100.0","17","17.0","0","0","0","1","11","0","0","1","2.1","2.1","3.0%"
"28","Robert Griffin (BAL)","3","5","60.0","20","4.0","0","1","1","0","9","0","0","1","0.7","0.7","0.0%"
"29","Blake Bortles (FA)","0","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","0.0%"
"30","Drew Lock (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.0%"
"31","Jalen Hurts (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"32","Brett Rypien (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"33","Will Grier (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"34","Tyler Huntley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Dwayne Haskins (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.0%"
"36","Anthony Gordon (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","John Wolford (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Jake Fromm (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Jordan Love (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"40","Jake Dolegala (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"41","Jordan Ta'amu (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","David Blough (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Justin Herbert (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"45","Devlin Hodges (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Jarrett Stidham (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"47","Joe Burrow (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.0%"
"48","Gardner Minshew II (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.0%"
"49","Jake Browning (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Trace McSorley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Clayton Thorson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Tua Tagovailoa (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.0%"
"53","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Jacob Eason (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"55","Alex McGough (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Nick Mullens (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Cooper Rush (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","C.J. Beathard (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Davis Webb (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Joshua Dobbs (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Chad Kelly (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Nathan Peterman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Deshaun Watson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.0%"
"64","Phillip Walker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Kurt Benkert (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Tim Boyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Bryce Perkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Danny Etling (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Kyle Lauletta (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Mike White (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Logan Woodside (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Josh Rosen (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"73","Nate Stanley (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Cole McDonald (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Josh Love (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Reid Sinnett (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Tommy Stevens (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Ben DiNucci (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Chris Streveler (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Kevin Davidson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Brian Lewerke (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","James Morgan (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Jake Luton (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Steven Montez (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"86","John David Booty (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"87","Colt McCoy (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Tom Brady (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.0%"
"89","Blaine Gabbert (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"91","Tyrod Taylor (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"92","Andy Dalton (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"93","Cam Newton (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.0%"
"94","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"95","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"96","Chase Daniel (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Chad Henne (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Brian Brohm (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
