"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Mark Andrews (BAL)","8","9","112","14.0","28","3","1","0","0","0","0","1","17.2","17.2","100.0%"
"2","Will Dissly (SEA)","5","5","50","10.0","14","0","2","0","0","0","0","1","17.0","17.0","8.0%"
"3","Travis Kelce (KC)","7","9","107","15.3","34","2","1","0","0","0","0","1","16.7","16.7","100.0%"
"4","Vance McDonald (PIT)","7","7","38","5.4","8","0","2","0","0","0","0","1","15.8","15.8","3.0%"
"5","Greg Olsen (SEA)","6","9","110","18.3","41","2","0","0","0","0","0","1","11.0","11.0","42.0%"
"6","Zach Ertz (PHI)","8","16","72","9.0","16","0","0","0","0","0","0","1","9.2","9.2","99.0%"
"7","Jason Witten (LV)","4","4","25","6.3","18","0","1","0","0","0","0","1","8.5","8.5","4.0%"
"8","Eric Ebron (PIT)","3","4","25","8.3","13","0","1","0","0","0","0","1","8.5","8.5","52.0%"
"9","Tyler Eifert (JAC)","3","5","9","3.0","8","0","1","0","0","0","0","1","6.9","6.9","6.0%"
"10","Darren Waller (LV)","6","7","63","10.5","16","0","0","0","0","0","0","1","6.3","6.3","99.0%"
"11","Hayden Hurst (ATL)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","89.0%"
"12","George Kittle (SF)","3","3","54","18.0","36","1","0","0","0","0","0","1","5.4","5.4","100.0%"
"13","Evan Engram (NYG)","6","8","48","8.0","33","1","0","0","0","0","0","1","4.8","4.8","94.0%"
"14","Delanie Walker (FA)","4","6","39","9.8","15","0","0","0","0","0","0","1","3.9","3.9","2.0%"
"15","Austin Hooper (CLE)","4","6","34","8.5","14","0","0","0","0","0","0","1","3.4","3.4","92.0%"
"16","Derek Carrier (LV)","3","5","33","11.0","25","1","0","0","0","0","0","1","3.3","3.3","0.0%"
"17","Noah Fant (DEN)","4","4","33","8.3","24","1","0","0","0","0","0","1","3.3","3.3","83.0%"
"18","Matt LaCosse (NE)","2","2","33","16.5","23","1","0","0","0","0","0","1","3.3","3.3","0.0%"
"19","Vernon Davis (FA)","3","4","29","9.7","15","0","0","0","0","0","0","1","2.9","2.9","1.0%"
"20","James O'Shaughnessy (JAC)","4","4","28","7.0","10","0","0","0","0","0","0","1","2.8","2.8","0.0%"
"21","Jordan Akins (HOU)","2","3","25","12.5","16","0","0","0","0","0","0","1","2.5","2.5","1.0%"
"22","Drew Sample (CIN)","2","3","25","12.5","21","1","0","0","0","0","0","1","2.5","2.5","0.0%"
"23","Jared Cook (NO)","2","7","25","12.5","18","0","0","0","0","0","0","1","2.5","2.5","97.0%"
"24","Durham Smythe (MIA)","1","1","24","24.0","24","1","0","0","0","0","0","1","2.4","2.4","0.0%"
"25","Ben Braunecker (FA)","2","3","24","12.0","18","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"26","Adam Shaheen (MIA)","3","3","24","8.0","9","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"27","Blake Jarwin (DAL)","1","1","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","51.0%"
"28","Jack Doyle (IND)","2","3","21","10.5","13","0","0","0","0","0","0","1","2.1","2.1","50.0%"
"29","Maxx Williams (ARI)","1","1","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","0.0%"
"30","Gerald Everett (LAR)","3","4","21","7.0","11","0","0","1","0","0","0","1","2.1","2.1","11.0%"
"31","Jeff Heuerman (FA)","4","5","21","5.3","8","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"32","Tyler Higbee (LAR)","2","3","21","10.5","18","0","0","0","0","0","0","1","2.1","2.1","95.0%"
"33","Jesse James (DET)","3","4","18","6.0","7","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"34","Dawson Knox (BUF)","1","4","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","12.0%"
"35","Nick Boyle (BAL)","1","3","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"36","Geoff Swaim (FA)","3","4","14","4.7","9","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"37","Nick Vannett (DEN)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"38","Mike Gesicki (MIA)","1","2","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","81.0%"
"39","Jeremy Sprinkle (WAS)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"40","Cameron Brate (TB)","2","2","10","5.0","5","0","0","0","0","0","0","1","1.0","1.0","2.0%"
"41","Darren Fells (HOU)","1","3","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","3.0%"
"42","Kyle Rudolph (MIN)","3","4","9","3.0","5","0","0","0","0","0","0","1","0.9","0.9","18.0%"
"43","Virgil Green (LAC)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"44","Rhett Ellison (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"45","Lee Smith (BUF)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"46","T.J. Hockenson (DET)","1","3","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","80.0%"
"47","Troy Fumagalli (DEN)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"48","Logan Thomas (WAS)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"49","Nick O'Leary (FA)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"50","Charles Clay (FA)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"51","Trey Burton (IND)","2","3","5","2.5","5","0","0","0","0","0","0","1","0.5","0.5","2.0%"
"52","Demetrius Harris (CHI)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"53","Luke Stocker (FA)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"54","Tanner Hudson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Ryan Izzo (NE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","Nate Becker (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Deon Yelder (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Ross Dwelley (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Codey McElroy (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Dylan Cantrell (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Tyler Conklin (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Matt Sokol (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Jordan Franks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Kevin Radar (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Dax Raymond (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Donald Parham (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Josh Oliver (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Charles Scarff (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Brandon Dillon (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Kendall Blanton (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Stephen Carlson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"73","Jesper Horsted (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Tommy Sweeney (BUF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","Zach Gentry (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
