"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"56","Albert Wilson (MIA)","6","7","33","5.5","16","0","0","1","4","0","0","1","3.7","3.7","1.0%"
"57","Deon Cain (PIT)","1","1","35","35.0","35","1","0","0","0","0","0","1","3.5","3.5","0.0%"
"58","Cooper Kupp (LAR)","6","10","35","5.8","9","0","0","0","0","0","0","1","3.5","3.5","97.0%"
"59","David Moore (SEA)","1","2","31","31.0","31","1","0","1","4","0","0","1","3.5","3.5","1.0%"
"60","D.K. Metcalf (SEA)","3","6","35","11.7","17","0","0","0","0","0","0","1","3.5","3.5","97.0%"
"61","Brandin Cooks (HOU)","2","4","32","16.0","22","1","0","1","1","0","0","1","3.3","3.3","87.0%"
"62","Hunter Renfrow (LV)","3","5","31","10.3","11","0","0","0","0","0","0","1","3.1","3.1","40.0%"
"63","Corey Davis (TEN)","2","3","29","14.5","24","1","0","0","0","0","0","1","2.9","2.9","8.0%"
"64","Diontae Johnson (PIT)","3","6","29","9.7","14","0","0","0","0","0","0","1","2.9","2.9","82.0%"
"65","Allen Lazard (GB)","1","2","7","7.0","7","0","0","1","21","0","0","1","2.8","2.8","27.0%"
"66","Jordan Matthews (FA)","3","6","27","9.0","10","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"67","Courtland Sutton (DEN)","1","8","27","27.0","27","1","0","0","0","0","0","1","2.7","2.7","97.0%"
"68","Kendrick Bourne (SF)","2","2","27","13.5","14","0","0","0","0","0","0","1","2.7","2.7","2.0%"
"69","Vyncint Smith (NYJ)","1","1","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","0.0%"
"70","Demaryius Thomas (FA)","2","3","22","11.0","14","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"71","Danny Amendola (DET)","3","3","21","7.0","11","0","0","0","0","0","0","1","2.1","2.1","3.0%"
"72","Marvin Hall (DET)","1","2","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","0.0%"
"73","Adam Humphries (TEN)","3","3","20","6.7","8","0","0","0","0","0","0","1","2.0","2.0","1.0%"
"74","Taylor Gabriel (FA)","1","3","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","1.0%"
"75","T.Y. Hilton (IND)","3","6","18","6.0","8","0","0","0","0","0","0","1","1.8","1.8","94.0%"
"76","Keelan Cole (JAC)","2","2","18","9.0","14","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"77","Jamison Crowder (NYJ)","2","4","18","9.0","15","0","0","0","0","0","0","1","1.8","1.8","55.0%"
"78","Tyrell Williams (LV)","2","6","18","9.0","12","0","0","0","0","0","0","1","1.8","1.8","23.0%"
"79","Christian Blake (ATL)","2","9","16","8.0","9","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"80","Emmanuel Sanders (NO)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","73.0%"
"81","Chester Rogers (MIA)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"82","Auden Tate (CIN)","1","3","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","2.0%"
"83","Josh Gordon (FA)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","4.0%"
"84","Kalif Raymond (TEN)","1","1","14","14.0","14","0","0","1","-5","0","0","1","0.9","0.9","0.0%"
"85","Geronimo Allison (DET)","3","4","9","3.0","4","0","0","0","0","0","0","1","0.9","0.9","1.0%"
"86","Tevin Jones (DAL)","1","3","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"87","Isaiah McKenzie (BUF)","2","3","13","6.5","8","0","0","1","-5","0","0","1","0.8","0.8","0.0%"
"88","Josh Reynolds (LAR)","2","2","8","4.0","6","0","0","0","0","0","0","1","0.8","0.8","5.0%"
"89","Marquez Valdes-Scantling (GB)","1","3","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","2.0%"
"90","Cody Latimer (WAS)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"91","Scott Miller (TB)","1","1","8","8.0","8","0","0","1","-2","0","0","1","0.6","0.6","0.0%"
"92","Paul Richardson Jr. (FA)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"93","Kenny Stills (HOU)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","11.0%"
"94","Zay Jones (LV)","2","2","5","2.5","6","0","0","0","0","0","0","1","0.5","0.5","1.0%"
"95","Jarius Wright (FA)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"96","Tim Patrick (DEN)","1","3","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"97","Anthony Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Taywan Taylor (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","JuJu Smith-Schuster (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.0%"
"100","Hakeem Butler (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"101","Chad Hansen (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Collin Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Shaq Roland (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Isaiah Ford (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Riley Ridley (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Jalen Hurd (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"107","Terry Godwin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","DaMarkus Lodge (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Andy Isabella (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"110","Alexander Hollins (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Mike Williams (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.0%"
"112","John Ross (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.0%"
"113","A.J. Richardson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Shawn Poindexter (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Cam Sims (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","De'Mornay Pierson-El (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Chad Beebe (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Saeed Blacknall (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Devin Ross (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Rico Gafford (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Jordan Veasy (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Cam Batson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Amara Darboh (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Khadarel Hodge (CLE)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"125","Kabion Ento (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Joe Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Trinity Benson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Tyron Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Jeff Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Penny Hart (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Stephen Carlson (CLE)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"132","Malik Taylor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Olamide Zaccheaus (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"134","Jalen Guyton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Duke Williams (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Jason Moore (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Nsimba Webster (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Alex Bachman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Malik Henry (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Deonte Harris (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"141","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Parris Campbell (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.0%"
"143","Jon'Vea Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
