"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Matt Gay (TB)","4","5","80.0","52","0","2","0","1","1","1","3","1","16.0","16.0","77.0%"
"2","Dan Bailey (MIN)","2","2","100.0","50","0","1","0","0","1","4","4","1","12.0","12.0","41.0%"
"3","Mason Crosby (GB)","2","3","66.7","42","0","0","0","2","0","3","3","1","11.0","11.0","15.0%"
"4","Adam Vinatieri (FA)","2","2","100.0","49","0","1","0","1","0","3","3","1","10.0","10.0","1.0%"
"5","Josh Lambo (JAC)","2","2","100.0","48","0","0","0","2","0","2","2","1","10.0","10.0","5.0%"
"6","Greg Zuerlein (DAL)","2","3","66.7","53","0","0","1","0","1","2","2","1","10.0","10.0","97.0%"
"7","Harrison Butker (KC)","2","2","100.0","42","0","0","1","1","0","3","4","1","10.0","10.0","99.0%"
"8","Ty Long (LAC)","2","2","100.0","43","0","0","1","1","0","2","2","1","9.0","9.0","0.0%"
"9","Zane Gonzalez (ARI)","2","2","100.0","47","0","0","1","1","0","2","2","1","9.0","9.0","68.0%"
"10","Matt Prater (DET)","2","3","66.7","33","0","1","1","0","0","3","3","1","9.0","9.0","79.0%"
"11","Chris Boswell (PIT)","2","2","100.0","46","0","1","0","1","0","2","2","1","9.0","9.0","11.0%"
"12","Joey Slye (CAR)","1","1","100.0","36","0","0","1","0","0","5","5","1","8.0","8.0","18.0%"
"13","Stephen Hauschka (BUF)","2","3","66.7","45","0","0","1","1","0","1","1","1","8.0","8.0","4.0%"
"14","Austin Seibert (CLE)","2","2","100.0","35","0","1","1","0","0","1","1","1","7.0","7.0","4.0%"
"15","Eddy Pineiro (CHI)","1","2","50.0","38","0","0","1","0","0","4","4","1","7.0","7.0","1.0%"
"16","Brett Maher (NYJ)","1","2","50.0","28","0","1","0","0","0","4","4","1","7.0","7.0","2.0%"
"17","Jake Elliott (PHI)","1","1","100.0","25","0","1","0","0","0","3","3","1","6.0","6.0","35.0%"
"18","Aldrick Rosas (FA)","1","1","100.0","36","0","0","1","0","0","3","3","1","6.0","6.0","1.0%"
"19","Randy Bullock (CIN)","1","1","100.0","43","0","0","0","1","0","2","2","1","6.0","6.0","2.0%"
"20","Jason Sanders (MIA)","2","3","66.7","33","0","1","1","0","0","0","0","1","6.0","6.0","1.0%"
"21","Stephen Gostkowski (FA)","1","1","100.0","37","0","0","1","0","0","3","4","1","6.0","6.0","1.0%"
"22","Matt Bryant (FA)","1","1","100.0","34","0","0","1","0","0","3","3","1","6.0","6.0","2.0%"
"23","Robbie Gould (SF)","1","1","100.0","24","0","1","0","0","0","3","3","1","6.0","6.0","90.0%"
"24","Justin Tucker (BAL)","1","1","100.0","39","0","0","1","0","0","1","1","1","4.0","4.0","100.0%"
"25","Brandon McManus (DEN)","1","1","100.0","30","0","0","1","0","0","1","2","1","4.0","4.0","8.0%"
"26","Wil Lutz (NO)","0","0","0","0","0","0","0","0","0","3","4","1","3.0","3.0","99.0%"
"27","Dustin Hopkins (WAS)","1","2","50.0","35","0","0","1","0","0","0","0","1","3.0","3.0","1.0%"
"28","Ka'imi Fairbairn (HOU)","0","1","0.0","0","0","0","0","0","0","3","4","1","3.0","3.0","32.0%"
"29","Jason Myers (SEA)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","22.0%"
"30","Daniel Carlson (LV)","0","1","0.0","0","0","0","0","0","0","2","2","1","2.0","2.0","2.0%"
"31","Sam Ficken (NYJ)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","0.0%"
"32","Cairo Santos (FA)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","0.0%"
"33","Greg Joseph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"34","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.0%"
"35","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"36","Chandler Catanzaro (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"38","Michael Badgley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.0%"
"39","Kaare Vedvik (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Lirim Hajrullahu (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"41","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Ramiz Ahmed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"44","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Tristan Vizcaino (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Elliott Fry (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Chase McLaughlin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"48","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Sam Sloman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"52","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"53","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"54","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"55","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"56","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"57","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"58","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"59","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"60","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"61","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"62","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"63","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"64","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"65","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"66","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
""
""
