"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","Houston Texans (HOU)","3","4","1","1","1","0","0","1","20.0","20.0","10.0%"
"2","Indianapolis Colts (IND)","5","3","0","0","0","0","2","1","18.0","18.0","74.0%"
"3","New York Jets (NYJ)","4","2","0","0","0","0","0","1","12.0","12.0","29.0%"
"4","Arizona Cardinals (ARI)","5","0","1","2","0","0","0","1","11.0","11.0","5.0%"
"5","Green Bay Packers (GB)","5","1","0","0","0","0","0","1","11.0","11.0","32.0%"
"6","Tampa Bay Buccaneers (TB)","5","1","1","2","0","0","0","1","10.0","10.0","56.0%"
"7","Kansas City Chiefs (KC)","3","0","0","0","0","0","0","1","10.0","10.0","94.0%"
"8","Minnesota Vikings (MIN)","3","1","2","3","0","0","0","1","9.0","9.0","86.0%"
"9","Los Angeles Rams (LAR)","6","2","0","1","0","0","0","1","9.0","9.0","76.0%"
"10","Atlanta Falcons (ATL)","3","0","1","0","0","0","0","1","9.0","9.0","2.0%"
"11","Philadelphia Eagles (PHI)","2","0","1","1","0","0","0","1","8.0","8.0","65.0%"
"12","San Francisco 49ers (SF)","0","1","0","1","1","0","0","1","7.0","7.0","100.0%"
"13","New Orleans Saints (NO)","5","0","1","1","0","0","0","1","6.0","6.0","94.0%"
"14","Denver Broncos (DEN)","4","0","0","0","0","0","0","1","5.0","5.0","69.0%"
"15","Pittsburgh Steelers (PIT)","2","0","1","1","0","0","0","1","5.0","5.0","99.0%"
"16","Jacksonville Jaguars (JAC)","1","2","0","0","0","0","0","1","5.0","5.0","4.0%"
"17","New England Patriots (NE)","4","0","0","0","0","0","0","1","5.0","5.0","96.0%"
"18","Baltimore Ravens (BAL)","1","1","0","0","0","0","0","1","4.0","4.0","99.0%"
"19","Los Angeles Chargers (LAC)","3","0","0","0","0","0","0","1","3.0","3.0","66.0%"
"20","Seattle Seahawks (SEA)","2","0","0","0","0","0","0","1","2.0","2.0","53.0%"
"21","Las Vegas Raiders (LV)","1","0","0","0","0","0","0","1","2.0","2.0","3.0%"
"22","Miami Dolphins (MIA)","4","0","1","1","0","0","0","1","2.0","2.0","3.0%"
"23","Dallas Cowboys (DAL)","1","0","0","1","0","0","0","1","2.0","2.0","46.0%"
"24","Buffalo Bills (BUF)","0","0","1","1","0","0","0","1","2.0","2.0","98.0%"
"25","Cleveland Browns (CLE)","0","0","1","1","0","0","0","1","1.0","1.0","34.0%"
"26","Chicago Bears (CHI)","1","0","0","0","0","0","0","1","1.0","1.0","93.0%"
"27","Detroit Lions (DET)","0","0","0","0","0","0","1","1","0.0","0.0","4.0%"
"28","Cincinnati Bengals (CIN)","2","1","0","1","0","0","0","1","0.0","0.0","7.0%"
"29","New York Giants (NYG)","3","0","0","0","0","0","0","1","-1.0","-1.0","1.0%"
"30","Carolina Panthers (CAR)","3","0","0","0","0","0","0","1","-1.0","-1.0","2.0%"
"31","Tennessee Titans (TEN)","3","0","0","0","0","0","0","1","-1.0","-1.0","39.0%"
"32","Washington Football Team (WAS)","1","0","0","1","0","0","0","1","-3.0","-3.0","14.0%"
""
""
