"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Zach Ertz (PHI)","9","13","91","10.1","30","2","2","0","0","0","0","1","21.1","21.1","99.0%"
"2","Jared Cook (NO)","2","2","64","32.0","38","2","2","0","0","0","0","1","18.4","18.4","97.0%"
"3","Noah Fant (DEN)","4","4","113","28.3","48","3","1","0","0","0","0","1","17.3","17.3","83.0%"
"4","Hayden Hurst (ATL)","3","3","73","24.3","61","1","1","0","0","0","0","1","13.3","13.3","89.0%"
"5","George Kittle (SF)","6","8","67","11.2","39","2","1","0","0","0","0","1","12.7","12.7","100.0%"
"6","Ian Thomas (CAR)","5","10","57","11.4","19","0","1","0","0","0","0","1","11.7","11.7","31.0%"
"7","Tyler Higbee (LAR)","7","11","116","16.6","33","3","0","0","0","0","0","1","11.6","11.6","95.0%"
"8","Travis Kelce (KC)","7","9","66","9.4","20","1","0","1","4","1","1","1","11.0","11.0","100.0%"
"9","Hunter Henry (LAC)","2","4","39","19.5","30","1","1","0","0","0","0","1","9.9","9.9","98.0%"
"10","Cameron Brate (TB)","4","4","30","7.5","13","0","1","0","0","0","0","1","9.0","9.0","2.0%"
"11","Nick O'Leary (FA)","4","5","30","7.5","12","0","1","0","0","0","0","1","9.0","9.0","0.0%"
"12","Jonnu Smith (TEN)","3","4","29","9.7","17","0","1","0","0","0","0","1","8.9","8.9","79.0%"
"13","Foster Moreau (LV)","3","3","14","4.7","7","0","1","0","0","0","0","1","7.4","7.4","0.0%"
"14","Virgil Green (LAC)","1","1","14","14.0","14","0","1","0","0","0","0","1","7.4","7.4","0.0%"
"15","O.J. Howard (TB)","4","5","73","18.3","33","2","0","0","0","0","0","1","7.3","7.3","34.0%"
"16","Robert Tonyan (GB)","1","1","12","12.0","12","0","1","0","0","0","0","1","7.2","7.2","0.0%"
"17","Nick Boyle (BAL)","2","3","10","5.0","7","0","1","0","0","0","0","1","7.0","7.0","0.0%"
"18","Jeff Heuerman (FA)","1","1","8","8.0","8","0","1","0","0","0","0","1","6.8","6.8","0.0%"
"19","Charles Clay (FA)","1","1","5","5.0","5","0","1","0","0","0","0","1","6.5","6.5","0.0%"
"20","Josh Hill (NO)","2","3","4","2.0","3","0","1","0","0","0","0","1","6.4","6.4","0.0%"
"21","J.P. Holtz (CHI)","3","3","56","18.7","30","1","0","0","0","0","0","1","5.6","5.6","0.0%"
"22","Darren Waller (LV)","6","6","72","12.0","25","1","0","0","0","0","1","1","5.2","5.2","99.0%"
"23","Blake Jarwin (DAL)","6","7","50","8.3","12","0","0","0","0","0","0","1","5.0","5.0","51.0%"
"24","Jordan Akins (HOU)","4","9","49","12.3","15","0","0","0","0","0","0","1","4.9","4.9","1.0%"
"25","Jimmy Graham (CHI)","3","5","49","16.3","25","2","0","0","0","0","0","1","4.9","4.9","6.0%"
"26","Tyler Eifert (JAC)","4","4","49","12.3","17","0","0","0","0","0","0","1","4.9","4.9","6.0%"
"27","MyCole Pruitt (TEN)","1","1","42","42.0","42","1","0","0","0","0","0","1","4.2","4.2","0.0%"
"28","Dallas Goedert (PHI)","3","6","41","13.7","28","1","0","0","0","0","0","1","4.1","4.1","76.0%"
"29","Anthony Firkser (TEN)","1","1","39","39.0","39","1","0","0","0","0","0","1","3.9","3.9","0.0%"
"30","Dawson Knox (BUF)","1","4","37","37.0","37","1","0","0","0","0","0","1","3.7","3.7","12.0%"
"31","Jason Witten (LV)","5","7","37","7.4","14","0","0","0","0","0","0","1","3.7","3.7","4.0%"
"32","Joshua Perkins (PHI)","5","5","37","7.4","13","0","0","0","0","0","0","1","3.7","3.7","0.0%"
"33","Jesper Horsted (CHI)","4","4","36","9.0","14","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"34","Jacob Hollister (SEA)","4","6","34","8.5","19","0","0","0","0","0","0","1","3.4","3.4","2.0%"
"35","Austin Hooper (CLE)","2","6","32","16.0","18","0","0","0","0","0","0","1","3.2","3.2","92.0%"
"36","Andrew Beck (DEN)","1","1","29","29.0","29","1","0","0","0","0","0","1","2.9","2.9","0.0%"
"37","Jack Doyle (IND)","2","6","27","13.5","18","0","0","0","0","0","0","1","2.7","2.7","50.0%"
"38","Jesse James (DET)","1","2","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","0.0%"
"39","Ricky Seals-Jones (KC)","1","1","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","0.0%"
"40","Irv Smith Jr. (MIN)","3","4","21","7.0","13","0","0","0","0","0","0","1","2.1","2.1","34.0%"
"41","Logan Thomas (WAS)","2","4","21","10.5","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"42","Matt LaCosse (NE)","2","4","14","7.0","8","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"43","Mark Andrews (BAL)","1","3","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","100.0%"
"44","Tyler Conklin (MIN)","3","3","13","4.3","11","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"45","Chris Manhertz (CAR)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"46","Kyle Rudolph (MIN)","2","2","11","5.5","8","0","0","0","0","0","0","1","1.1","1.1","18.0%"
"47","Kaden Smith (NYG)","2","5","9","4.5","7","0","0","0","0","0","0","1","0.9","0.9","1.0%"
"48","Ryan Griffin (NYJ)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","1.0%"
