"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","Tampa Bay Buccaneers (TB)","5","2","2","3","1","0","0","1","23.0","23.0","56.0%"
"2","Tennessee Titans (TEN)","3","2","1","1","0","0","1","1","22.0","22.0","39.0%"
"3","Los Angeles Rams (LAR)","6","1","0","0","1","0","0","1","18.0","18.0","76.0%"
"4","Kansas City Chiefs (KC)","2","2","1","0","1","0","0","1","18.0","18.0","94.0%"
"5","New Orleans Saints (NO)","9","2","1","2","0","0","0","1","16.0","16.0","94.0%"
"6","Cincinnati Bengals (CIN)","4","0","0","0","0","1","0","1","13.0","13.0","7.0%"
"7","Pittsburgh Steelers (PIT)","5","1","1","1","0","0","0","1","13.0","13.0","99.0%"
"8","Washington Football Team (WAS)","7","1","1","1","0","0","0","1","11.0","11.0","14.0%"
"9","Indianapolis Colts (IND)","6","0","2","2","0","0","0","1","11.0","11.0","74.0%"
"10","Green Bay Packers (GB)","0","3","0","0","0","0","0","1","10.0","10.0","32.0%"
"11","Buffalo Bills (BUF)","4","1","1","3","0","0","0","1","9.0","9.0","98.0%"
"12","Denver Broncos (DEN)","3","1","1","0","0","0","0","1","8.0","8.0","69.0%"
"13","Minnesota Vikings (MIN)","2","1","1","1","1","0","0","1","8.0","8.0","86.0%"
"14","Jacksonville Jaguars (JAC)","4","0","1","1","0","0","0","1","6.0","6.0","4.0%"
"15","Seattle Seahawks (SEA)","0","1","2","2","0","0","0","1","6.0","6.0","53.0%"
"16","Houston Texans (HOU)","3","1","0","0","0","0","0","1","5.0","5.0","10.0%"
"17","Chicago Bears (CHI)","2","1","0","0","0","0","0","1","5.0","5.0","93.0%"
"18","Baltimore Ravens (BAL)","2","0","1","1","0","0","0","1","5.0","5.0","99.0%"
"19","Dallas Cowboys (DAL)","4","0","0","0","0","0","0","1","4.0","4.0","46.0%"
"20","Cleveland Browns (CLE)","1","1","0","1","0","0","0","1","4.0","4.0","34.0%"
"21","Carolina Panthers (CAR)","5","0","0","1","0","0","0","1","4.0","4.0","2.0%"
"22","San Francisco 49ers (SF)","1","0","1","1","0","0","0","1","4.0","4.0","100.0%"
"23","Miami Dolphins (MIA)","2","1","0","1","0","0","0","1","3.0","3.0","3.0%"
"24","Detroit Lions (DET)","1","1","0","0","0","0","0","1","3.0","3.0","4.0%"
"25","Los Angeles Chargers (LAC)","0","1","0","0","0","0","0","1","2.0","2.0","66.0%"
"26","New England Patriots (NE)","3","0","0","0","0","0","0","1","2.0","2.0","96.0%"
"27","Philadelphia Eagles (PHI)","3","1","0","0","0","0","0","1","1.0","1.0","65.0%"
"28","New York Jets (NYJ)","1","0","0","0","0","0","0","1","1.0","1.0","29.0%"
"29","Las Vegas Raiders (LV)","1","0","0","0","0","0","0","1","0.0","0.0","3.0%"
"30","Atlanta Falcons (ATL)","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"31","Arizona Cardinals (ARI)","1","0","0","0","0","0","0","1","0.0","0.0","5.0%"
"32","New York Giants (NYG)","0","0","0","1","0","0","0","1","-1.0","-1.0","1.0%"
""
""
