"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Tevin Coleman (SF)","11","105","9.5","48","2","3","2","2","13","6.5","1","0","1","35.8","35.8","67.0%"
"2","Aaron Jones (GB)","13","67","5.2","9","0","0","7","8","159","22.7","2","0","1","34.6","34.6","100.0%"
"3","Latavius Murray (NO)","21","102","4.9","28","1","1","9","12","55","6.1","1","0","1","27.7","27.7","70.0%"
"4","Christian McCaffrey (CAR)","14","117","8.4","40","2","1","4","5","38","9.5","0","0","1","23.5","23.5","100.0%"
"5","Dalvin Cook (MIN)","23","98","4.3","11","0","1","5","6","73","14.6","0","0","1","23.1","23.1","100.0%"
"6","James Conner (PIT)","23","145","6.3","25","1","1","3","4","5","1.7","0","0","1","21.0","21.0","97.0%"
"7","David Montgomery (CHI)","27","135","5.0","55","1","1","4","5","12","3.0","0","0","1","20.7","20.7","94.0%"
"8","Saquon Barkley (NYG)","19","64","3.4","13","0","0","8","10","79","9.9","1","0","1","20.3","20.3","100.0%"
"9","Miles Sanders (PHI)","3","74","24.7","65","1","1","3","3","44","14.7","0","0","1","19.8","19.8","99.0%"
"10","Jordan Howard (MIA)","23","96","4.2","20","1","1","1","2","15","15.0","0","0","1","17.1","17.1","88.0%"
"11","Jamaal Williams (GB)","7","22","3.1","14","0","1","3","3","14","4.7","1","0","1","15.6","15.6","13.0%"
"12","Marlon Mack (IND)","19","76","4.0","16","0","1","1","1","14","14.0","0","0","1","15.0","15.0","87.0%"
"13","Chris Carson (SEA)","20","90","4.5","19","0","1","0","1","0","0","0","0","1","15.0","15.0","98.0%"
"14","Joe Mixon (CIN)","17","66","3.9","13","0","0","4","4","11","2.8","1","0","1","13.7","13.7","100.0%"
"15","Leonard Fournette (JAC)","19","76","4.0","66","1","0","7","7","60","8.6","0","0","1","13.6","13.6","96.0%"
"16","Raheem Mostert (SF)","9","60","6.7","41","1","1","0","0","0","0","0","0","1","12.0","12.0","96.0%"
"17","Devin Singletary (BUF)","3","19","6.3","16","0","0","4","6","30","7.5","1","0","1","10.9","10.9","95.0%"
"18","Royce Freeman (DEN)","12","40","3.3","10","0","1","1","2","5","5.0","0","0","1","10.5","10.5","9.0%"
"19","Todd Gurley (ATL)","10","44","4.4","20","1","1","0","1","0","0","0","0","1","10.4","10.4","99.0%"
"20","Adrian Peterson (WAS)","14","76","5.4","29","1","0","2","2","27","13.5","0","0","1","10.3","10.3","47.0%"
"21","Nick Chubb (CLE)","20","131","6.6","44","1","0","1","1","7","7.0","0","2","1","9.8","9.8","100.0%"
"22","Duke Johnson (HOU)","3","1","0.3","4","0","0","4","5","33","8.3","1","0","1","9.4","9.4","47.0%"
"23","Melvin Gordon (DEN)","8","31","3.9","19","0","1","2","3","3","1.5","0","0","1","9.4","9.4","98.0%"
"24","Damien Williams (KC)","7","30","4.3","9","0","1","0","0","0","0","0","0","1","9.0","9.0","50.0%"
