"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Travis Kelce (KC)","11","13","142","12.9","21","1","0","0","0","0","0","1","14.2","14.2","100.0%"
"2","George Kittle (SF)","13","17","134","10.3","21","2","0","0","0","0","0","1","13.4","13.4","100.0%"
"3","Ricky Seals-Jones (KC)","3","4","29","9.7","26","1","2","0","0","0","1","1","12.9","12.9","0.0%"
"4","Darren Waller (LV)","8","10","122","15.3","36","2","0","0","0","0","0","1","12.2","12.2","99.0%"
"5","Zach Ertz (PHI)","5","10","61","12.2","27","1","1","0","0","0","0","1","12.1","12.1","99.0%"
"6","Jonnu Smith (TEN)","5","5","60","12.0","23","1","0","1","57","0","0","1","11.7","11.7","79.0%"
"7","Mark Andrews (BAL)","4","7","52","13.0","36","1","1","0","0","0","0","1","11.2","11.2","100.0%"
"8","Tyler Higbee (LAR)","12","14","111","9.3","26","1","0","0","0","0","0","1","11.1","11.1","95.0%"
"9","Jason Witten (LV)","4","5","36","9.0","19","0","1","0","0","0","0","1","9.6","9.6","4.0%"
"10","Tyler Kroft (BUF)","1","1","14","14.0","14","0","1","0","0","0","0","1","7.4","7.4","0.0%"
"11","Cethan Carter (CIN)","2","2","13","6.5","8","0","1","0","0","0","0","1","7.3","7.3","0.0%"
"12","Irv Smith Jr. (MIN)","2","3","8","4.0","7","0","1","0","0","0","0","1","6.8","6.8","34.0%"
"13","Dan Arnold (ARI)","1","1","6","6.0","6","0","1","0","0","0","0","1","6.6","6.6","1.0%"
"14","Josh Hill (NO)","1","1","5","5.0","5","0","1","0","0","0","0","1","6.5","6.5","0.0%"
"15","Noah Fant (DEN)","2","3","56","28.0","43","1","0","0","0","0","0","1","5.6","5.6","83.0%"
"16","Dallas Goedert (PHI)","5","6","55","11.0","20","1","0","0","0","0","0","1","5.5","5.5","76.0%"
"17","Jared Cook (NO)","4","4","54","13.5","20","1","0","0","0","0","0","1","5.4","5.4","97.0%"
"18","Kyle Rudolph (MIN)","3","3","48","16.0","22","2","0","0","0","0","0","1","4.8","4.8","18.0%"
"19","Mike Gesicki (MIA)","4","8","47","11.8","24","1","0","0","0","0","0","1","4.7","4.7","81.0%"
"20","O.J. Howard (TB)","4","7","46","11.5","25","1","0","0","0","0","0","1","4.6","4.6","34.0%"
"21","Tyler Eifert (JAC)","3","5","44","14.7","24","1","0","0","0","0","0","1","4.4","4.4","6.0%"
"22","Blake Bell (DAL)","2","2","41","20.5","30","1","0","0","0","0","0","1","4.1","4.1","0.0%"
"23","Blake Jarwin (DAL)","2","3","40","20.0","20","2","0","0","0","0","0","1","4.0","4.0","51.0%"
"24","Nick Vannett (DEN)","5","6","40","8.0","13","0","0","0","0","0","0","1","4.0","4.0","0.0%"
"25","Kaden Smith (NYG)","3","3","38","12.7","27","1","0","0","0","0","0","1","3.8","3.8","1.0%"
"26","Clive Walford (FA)","2","4","34","17.0","19","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"27","Cameron Brate (TB)","3","7","33","11.0","16","0","0","0","0","0","0","1","3.3","3.3","2.0%"
"28","Jesse James (DET)","3","5","31","10.3","13","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"29","Ian Thomas (CAR)","2","3","23","11.5","12","0","0","0","0","0","0","1","2.3","2.3","31.0%"
"30","Seth DeValve (FA)","2","2","23","11.5","12","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"31","Jacob Hollister (SEA)","3","3","23","7.7","8","0","0","0","0","0","0","1","2.3","2.3","2.0%"
"32","Matt LaCosse (NE)","3","3","22","7.3","14","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"33","Jack Doyle (IND)","2","5","21","10.5","11","0","0","0","0","0","0","1","2.1","2.1","50.0%"
"34","Austin Hooper (CLE)","3","6","20","6.7","9","0","0","0","0","0","0","1","2.0","2.0","92.0%"
"35","Hayden Hurst (ATL)","1","2","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","89.0%"
"36","Charles Clay (FA)","1","2","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"37","Johnny Mundt (LAR)","2","3","15","7.5","9","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"38","Tanner Hudson (TB)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"39","Andrew Beck (DEN)","2","3","13","6.5","10","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"40","Demetrius Harris (CHI)","1","2","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"41","Jeremy Sprinkle (WAS)","2","2","13","6.5","7","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"42","Dawson Knox (BUF)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","12.0%"
"43","Isaac Nauta (DET)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"44","Luke Stocker (FA)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"45","Hunter Henry (LAC)","2","2","29","14.5","24","1","0","0","0","0","1","1","0.9","0.9","98.0%"
"46","C.J. Uzomah (CIN)","1","2","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","1.0%"
"47","Jordan Akins (HOU)","2","2","7","3.5","5","0","0","0","0","0","0","1","0.7","0.7","1.0%"
"48","Troy Fumagalli (DEN)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"49","Anthony Firkser (TEN)","1","4","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"50","Marcedes Lewis (GB)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"51","Robert Tonyan (GB)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"52","Derek Carrier (LV)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"53","Daniel Brown (NYJ)","1","2","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"54","Maxx Williams (ARI)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"55","Zach Gentry (PIT)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"56","Darren Fells (HOU)","1","2","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","3.0%"
"57","Scott Simonson (FA)","1","1","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"58","Codey McElroy (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Dylan Cantrell (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Ryan Izzo (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Ross Dwelley (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Deon Yelder (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Tyler Conklin (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"64","Jordan Franks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Kevin Radar (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Daniel Helm (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Will Dissly (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0%"
"68","Nate Becker (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Stephen Carlson (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"70","Charles Scarff (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Carson Meier (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Hale Hentges (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"73","Austin Fort (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Donald Parham (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Jakob Johnson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Matt Sokol (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Kahale Warring (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Dax Raymond (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","T.J. Hockenson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.0%"
"81","Nick Keizer (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Jaeden Graham (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Garrett Dickerson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Albert Okwuegbunam (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"85","Tommy Sweeney (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Jace Sternberger (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","19.0%"
"87","Foster Moreau (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Brandon Dillon (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Kendall Blanton (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Josh Oliver (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Drew Sample (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Trevon Wesco (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"93","Caleb Wilson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Chris Herndon IV (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.0%"
"95","Durham Smythe (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"96","Jason Vander Laan (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","David Njoku (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"98","Evan Engram (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.0%"
"99","Jake Butt (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
