"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Patrick Mahomes (KC)","30","44","68.2","443","10.1","4","0","2","1","-1","0","1","1","31.6","31.6","100.0%"
"2","Lamar Jackson (BAL)","24","37","64.9","272","7.4","2","0","2","16","120","0","0","1","30.9","30.9","100.0%"
"3","Dak Prescott (DAL)","26","30","86.7","269","9.0","3","1","1","5","69","0","0","1","28.7","28.7","99.0%"
"4","Tom Brady (TB)","20","28","71.4","264","9.4","2","0","2","2","1","1","0","1","24.7","24.7","97.0%"
"5","Russell Wilson (SEA)","29","35","82.9","300","8.6","3","0","4","6","22","0","1","1","24.2","24.2","100.0%"
"6","Jimmy Garoppolo (SF)","17","25","68.0","296","11.8","3","1","0","4","8","0","0","1","23.6","23.6","67.0%"
"7","Josh Allen (BUF)","19","30","63.3","253","8.4","1","0","3","7","21","1","0","1","22.2","22.2","98.0%"
"8","Matt Ryan (ATL)","27","43","62.8","320","7.4","3","3","1","2","3","0","0","1","22.1","22.1","97.0%"
"9","Andy Dalton (DAL)","26","42","61.9","311","7.4","2","1","4","2","2","0","0","1","19.6","19.6","2.0%"
"10","Carson Wentz (PHI)","25","43","58.1","231","5.4","1","2","3","3","3","1","0","1","19.5","19.5","95.0%"
"11","Jared Goff (LAR)","19","28","67.9","283","10.1","1","0","3","4","-2","1","1","1","19.1","19.1","69.0%"
"12","Jacoby Brissett (IND)","17","28","60.7","146","5.2","3","1","3","7","25","0","1","1","17.3","17.3","2.0%"
"13","Matthew Stafford (DET)","22","30","73.3","245","8.2","2","2","0","4","13","0","0","1","17.1","17.1","90.0%"
"14","Case Keenum (CLE)","26","37","70.3","221","6.0","2","0","1","1","-1","0","0","1","16.7","16.7","1.0%"
"15","Joe Flacco (NYJ)","35","50","70.0","292","5.8","1","1","2","0","0","0","0","1","16.7","16.7","1.0%"
"16","Kyler Murray (ARI)","25","40","62.5","349","8.7","0","0","3","3","4","0","0","1","16.4","16.4","99.0%"
"17","Gardner Minshew II (JAC)","23","33","69.7","213","6.5","1","0","4","6","56","0","1","1","16.1","16.1","33.0%"
"18","Baker Mayfield (CLE)","19","35","54.3","325","9.3","1","1","3","0","0","0","0","1","16.0","16.0","80.0%"
