"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Ty Long (LAC)","3","3","100.0","51","0","0","0","2","1","3","3","1","16.0","16.0","0.0%"
"2","Matt Prater (DET)","3","3","100.0","53","0","1","0","1","1","3","3","1","15.0","15.0","79.0%"
"3","Josh Lambo (JAC)","4","4","100.0","40","0","1","2","1","0","2","2","1","15.0","15.0","5.0%"
"4","Matt Gay (TB)","2","2","100.0","58","0","1","0","0","1","7","7","1","15.0","15.0","77.0%"
"5","Wil Lutz (NO)","4","4","100.0","42","1","1","0","2","0","0","0","1","14.0","14.0","99.0%"
"6","Joey Slye (CAR)","3","3","100.0","55","0","1","0","1","1","1","1","1","13.0","13.0","18.0%"
"7","Greg Zuerlein (DAL)","2","2","100.0","58","0","0","0","1","1","4","4","1","13.0","13.0","97.0%"
"8","Austin Seibert (CLE)","2","2","100.0","43","0","1","0","1","0","4","4","1","11.0","11.0","4.0%"
"9","Harrison Butker (KC)","2","3","66.7","44","0","1","0","1","0","4","4","1","11.0","11.0","99.0%"
"10","Eddy Pineiro (CHI)","3","3","100.0","38","0","1","2","0","0","1","1","1","10.0","10.0","1.0%"
"11","Chris Boswell (PIT)","2","2","100.0","49","0","1","0","1","0","3","3","1","10.0","10.0","11.0%"
"12","Jason Myers (SEA)","2","2","100.0","33","0","1","1","0","0","3","3","1","9.0","9.0","22.0%"
"13","Mason Crosby (GB)","2","2","100.0","31","0","0","2","0","0","3","3","1","9.0","9.0","15.0%"
"14","Cairo Santos (FA)","1","1","100.0","45","0","0","0","1","0","3","3","1","7.0","7.0","0.0%"
"15","Daniel Carlson (LV)","1","1","100.0","26","0","1","0","0","0","4","4","1","7.0","7.0","2.0%"
"16","Adam Vinatieri (FA)","1","2","50.0","26","0","1","0","0","0","3","3","1","6.0","6.0","1.0%"
"17","Justin Tucker (BAL)","1","1","100.0","41","0","0","0","1","0","2","2","1","6.0","6.0","100.0%"
"18","Aldrick Rosas (FA)","1","1","100.0","30","0","0","1","0","0","3","3","1","6.0","6.0","1.0%"
"19","Brandon McManus (DEN)","1","1","100.0","33","0","0","1","0","0","3","3","1","6.0","6.0","8.0%"
"20","Matt Bryant (FA)","1","2","50.0","42","0","0","0","1","0","1","1","1","5.0","5.0","2.0%"
"21","Stephen Hauschka (BUF)","1","2","50.0","46","0","0","0","1","0","1","1","1","5.0","5.0","4.0%"
"22","Brett Maher (NYJ)","1","1","100.0","28","0","1","0","0","0","1","1","1","4.0","4.0","2.0%"
"23","Zane Gonzalez (ARI)","1","3","33.3","33","0","0","1","0","0","1","1","1","4.0","4.0","68.0%"
"24","Jason Sanders (MIA)","1","3","33.3","30","0","0","1","0","0","1","1","1","4.0","4.0","1.0%"
"25","Ka'imi Fairbairn (HOU)","1","2","50.0","37","0","0","1","0","0","1","1","1","4.0","4.0","32.0%"
"26","Jake Elliott (PHI)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","35.0%"
"27","Stephen Gostkowski (FA)","1","1","100.0","23","0","1","0","0","0","1","2","1","4.0","4.0","1.0%"
"28","Dustin Hopkins (WAS)","1","1","100.0","21","0","1","0","0","0","0","0","1","3.0","3.0","1.0%"
"29","Randy Bullock (CIN)","1","1","100.0","28","0","1","0","0","0","0","0","1","3.0","3.0","2.0%"
"30","Sam Ficken (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"31","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"32","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.0%"
"33","Chandler Catanzaro (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"34","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
