"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","New England Patriots (NE)","5","1","2","1","1","0","0","1","21.0","21.0","96.0%"
"2","San Francisco 49ers (SF)","7","3","0","0","0","0","0","1","17.0","17.0","100.0%"
"3","Jacksonville Jaguars (JAC)","8","3","0","1","0","0","0","1","15.0","15.0","4.0%"
"4","Pittsburgh Steelers (PIT)","4","2","2","3","0","0","0","1","13.0","13.0","99.0%"
"5","Minnesota Vikings (MIN)","4","1","1","2","0","0","0","1","12.0","12.0","86.0%"
"6","Detroit Lions (DET)","3","0","1","2","1","0","0","1","11.0","11.0","4.0%"
"7","Tennessee Titans (TEN)","3","2","2","2","0","0","0","1","11.0","11.0","39.0%"
"8","Philadelphia Eagles (PHI)","4","0","1","3","0","0","0","1","10.0","10.0","65.0%"
"9","Los Angeles Rams (LAR)","5","0","0","0","0","0","0","1","9.0","9.0","76.0%"
"10","Seattle Seahawks (SEA)","2","1","2","2","0","0","0","1","9.0","9.0","53.0%"
"11","Los Angeles Chargers (LAC)","4","1","1","0","0","0","0","1","9.0","9.0","66.0%"
"12","New York Giants (NYG)","4","1","1","1","0","0","0","1","8.0","8.0","1.0%"
"13","New Orleans Saints (NO)","4","0","0","0","0","0","0","1","8.0","8.0","94.0%"
"14","Denver Broncos (DEN)","4","0","1","2","0","0","0","1","7.0","7.0","69.0%"
"15","Indianapolis Colts (IND)","3","0","0","1","0","0","0","1","7.0","7.0","74.0%"
"16","Washington Football Team (WAS)","3","0","1","1","0","0","0","1","6.0","6.0","14.0%"
"17","Tampa Bay Buccaneers (TB)","3","0","1","2","0","0","0","1","5.0","5.0","56.0%"
"18","Miami Dolphins (MIA)","2","1","0","1","0","0","0","1","4.0","4.0","3.0%"
"19","Kansas City Chiefs (KC)","5","0","0","0","0","0","0","1","4.0","4.0","94.0%"
"20","Green Bay Packers (GB)","2","0","1","1","0","0","0","1","4.0","4.0","32.0%"
"21","Chicago Bears (CHI)","1","1","0","0","0","0","0","1","4.0","4.0","93.0%"
"22","Buffalo Bills (BUF)","3","0","1","1","0","0","0","1","4.0","4.0","98.0%"
"23","New York Jets (NYJ)","2","0","1","1","0","0","0","1","3.0","3.0","29.0%"
"24","Las Vegas Raiders (LV)","3","0","0","1","0","0","0","1","3.0","3.0","3.0%"
"25","Cleveland Browns (CLE)","3","0","0","0","0","0","0","1","3.0","3.0","34.0%"
"26","Carolina Panthers (CAR)","3","1","0","0","0","1","0","1","3.0","3.0","2.0%"
"27","Atlanta Falcons (ATL)","2","0","0","0","0","0","0","1","2.0","2.0","2.0%"
"28","Arizona Cardinals (ARI)","0","1","0","0","0","0","0","1","1.0","1.0","5.0%"
"29","Houston Texans (HOU)","0","0","0","0","0","0","0","1","0.0","0.0","10.0%"
"30","Dallas Cowboys (DAL)","0","0","0","0","0","0","0","0","0","0","46.0%"
"31","Cincinnati Bengals (CIN)","0","0","0","0","0","0","0","1","0.0","0.0","7.0%"
"32","Baltimore Ravens (BAL)","0","0","0","0","0","0","0","0","0","0","99.0%"
""
""
