"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","New England Patriots (NE)","7","4","0","0","2","0","0","1","37.0","37.0","96.0%"
"2","Cleveland Browns (CLE)","4","0","1","1","0","0","0","1","13.0","13.0","34.0%"
"3","Kansas City Chiefs (KC)","3","2","0","3","0","0","0","1","11.0","11.0","94.0%"
"4","Atlanta Falcons (ATL)","3","2","1","0","0","0","0","1","10.0","10.0","2.0%"
"5","Houston Texans (HOU)","4","0","1","3","0","0","0","1","10.0","10.0","10.0%"
"6","Green Bay Packers (GB)","1","2","2","3","0","0","0","1","10.0","10.0","32.0%"
"7","Detroit Lions (DET)","1","1","1","1","0","0","0","1","9.0","9.0","4.0%"
"8","Jacksonville Jaguars (JAC)","4","0","0","0","0","0","0","1","8.0","8.0","4.0%"
"9","Los Angeles Chargers (LAC)","0","2","0","0","0","0","0","1","8.0","8.0","66.0%"
"10","Tennessee Titans (TEN)","3","1","1","0","0","0","0","1","8.0","8.0","39.0%"
"11","Los Angeles Rams (LAR)","2","1","0","1","0","0","0","1","8.0","8.0","76.0%"
"12","San Francisco 49ers (SF)","4","1","0","0","0","0","0","1","7.0","7.0","100.0%"
"13","Philadelphia Eagles (PHI)","1","3","0","1","0","0","0","1","7.0","7.0","65.0%"
"14","Pittsburgh Steelers (PIT)","4","0","2","1","0","0","0","1","7.0","7.0","99.0%"
"15","Tampa Bay Buccaneers (TB)","3","0","1","1","0","0","0","1","6.0","6.0","56.0%"
"16","Carolina Panthers (CAR)","3","0","0","0","0","1","0","1","6.0","6.0","2.0%"
"17","Buffalo Bills (BUF)","1","2","0","1","0","0","0","1","6.0","6.0","98.0%"
"18","Minnesota Vikings (MIN)","2","0","2","1","0","0","0","1","6.0","6.0","86.0%"
"19","New York Jets (NYJ)","3","1","0","0","0","0","0","1","5.0","5.0","29.0%"
"20","Indianapolis Colts (IND)","4","0","0","2","0","0","0","1","5.0","5.0","74.0%"
"21","New Orleans Saints (NO)","3","0","1","1","0","0","0","1","5.0","5.0","94.0%"
"22","Chicago Bears (CHI)","2","1","0","0","0","0","0","1","5.0","5.0","93.0%"
"23","Baltimore Ravens (BAL)","3","0","0","0","0","0","0","1","4.0","4.0","99.0%"
"24","Seattle Seahawks (SEA)","1","1","0","0","0","0","0","1","3.0","3.0","53.0%"
"25","Las Vegas Raiders (LV)","2","0","1","1","0","0","0","1","3.0","3.0","3.0%"
"26","Miami Dolphins (MIA)","2","0","1","1","0","0","0","1","3.0","3.0","3.0%"
"27","Arizona Cardinals (ARI)","2","0","0","1","0","0","0","1","2.0","2.0","5.0%"
"28","New York Giants (NYG)","3","0","0","0","0","0","0","1","2.0","2.0","1.0%"
"29","Washington Football Team (WAS)","1","1","0","0","0","0","0","1","2.0","2.0","14.0%"
"30","Denver Broncos (DEN)","0","0","0","0","0","0","0","1","1.0","1.0","69.0%"
"31","Dallas Cowboys (DAL)","1","0","0","0","0","0","0","1","1.0","1.0","46.0%"
"32","Cincinnati Bengals (CIN)","0","1","0","0","0","0","0","1","-2.0","-2.0","7.0%"
""
""
