"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","Philadelphia Eagles (PHI)","10","2","1","2","2","0","0","1","35.0","35.0","65.0%"
"2","San Francisco 49ers (SF)","4","2","2","2","0","0","0","1","19.0","19.0","100.0%"
"3","New England Patriots (NE)","6","1","1","2","0","0","0","1","14.0","14.0","96.0%"
"4","Carolina Panthers (CAR)","2","0","3","2","1","0","0","1","14.0","14.0","2.0%"
"5","Minnesota Vikings (MIN)","4","1","0","0","0","1","0","1","12.0","12.0","86.0%"
"6","Pittsburgh Steelers (PIT)","5","3","0","0","0","0","0","1","11.0","11.0","99.0%"
"7","Indianapolis Colts (IND)","4","0","1","1","0","0","0","1","10.0","10.0","74.0%"
"8","Green Bay Packers (GB)","3","3","0","1","0","0","0","1","9.0","9.0","32.0%"
"9","Houston Texans (HOU)","2","1","0","1","1","0","0","1","9.0","9.0","10.0%"
"10","Buffalo Bills (BUF)","5","0","0","0","0","0","0","1","9.0","9.0","98.0%"
"11","Denver Broncos (DEN)","0","2","0","1","0","0","0","1","8.0","8.0","69.0%"
"12","Los Angeles Chargers (LAC)","3","1","1","1","0","0","1","1","8.0","8.0","66.0%"
"13","Las Vegas Raiders (LV)","4","2","0","0","0","0","0","1","8.0","8.0","3.0%"
"14","Tennessee Titans (TEN)","4","1","0","0","0","0","0","1","7.0","7.0","39.0%"
"15","New Orleans Saints (NO)","6","0","0","1","0","0","0","1","6.0","6.0","94.0%"
"16","Baltimore Ravens (BAL)","1","1","1","2","0","0","0","1","5.0","5.0","99.0%"
"17","Washington Football Team (WAS)","4","1","0","0","0","0","0","1","5.0","5.0","14.0%"
"18","Chicago Bears (CHI)","0","0","2","1","0","0","0","1","4.0","4.0","93.0%"
"19","New York Giants (NYG)","3","0","1","2","0","0","0","1","4.0","4.0","1.0%"
"20","New York Jets (NYJ)","1","0","1","1","0","0","0","1","4.0","4.0","29.0%"
"21","Kansas City Chiefs (KC)","0","1","0","0","0","0","0","1","3.0","3.0","94.0%"
"22","Seattle Seahawks (SEA)","0","1","1","1","0","0","0","1","3.0","3.0","53.0%"
"23","Los Angeles Rams (LAR)","1","0","1","1","0","0","0","1","2.0","2.0","76.0%"
"24","Jacksonville Jaguars (JAC)","3","0","0","1","0","0","0","1","2.0","2.0","4.0%"
"25","Tampa Bay Buccaneers (TB)","0","1","0","0","0","0","0","1","1.0","1.0","56.0%"
"26","Arizona Cardinals (ARI)","1","0","0","0","0","0","0","1","1.0","1.0","5.0%"
"27","Dallas Cowboys (DAL)","2","0","0","0","0","0","0","1","1.0","1.0","46.0%"
"28","Cleveland Browns (CLE)","2","0","0","0","0","0","0","1","1.0","1.0","34.0%"
"29","Cincinnati Bengals (CIN)","1","0","0","0","0","0","0","1","1.0","1.0","7.0%"
"30","Detroit Lions (DET)","0","0","0","0","0","0","0","0","0","0","4.0%"
"31","Miami Dolphins (MIA)","0","0","0","0","0","0","0","0","0","0","3.0%"
"32","Atlanta Falcons (ATL)","0","0","1","3","0","0","0","1","-2.0","-2.0","2.0%"
""
""
