"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Justin Tucker (BAL)","4","4","100.0","48","0","2","0","2","0","2","2","1","16.0","16.0","100.0%"
"2","Dan Bailey (MIN)","4","4","100.0","48","0","0","2","2","0","2","2","1","16.0","16.0","41.0%"
"3","Zane Gonzalez (ARI)","4","5","80.0","31","0","3","1","0","0","2","2","1","14.0","14.0","68.0%"
"4","Adam Vinatieri (FA)","4","4","100.0","32","0","1","3","0","0","1","1","1","13.0","13.0","1.0%"
"5","Ka'imi Fairbairn (HOU)","2","2","100.0","50","0","1","0","0","1","5","7","1","13.0","13.0","32.0%"
"6","Greg Zuerlein (DAL)","3","4","75.0","47","0","0","2","1","0","2","2","1","12.0","12.0","97.0%"
"7","Randy Bullock (CIN)","3","3","100.0","48","0","2","0","1","0","2","2","1","12.0","12.0","2.0%"
"8","Chris Boswell (PIT)","3","3","100.0","41","0","1","1","1","0","2","2","1","12.0","12.0","11.0%"
"9","Mason Crosby (GB)","2","2","100.0","38","0","1","1","0","0","4","4","1","10.0","10.0","15.0%"
"10","Brandon McManus (DEN)","2","3","66.7","46","0","0","0","2","0","2","2","1","10.0","10.0","8.0%"
"11","Mike Nugent (FA)","2","2","100.0","37","0","1","1","0","0","3","4","1","9.0","9.0","1.0%"
"12","Josh Lambo (JAC)","2","2","100.0","38","0","0","2","0","0","3","3","1","9.0","9.0","5.0%"
"13","Robbie Gould (SF)","1","4","25.0","44","0","0","0","1","0","4","4","1","8.0","8.0","90.0%"
"14","Chase McLaughlin (IND)","2","3","66.7","45","0","0","1","1","0","1","1","1","8.0","8.0","1.0%"
"15","Wil Lutz (NO)","1","1","100.0","29","0","1","0","0","0","4","4","1","7.0","7.0","99.0%"
"16","Harrison Butker (KC)","2","2","100.0","36","0","1","1","0","0","1","1","1","7.0","7.0","99.0%"
"17","Jake Elliott (PHI)","1","1","100.0","28","0","1","0","0","0","4","4","1","7.0","7.0","35.0%"
"18","Jason Myers (SEA)","1","2","50.0","42","0","0","0","1","0","3","3","1","7.0","7.0","22.0%"
"19","Matt Gay (TB)","1","1","100.0","42","0","0","0","1","0","3","3","1","7.0","7.0","77.0%"
