"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Christian McCaffrey (CAR)","24","146","6.1","58","1","2","3","3","20","6.7","1","0","1","34.6","34.6","100.0%"
"2","Kenyan Drake (ARI)","15","110","7.3","36","1","1","4","4","52","13.0","0","0","1","24.2","24.2","99.0%"
"3","Josh Jacobs (LV)","28","120","4.3","17","0","2","0","2","0","0","0","0","1","24.0","24.0","100.0%"
"4","Melvin Gordon (DEN)","20","80","4.0","16","0","2","3","4","29","9.7","0","0","1","22.9","22.9","98.0%"
"5","Derrick Henry (TEN)","13","63","4.8","12","0","1","3","3","36","12.0","1","0","1","21.9","21.9","100.0%"
"6","Devin Singletary (BUF)","20","95","4.8","17","0","1","3","4","45","15.0","0","0","1","20.0","20.0","95.0%"
"7","David Montgomery (CHI)","14","40","2.9","17","0","2","3","4","36","12.0","0","0","1","19.6","19.6","94.0%"
"8","Damien Williams (KC)","12","125","10.4","91","1","1","2","2","3","1.5","0","0","1","18.8","18.8","50.0%"
"9","Phillip Lindsay (DEN)","9","92","10.2","40","2","1","0","0","0","0","0","0","1","15.2","15.2","88.0%"
"10","James White (NE)","9","38","4.2","8","0","1","2","3","46","23.0","0","0","1","14.4","14.4","82.0%"
"11","Jordan Howard (MIA)","19","82","4.3","17","0","1","1","1","1","1.0","0","0","1","14.3","14.3","88.0%"
"12","Ronald Jones II (TB)","18","67","3.7","15","0","1","2","2","15","7.5","0","0","1","14.2","14.2","89.0%"
"13","Duke Johnson (HOU)","7","13","1.9","4","0","1","5","5","68","13.6","0","0","1","14.1","14.1","47.0%"
"14","Carlos Hyde (SEA)","19","160","8.4","58","2","0","0","0","0","0","0","1","1","14.0","14.0","18.0%"
"15","Ezekiel Elliott (DAL)","23","139","6.0","19","0","0","0","0","0","0","0","0","1","13.9","13.9","100.0%"
"16","J.D. McKissic (WAS)","4","32","8.0","13","0","0","3","4","40","13.3","1","0","1","13.2","13.2","0.0%"
"17","Adrian Peterson (WAS)","18","108","6.0","28","1","0","1","1","22","22.0","0","0","1","13.0","13.0","47.0%"
"18","Mark Ingram II (BAL)","15","115","7.7","53","1","0","2","3","29","14.5","0","1","1","12.4","12.4","97.0%"
"19","Le'Veon Bell (NYJ)","17","66","3.9","14","0","0","8","9","55","6.9","0","0","1","12.1","12.1","96.0%"
"20","Dalvin Cook (MIN)","21","71","3.4","12","0","0","4","7","45","11.3","0","0","1","11.6","11.6","100.0%"
"21","Chris Carson (SEA)","16","105","6.6","59","1","0","2","3","28","14.0","0","1","1","11.3","11.3","98.0%"
"22","Jamaal Williams (GB)","2","10","5.0","5","0","0","6","6","39","6.5","1","0","1","10.9","10.9","13.0%"
