"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Greg Olsen (SEA)","6","7","75","12.5","20","1","2","0","0","0","0","1","19.5","19.5","42.0%"
"2","Jordan Akins (HOU)","3","5","73","24.3","53","1","2","0","0","0","0","1","19.3","19.3","1.0%"
"3","Austin Hooper (CLE)","6","7","66","11.0","20","1","2","0","0","0","0","1","18.6","18.6","92.0%"
"4","Evan Engram (NYG)","6","8","113","18.8","75","1","1","0","0","0","0","1","17.3","17.3","94.0%"
"5","Darren Waller (LV)","13","14","134","10.3","30","1","0","1","7","0","0","1","14.1","14.1","99.0%"
"6","Dawson Knox (BUF)","3","4","67","22.3","49","1","1","1","9","0","0","1","13.6","13.6","12.0%"
"7","Will Dissly (SEA)","6","7","62","10.3","25","1","1","0","0","0","0","1","12.2","12.2","8.0%"
"8","Darren Fells (HOU)","5","6","49","9.8","16","0","1","0","0","0","0","1","10.9","10.9","3.0%"
"9","Travis Kelce (KC)","7","8","89","12.7","21","2","0","0","0","0","0","1","8.9","8.9","100.0%"
"10","James O'Shaughnessy (JAC)","2","3","18","9.0","11","0","1","0","0","0","0","1","7.8","7.8","0.0%"
"11","O.J. Howard (TB)","3","4","66","22.0","30","1","0","0","0","0","0","1","6.6","6.6","34.0%"
"12","Delanie Walker (FA)","7","9","64","9.1","29","1","0","0","0","0","0","1","6.4","6.4","2.0%"
"13","Zach Ertz (PHI)","4","7","64","16.0","23","2","0","0","0","0","0","1","6.4","6.4","99.0%"
"14","Demetrius Harris (CHI)","1","2","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.0%"
"15","Irv Smith Jr. (MIN)","3","3","60","20.0","26","2","0","0","0","0","0","1","6.0","6.0","34.0%"
"16","Nick Boyle (BAL)","4","5","58","14.5","23","1","0","0","0","0","0","1","5.8","5.8","0.0%"
"17","George Kittle (SF)","6","8","57","9.5","12","0","0","0","0","0","0","1","5.7","5.7","100.0%"
"18","Jason Witten (LV)","3","4","54","18.0","33","1","0","0","0","0","0","1","5.4","5.4","4.0%"
"19","Eric Ebron (PIT)","3","4","47","15.7","30","1","0","0","0","0","0","1","4.7","4.7","52.0%"
"20","Jack Doyle (IND)","4","4","46","11.5","14","0","0","0","0","0","0","1","4.6","4.6","50.0%"
"21","Ryan Izzo (NE)","1","1","41","41.0","41","1","0","0","0","0","0","1","4.1","4.1","0.0%"
"22","Vernon Davis (FA)","2","4","30","15.0","15","0","0","0","0","0","0","1","3.0","3.0","1.0%"
