"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","Minnesota Vikings (MIN)","3","3","4","5","1","0","0","1","27.0","27.0","86.0%"
"2","New England Patriots (NE)","0","4","1","0","1","0","0","1","20.0","20.0","96.0%"
"3","Buffalo Bills (BUF)","4","4","1","3","0","0","0","1","18.0","18.0","98.0%"
"4","Tampa Bay Buccaneers (TB)","2","2","1","1","1","0","0","1","15.0","15.0","56.0%"
"5","Green Bay Packers (GB)","3","2","1","1","0","0","0","1","13.0","13.0","32.0%"
"6","Atlanta Falcons (ATL)","1","0","2","2","1","0","0","1","11.0","11.0","2.0%"
"7","Kansas City Chiefs (KC)","2","1","0","0","0","0","0","1","11.0","11.0","94.0%"
"8","Philadelphia Eagles (PHI)","1","0","1","1","1","0","0","1","9.0","9.0","65.0%"
"9","Baltimore Ravens (BAL)","1","1","1","1","0","0","0","1","9.0","9.0","99.0%"
"10","New York Jets (NYJ)","1","0","0","0","0","0","1","1","9.0","9.0","29.0%"
"11","New York Giants (NYG)","3","0","1","1","0","1","0","1","8.0","8.0","1.0%"
"12","Seattle Seahawks (SEA)","1","3","0","1","0","0","0","1","7.0","7.0","53.0%"
"13","Pittsburgh Steelers (PIT)","1","1","1","2","0","0","0","1","6.0","6.0","99.0%"
"14","Jacksonville Jaguars (JAC)","4","0","0","0","0","0","0","1","5.0","5.0","4.0%"
"15","Denver Broncos (DEN)","3","1","0","0","0","0","0","1","5.0","5.0","69.0%"
"16","Tennessee Titans (TEN)","1","2","0","1","0","0","0","1","5.0","5.0","39.0%"
"17","New Orleans Saints (NO)","1","0","0","0","0","0","0","1","5.0","5.0","94.0%"
"18","Arizona Cardinals (ARI)","1","1","1","1","0","0","0","1","5.0","5.0","5.0%"
"19","Houston Texans (HOU)","2","1","0","0","0","0","0","1","4.0","4.0","10.0%"
"20","Dallas Cowboys (DAL)","2","1","0","0","0","0","0","1","4.0","4.0","46.0%"
"21","San Francisco 49ers (SF)","2","0","1","0","0","0","0","1","4.0","4.0","100.0%"
"22","Miami Dolphins (MIA)","1","3","0","0","0","0","0","1","3.0","3.0","3.0%"
"23","Las Vegas Raiders (LV)","2","0","0","0","0","0","0","1","3.0","3.0","3.0%"
"24","Detroit Lions (DET)","2","1","0","0","0","0","0","1","3.0","3.0","4.0%"
"25","Carolina Panthers (CAR)","2","1","0","0","0","0","0","1","3.0","3.0","2.0%"
"26","Washington Football Team (WAS)","2","0","1","3","0","0","0","1","3.0","3.0","14.0%"
"27","Los Angeles Chargers (LAC)","0","1","0","0","0","0","0","1","1.0","1.0","66.0%"
"28","Cincinnati Bengals (CIN)","2","0","0","1","0","0","0","1","1.0","1.0","7.0%"
"29","Chicago Bears (CHI)","1","0","0","0","0","0","0","1","1.0","1.0","93.0%"
"30","Indianapolis Colts (IND)","0","0","0","0","0","0","0","1","-1.0","-1.0","74.0%"
"31","Cleveland Browns (CLE)","0","1","0","0","0","0","0","1","-2.0","-2.0","34.0%"
"32","Los Angeles Rams (LAR)","0","0","0","0","0","0","0","1","-4.0","-4.0","76.0%"
""
""
