"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Nick Chubb (CLE)","20","165","8.3","88","1","3","3","4","18","6.0","0","0","1","36.3","36.3","100.0%"
"2","Jordan Howard (MIA)","15","87","5.8","19","0","2","3","4","28","9.3","1","0","1","29.5","29.5","88.0%"
"3","Leonard Fournette (JAC)","29","225","7.8","81","2","0","2","3","20","10.0","0","0","1","24.5","24.5","96.0%"
"4","Austin Ekeler (LAC)","18","60","3.3","9","0","1","5","5","62","12.4","1","0","1","24.2","24.2","99.0%"
"5","Christian McCaffrey (CAR)","27","93","3.4","13","0","1","10","10","86","8.6","0","0","1","23.9","23.9","100.0%"
"6","Wayne Gallman (NYG)","18","63","3.5","22","1","1","6","7","55","9.2","1","1","1","21.8","21.8","1.0%"
"7","Todd Gurley (ATL)","5","16","3.2","13","0","2","7","11","54","7.7","0","0","1","19.0","19.0","99.0%"
"8","James Conner (PIT)","10","42","4.2","21","1","0","8","8","83","10.4","1","0","1","18.5","18.5","97.0%"
"9","Darrel Williams (KC)","8","13","1.6","8","0","2","3","4","43","14.3","0","1","1","15.6","15.6","2.0%"
"10","Jaylen Samuels (PIT)","10","26","2.6","13","0","1","8","8","57","7.1","0","0","1","15.5","15.5","4.0%"
"11","LeSean McCoy (TB)","11","56","5.1","39","1","1","2","4","33","16.5","0","0","1","14.9","14.9","11.0%"
"12","Chris Carson (SEA)","22","104","4.7","12","0","0","4","4","41","10.3","0","0","1","14.5","14.5","98.0%"
"13","Ronald Jones II (TB)","19","70","3.7","24","1","1","1","1","12","12.0","0","0","1","14.2","14.2","89.0%"
"14","David Johnson (HOU)","11","40","3.6","14","0","0","8","11","99","12.4","0","0","1","13.9","13.9","94.0%"
"15","Kerryon Johnson (DET)","26","125","4.8","14","0","0","2","3","32","16.0","0","1","1","13.7","13.7","81.0%"
"16","Dalvin Cook (MIN)","14","35","2.5","9","0","1","6","8","35","5.8","0","0","1","13.0","13.0","100.0%"
"17","Aaron Jones (GB)","13","21","1.6","7","0","1","6","7","37","6.2","0","0","1","11.8","11.8","100.0%"
"18","Dontrell Hilliard (CLE)","6","27","4.5","11","0","1","2","3","27","13.5","0","0","1","11.4","11.4","0.0%"
"19","Frank Gore (NYJ)","17","109","6.4","41","2","0","0","1","0","0","0","0","1","10.9","10.9","2.0%"
"20","Ryquell Armstead (JAC)","8","42","5.3","16","0","0","1","1","7","7.0","1","0","1","10.9","10.9","6.0%"
"21","Josh Jacobs (LV)","17","79","4.6","16","0","0","2","2","29","14.5","0","0","1","10.8","10.8","100.0%"
