"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Stephen Hauschka (BUF)","3","3","100.0","51","0","1","1","0","1","4","4","1","15.0","15.0","4.0%"
"2","Brandon McManus (DEN)","3","4","75.0","47","0","1","0","2","0","2","2","1","13.0","13.0","8.0%"
"3","Justin Tucker (BAL)","2","3","66.7","46","0","0","1","1","0","5","5","1","12.0","12.0","100.0%"
"4","Wil Lutz (NO)","2","2","100.0","44","0","1","0","1","0","4","4","1","11.0","11.0","99.0%"
"5","Younghoe Koo (ATL)","3","4","75.0","38","0","2","1","0","0","2","2","1","11.0","11.0","40.0%"
"6","Michael Badgley (LAC)","3","4","75.0","49","0","2","0","1","0","0","0","1","10.0","10.0","29.0%"
"7","Nick Folk (FA)","3","3","100.0","39","0","1","2","0","0","0","0","1","9.0","9.0","0.0%"
"8","Brett Maher (NYJ)","2","2","100.0","34","0","0","2","0","0","3","3","1","9.0","9.0","2.0%"
"9","Zane Gonzalez (ARI)","2","2","100.0","43","0","1","0","1","0","2","3","1","9.0","9.0","68.0%"
"10","Harrison Butker (KC)","1","1","100.0","41","0","0","0","1","0","3","3","1","7.0","7.0","99.0%"
"11","Matt Gay (TB)","1","1","100.0","55","0","0","0","0","1","2","2","1","7.0","7.0","77.0%"
"12","Chase McLaughlin (IND)","1","1","100.0","43","0","0","0","1","0","3","3","1","7.0","7.0","1.0%"
"13","Adam Vinatieri (FA)","1","1","100.0","34","0","0","1","0","0","4","4","1","7.0","7.0","1.0%"
"14","Randy Bullock (CIN)","1","2","50.0","40","0","0","0","1","0","1","1","1","5.0","5.0","2.0%"
"15","Daniel Carlson (LV)","1","1","100.0","20","0","1","0","0","0","2","2","1","5.0","5.0","2.0%"
"16","Greg Zuerlein (DAL)","1","1","100.0","38","0","0","1","0","0","2","2","1","5.0","5.0","97.0%"
"17","Jake Elliott (PHI)","1","1","100.0","42","0","0","0","1","0","1","1","1","5.0","5.0","35.0%"
"18","Dustin Hopkins (WAS)","1","2","50.0","44","0","0","0","1","0","0","0","1","4.0","4.0","1.0%"
"19","Sam Ficken (NYJ)","0","1","0.0","0","0","0","0","0","0","4","5","1","4.0","4.0","0.0%"
"20","Matt Prater (DET)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","79.0%"
"21","Joey Slye (CAR)","1","1","100.0","31","0","0","1","0","0","0","0","1","3.0","3.0","18.0%"
"22","Austin Seibert (CLE)","0","2","0.0","0","0","0","0","0","0","3","3","1","3.0","3.0","4.0%"
"23","Dan Bailey (MIN)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","41.0%"
"24","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","1.0%"
"25","Chris Boswell (PIT)","0","1","0.0","0","0","0","0","0","0","1","1","1","1.0","1.0","11.0%"
"26","Ka'imi Fairbairn (HOU)","0","1","0.0","0","0","0","0","0","0","1","1","1","1.0","1.0","32.0%"
"27","Eddy Pineiro (CHI)","0","2","0.0","0","0","0","0","0","0","1","1","1","1.0","1.0","1.0%"
"28","Josh Lambo (JAC)","0","1","0.0","0","0","0","0","0","0","1","1","1","1.0","1.0","5.0%"
"29","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"30","Chandler Catanzaro (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"31","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"32","Jason Myers (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.0%"
"33","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"34","Greg Joseph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"35","Kaare Vedvik (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"36","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Lirim Hajrullahu (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"38","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Ramiz Ahmed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
