"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","New Orleans Saints (NO)","2","2","1","0","1","0","0","1","18.0","18.0","94.0%"
"2","Baltimore Ravens (BAL)","2","0","2","2","1","1","0","1","18.0","18.0","99.0%"
"3","Atlanta Falcons (ATL)","1","2","1","2","1","0","0","1","14.0","14.0","2.0%"
"4","Jacksonville Jaguars (JAC)","3","0","2","2","1","0","0","1","14.0","14.0","4.0%"
"5","New York Jets (NYJ)","1","2","1","1","0","0","0","1","14.0","14.0","29.0%"
"6","Tampa Bay Buccaneers (TB)","6","0","1","1","1","0","0","1","14.0","14.0","56.0%"
"7","Cincinnati Bengals (CIN)","6","3","0","1","0","0","0","1","12.0","12.0","7.0%"
"8","Miami Dolphins (MIA)","1","1","1","1","1","0","0","1","11.0","11.0","3.0%"
"9","Los Angeles Rams (LAR)","1","2","3","1","0","0","0","1","11.0","11.0","76.0%"
"10","Philadelphia Eagles (PHI)","4","1","1","2","0","0","0","1","9.0","9.0","65.0%"
"11","Chicago Bears (CHI)","0","2","1","0","0","1","0","1","9.0","9.0","93.0%"
"12","Buffalo Bills (BUF)","2","1","0","0","0","0","0","1","8.0","8.0","98.0%"
"13","Dallas Cowboys (DAL)","2","1","1","1","0","0","0","1","7.0","7.0","46.0%"
"14","Pittsburgh Steelers (PIT)","3","1","1","1","0","0","0","1","7.0","7.0","99.0%"
"15","Tennessee Titans (TEN)","4","1","0","0","0","0","0","1","7.0","7.0","39.0%"
"16","Kansas City Chiefs (KC)","3","2","0","0","0","0","1","1","7.0","7.0","94.0%"
"17","Minnesota Vikings (MIN)","4","0","1","2","0","0","0","1","6.0","6.0","86.0%"
"18","Las Vegas Raiders (LV)","2","0","1","2","0","0","0","1","5.0","5.0","3.0%"
"19","Denver Broncos (DEN)","2","0","1","1","0","0","0","1","5.0","5.0","69.0%"
"20","Indianapolis Colts (IND)","3","1","0","1","0","0","0","1","4.0","4.0","74.0%"
"21","Green Bay Packers (GB)","1","1","0","0","0","0","0","1","4.0","4.0","32.0%"
"22","Detroit Lions (DET)","1","1","0","1","0","0","0","1","3.0","3.0","4.0%"
"23","New England Patriots (NE)","2","0","0","0","0","0","0","1","2.0","2.0","96.0%"
"24","Seattle Seahawks (SEA)","2","0","0","1","0","0","0","1","2.0","2.0","53.0%"
"25","Cleveland Browns (CLE)","1","1","0","0","0","0","0","1","2.0","2.0","34.0%"
"26","San Francisco 49ers (SF)","1","0","0","1","0","0","0","1","1.0","1.0","100.0%"
"27","Washington Football Team (WAS)","3","0","1","1","0","0","0","1","1.0","1.0","14.0%"
"28","Los Angeles Chargers (LAC)","0","1","0","0","0","0","0","1","1.0","1.0","66.0%"
"29","New York Giants (NYG)","1","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"30","Arizona Cardinals (ARI)","1","0","0","0","0","0","0","1","0.0","0.0","5.0%"
"31","Carolina Panthers (CAR)","1","0","0","0","0","0","0","1","-3.0","-3.0","2.0%"
"32","Houston Texans (HOU)","0","0","0","0","0","0","0","1","-4.0","-4.0","10.0%"
""
""
