"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Tyler Higbee (LAR)","7","8","107","15.3","26","4","1","0","0","0","0","1","16.7","16.7","95.0%"
"2","Mike Gesicki (MIA)","5","7","79","15.8","21","2","1","0","0","0","0","1","13.9","13.9","81.0%"
"3","Jack Doyle (IND)","6","11","73","12.2","21","1","1","0","0","0","0","1","13.3","13.3","50.0%"
"4","Jason Witten (LV)","6","8","42","7.0","9","0","1","0","0","0","0","1","12.2","12.2","4.0%"
"5","Kyle Rudolph (MIN)","4","6","50","12.5","19","0","1","0","0","0","0","1","11.0","11.0","18.0%"
"6","Mark Andrews (BAL)","3","6","50","16.7","20","1","1","0","0","0","0","1","11.0","11.0","100.0%"
"7","Jaeden Graham (ATL)","4","4","41","10.3","23","1","1","0","0","0","0","1","10.1","10.1","0.0%"
"8","Darren Waller (LV)","7","9","100","14.3","24","1","0","0","0","0","0","1","10.0","10.0","99.0%"
"9","Travis Kelce (KC)","5","9","90","18.0","47","1","0","0","0","0","0","1","9.0","9.0","100.0%"
"10","Jared Cook (NO)","3","6","85","28.3","40","2","0","0","0","0","0","1","8.5","8.5","97.0%"
"11","Darren Fells (HOU)","2","3","23","11.5","13","0","1","0","0","0","0","1","8.3","8.3","3.0%"
"12","Jesper Horsted (CHI)","1","1","18","18.0","18","0","1","0","0","0","0","1","7.8","7.8","0.0%"
"13","Derek Carrier (LV)","2","2","10","5.0","6","0","1","0","0","0","0","1","7.0","7.0","0.0%"
"14","Kaden Smith (NYG)","6","8","70","11.7","32","1","0","0","0","0","0","1","7.0","7.0","1.0%"
"15","Dallas Goedert (PHI)","6","7","66","11.0","24","1","0","0","0","0","0","1","6.6","6.6","76.0%"
"16","Marcedes Lewis (GB)","1","2","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","0.0%"
"17","O.J. Howard (TB)","5","6","61","12.2","25","2","0","0","0","0","0","1","6.1","6.1","34.0%"
"18","C.J. Uzomah (CIN)","5","6","51","10.2","16","0","0","0","0","0","0","1","5.1","5.1","1.0%"
"19","Jacob Hollister (SEA)","6","8","44","7.3","16","0","0","0","0","0","0","1","4.4","4.4","2.0%"
"20","Jeremy Sprinkle (WAS)","2","4","36","18.0","23","1","0","0","0","0","0","1","3.6","3.6","0.0%"
"21","Ryan Griffin (NYJ)","5","7","30","6.0","9","0","0","0","0","0","0","1","3.0","3.0","1.0%"
"22","Charles Clay (FA)","2","2","29","14.5","23","1","0","0","0","0","0","1","2.9","2.9","0.0%"
"23","Stephen Carlson (CLE)","2","2","28","14.0","21","1","0","0","0","0","0","1","2.8","2.8","0.0%"
"24","Matt LaCosse (NE)","1","2","24","24.0","24","1","0","0","0","0","0","1","2.4","2.4","0.0%"
"25","Zach Ertz (PHI)","3","6","24","8.0","12","0","0","0","0","0","0","1","2.4","2.4","99.0%"
"26","Ian Thomas (CAR)","4","4","24","6.0","13","0","0","0","0","0","0","1","2.4","2.4","31.0%"
"27","Demetrius Harris (CHI)","1","4","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","0.0%"
"28","Benjamin Watson (FA)","1","1","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","2.0%"
"29","Anthony Firkser (TEN)","3","4","22","7.3","13","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"30","Greg Olsen (SEA)","3","3","22","7.3","8","0","0","0","0","0","0","1","2.2","2.2","42.0%"
"31","Hayden Hurst (ATL)","3","4","21","7.0","10","0","0","0","0","0","0","1","2.1","2.1","89.0%"
"32","Vance McDonald (PIT)","3","3","21","7.0","12","0","0","0","0","0","0","1","2.1","2.1","3.0%"
"33","Jordan Akins (HOU)","1","1","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","1.0%"
"34","T.J. Hockenson (DET)","6","11","18","3.0","9","0","0","0","0","0","0","1","1.8","1.8","80.0%"
"35","Dawson Knox (BUF)","3","4","17","5.7","9","0","0","0","0","0","0","1","1.7","1.7","12.0%"
"36","Jimmy Graham (CHI)","1","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","6.0%"
"37","Jeff Heuerman (FA)","3","5","15","5.0","7","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"38","Foster Moreau (LV)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"39","George Kittle (SF)","2","4","17","8.5","13","0","0","1","-3","0","0","1","1.4","1.4","100.0%"
"40","Durham Smythe (MIA)","2","3","13","6.5","7","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"41","Tyler Eifert (JAC)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","6.0%"
"42","Andrew Beck (DEN)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"43","Ross Travis (NYJ)","2","3","31","15.5","25","1","0","0","0","0","1","1","1.1","1.1","0.0%"
"44","Hunter Henry (LAC)","2","3","10","5.0","5","0","0","0","0","0","0","1","1.0","1.0","98.0%"
"45","Daniel Brown (NYJ)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"46","Blake Jarwin (DAL)","2","3","9","4.5","10","0","0","0","0","0","0","1","0.9","0.9","51.0%"
"47","Tyler Conklin (MIN)","2","2","8","4.0","5","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"48","Nick Vannett (DEN)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"49","Irv Smith Jr. (MIN)","1","3","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","34.0%"
"50","Nick O'Leary (FA)","1","4","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"51","Cameron Brate (TB)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","2.0%"
"52","Noah Fant (DEN)","1","3","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","83.0%"
"53","Nick Boyle (BAL)","1","2","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"54","Josh Hill (NO)","1","2","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"55","Nick Keizer (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","J.P. Holtz (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"57","Will Dissly (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0%"
"58","Garrett Dickerson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Jordan Franks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Kevin Radar (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Tanner Hudson (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Deon Yelder (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Ross Dwelley (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"64","Codey McElroy (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Albert Okwuegbunam (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"66","Cole Wick (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Donald Parham (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Nate Becker (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Matt Sokol (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Austin Fort (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Tommy Sweeney (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Isaac Nauta (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","Daniel Helm (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
