"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Wil Lutz (NO)","4","4","100.0","47","0","1","0","3","0","2","2","1","17.0","17.0","99.0%"
"2","Brandon McManus (DEN)","3","3","100.0","53","0","0","1","0","2","2","2","1","15.0","15.0","8.0%"
"3","Jason Sanders (MIA)","1","1","100.0","51","0","0","0","0","1","2","3","1","13.1","13.1","1.0%"
"4","Jake Elliott (PHI)","3","4","75.0","48","0","0","1","2","0","2","2","1","13.0","13.0","35.0%"
"5","Jason Myers (SEA)","3","3","100.0","36","0","2","1","0","0","4","4","1","13.0","13.0","22.0%"
"6","Dustin Hopkins (WAS)","3","4","75.0","42","0","1","1","1","0","2","2","1","12.0","12.0","1.0%"
"7","Harrison Butker (KC)","1","1","100.0","50","0","0","0","0","1","5","5","1","10.0","10.0","99.0%"
"8","Greg Zuerlein (DAL)","2","3","66.7","33","0","1","1","0","0","4","4","1","10.0","10.0","97.0%"
"9","Stephen Hauschka (BUF)","2","3","66.7","41","0","1","0","1","0","2","3","1","9.0","9.0","4.0%"
"10","Justin Tucker (BAL)","2","2","100.0","49","0","0","1","1","0","2","2","1","9.0","9.0","100.0%"
"11","Randy Bullock (CIN)","2","3","66.7","47","0","1","0","1","0","2","2","1","9.0","9.0","2.0%"
"12","Michael Badgley (LAC)","2","3","66.7","46","0","0","1","1","0","2","2","1","9.0","9.0","29.0%"
"13","Matt Gay (TB)","2","2","100.0","37","0","1","1","0","0","2","2","1","8.0","8.0","77.0%"
"14","Chris Boswell (PIT)","2","2","100.0","39","0","1","1","0","0","2","2","1","8.0","8.0","11.0%"
"15","Younghoe Koo (ATL)","2","3","66.7","45","0","0","0","2","0","0","1","1","8.0","8.0","40.0%"
"16","Mason Crosby (GB)","1","1","100.0","47","0","0","0","1","0","4","4","1","8.0","8.0","15.0%"
"17","Aldrick Rosas (FA)","2","2","100.0","45","0","1","0","1","0","1","1","1","8.0","8.0","1.0%"
"18","Matt Prater (DET)","2","2","100.0","25","0","2","0","0","0","2","2","1","8.0","8.0","79.0%"
"19","Sam Ficken (NYJ)","2","2","100.0","42","0","0","1","1","0","0","0","1","7.0","7.0","0.0%"
"20","Dan Bailey (MIN)","1","1","100.0","47","0","0","0","1","0","3","4","1","7.0","7.0","41.0%"
"21","Austin Seibert (CLE)","2","2","100.0","34","0","0","2","0","0","1","1","1","7.0","7.0","4.0%"
"22","Ryan Succop (FA)","1","1","100.0","31","0","0","1","0","0","4","4","1","7.0","7.0","0.0%"
