"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Chase Edmonds (ARI)","27","126","4.7","22","3","3","2","4","24","12.0","0","0","1","33.0","33.0","35.0%"
"2","Latavius Murray (NO)","27","119","4.4","17","0","2","5","6","31","6.2","0","0","1","27.0","27.0","70.0%"
"3","Dalvin Cook (MIN)","25","142","5.7","23","1","2","1","2","7","7.0","0","0","1","26.9","26.9","100.0%"
"4","Sony Michel (NE)","19","42","2.2","11","0","3","1","2","-8","-8.0","0","0","1","21.4","21.4","87.0%"
"5","Ezekiel Elliott (DAL)","22","111","5.0","16","0","1","6","7","36","6.0","0","0","1","20.7","20.7","100.0%"
"6","Austin Ekeler (LAC)","5","7","1.4","3","0","0","7","8","118","16.9","1","0","1","18.5","18.5","99.0%"
"7","Derrick Henry (TEN)","22","90","4.1","12","0","1","1","1","18","18.0","0","0","1","16.8","16.8","100.0%"
"8","Leonard Fournette (JAC)","29","131","4.5","20","1","0","2","2","14","7.0","0","0","1","14.5","14.5","96.0%"
"9","Aaron Jones (GB)","12","50","4.2","15","0","0","4","4","33","8.3","1","0","1","14.3","14.3","100.0%"
"10","Saquon Barkley (NYG)","18","72","4.0","20","1","1","3","5","8","2.7","0","0","1","14.0","14.0","100.0%"
"11","Josh Jacobs (LV)","21","124","5.9","42","2","0","3","3","10","3.3","0","0","1","13.4","13.4","100.0%"
"12","Royce Freeman (DEN)","10","35","3.5","14","0","1","4","5","32","8.0","0","0","1","12.7","12.7","9.0%"
"13","Todd Gurley (ATL)","18","41","2.3","10","0","0","1","1","13","13.0","1","0","1","11.4","11.4","99.0%"
"14","Jamaal Williams (GB)","3","5","1.7","3","0","0","4","5","26","6.5","1","0","1","9.1","9.1","13.0%"
"15","Le'Veon Bell (NYJ)","15","70","4.7","19","0","0","1","4","6","6.0","0","0","1","7.6","7.6","96.0%"
"16","LeSean McCoy (TB)","12","64","5.3","22","1","0","2","2","12","6.0","0","0","1","7.6","7.6","11.0%"
"17","Chris Carson (SEA)","21","65","3.1","9","0","0","3","5","9","3.0","0","0","1","7.4","7.4","98.0%"
"18","CJ Ham (MIN)","1","9","9.0","9","0","0","1","1","5","5.0","1","0","1","7.4","7.4","0.0%"
"19","Melvin Gordon (DEN)","16","32","2.0","6","0","0","2","3","-3","-1.5","1","1","1","6.9","6.9","98.0%"
"20","Kalen Ballage (MIA)","3","7","2.3","3","0","1","0","0","0","0","0","0","1","6.7","6.7","1.0%"
"21","Frank Gore (NYJ)","11","55","5.0","15","0","0","1","1","11","11.0","0","0","1","6.6","6.6","2.0%"
"22","Joe Mixon (CIN)","10","2","0.2","4","0","0","1","2","2","2.0","1","0","1","6.4","6.4","100.0%"
"23","Tevin Coleman (SF)","20","62","3.1","9","0","0","2","2","-1","-0.5","0","0","1","6.1","6.1","67.0%"
"24","Adrian Peterson (WAS)","20","81","4.1","15","0","0","0","0","0","0","0","1","1","6.1","6.1","47.0%"
"25","J.D. McKissic (WAS)","5","29","5.8","14","0","0","2","3","31","15.5","0","0","1","6.0","6.0","0.0%"
"26","James White (NE)","5","0","0.0","3","0","0","7","8","59","8.4","0","0","1","5.9","5.9","82.0%"
"27","Mark Walton (FA)","14","66","4.7","19","0","0","1","1","-8","-8.0","0","0","1","5.8","5.8","2.0%"
"28","Kenyan Drake (ARI)","6","21","3.5","11","0","0","3","4","37","12.3","0","0","1","5.8","5.8","99.0%"
"29","Ty Johnson (DET)","10","29","2.9","6","0","0","4","4","28","7.0","0","0","1","5.7","5.7","0.0%"
"30","Jordan Howard (MIA)","11","50","4.5","16","0","0","2","2","6","3.0","0","0","1","5.6","5.6","88.0%"
"31","Duke Johnson (HOU)","7","34","4.9","11","0","0","2","5","22","11.0","0","0","1","5.6","5.6","47.0%"
"32","Marlon Mack (IND)","18","44","2.4","7","0","0","3","3","12","4.0","0","0","1","5.6","5.6","87.0%"
"33","Mark Ingram II (BAL)","12","46","3.8","8","0","0","1","1","7","7.0","0","0","1","5.3","5.3","97.0%"
"34","Dan Vitale (NE)","0","0","0","0","0","0","2","2","43","21.5","0","0","1","4.3","4.3","0.0%"
"35","Wendell Smallwood (PIT)","5","23","4.6","17","0","0","1","1","18","18.0","0","0","1","4.1","4.1","0.0%"
"36","DeAndre Washington (KC)","6","29","4.8","8","0","0","1","1","12","12.0","0","0","1","4.1","4.1","7.0%"
"37","Brandon Bolden (NE)","1","2","2.0","2","0","0","4","4","39","9.8","0","0","1","4.1","4.1","0.0%"
"38","Darrell Henderson (LAR)","11","31","2.8","9","0","0","1","1","8","8.0","0","0","1","3.9","3.9","72.0%"
"39","Boston Scott (PHI)","7","32","4.6","14","0","0","1","1","5","5.0","0","0","1","3.7","3.7","44.0%"
"40","Matt Breida (MIA)","8","35","4.4","11","0","0","1","1","1","1.0","0","0","1","3.6","3.6","87.0%"
"41","Gus Edwards (BAL)","8","35","4.4","14","0","0","0","0","0","0","0","0","1","3.5","3.5","5.0%"
"42","Carlos Hyde (SEA)","12","35","2.9","10","0","0","0","1","0","0","0","0","1","3.5","3.5","18.0%"
"43","Miles Sanders (PHI)","6","21","3.5","7","0","0","3","3","11","3.7","0","0","1","3.2","3.2","99.0%"
"44","Phillip Lindsay (DEN)","11","36","3.3","9","0","0","1","1","-4","-4.0","0","0","1","3.2","3.2","88.0%"
"45","Patrick DiMarco (BUF)","1","4","4.0","4","0","0","1","1","27","27.0","0","0","1","3.1","3.1","0.0%"
"46","Tarik Cohen (CHI)","3","10","3.3","9","0","0","9","12","19","2.1","0","0","1","2.9","2.9","76.0%"
"47","Tony Pollard (DAL)","8","28","3.5","11","0","0","0","0","0","0","0","0","1","2.8","2.8","51.0%"
"48","Devin Singletary (BUF)","7","26","3.7","9","0","0","0","0","0","0","0","0","1","2.6","2.6","95.0%"
"49","Devonta Freeman (FA)","7","19","2.7","9","0","0","2","3","6","3.0","0","0","1","2.5","2.5","39.0%"
"50","Brian Hill (ATL)","5","11","2.2","5","0","0","2","2","14","7.0","0","0","1","2.5","2.5","1.0%"
"51","Kerryon Johnson (DET)","5","23","4.6","6","0","0","0","1","0","0","0","0","1","2.3","2.3","81.0%"
"52","Andy Janovich (CLE)","0","0","0","0","0","0","1","1","22","22.0","0","0","1","2.2","2.2","0.0%"
"53","Jeff Wilson (SF)","5","20","4.0","6","0","0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"54","Alexander Mattison (MIN)","7","18","2.6","9","0","0","0","0","0","0","0","0","1","1.8","1.8","65.0%"
"55","C.J. Prosise (FA)","1","17","17.0","17","0","0","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"56","Nyheim Hines (IND)","1","3","3.0","3","0","0","1","2","13","13.0","0","0","1","1.6","1.6","23.0%"
"57","Jordan Wilkins (IND)","2","9","4.5","9","0","0","1","1","6","6.0","0","0","1","1.5","1.5","1.0%"
"58","Zach Line (FA)","1","3","3.0","3","0","0","1","3","12","12.0","0","0","1","1.5","1.5","0.0%"
"59","Damien Harris (NE)","4","12","3.0","13","0","0","0","0","0","0","0","0","1","1.2","1.2","21.0%"
"60","John Kelly (LAR)","3","9","3.0","6","0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"61","Ty Montgomery (NO)","2","9","4.5","6","0","0","0","1","0","0","0","0","1","0.9","0.9","0.0%"
"62","Jalen Richard (LV)","2","2","1.0","4","0","0","1","1","5","5.0","0","0","1","0.7","0.7","2.0%"
"63","Ito Smith (ATL)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","3.0%"
"64","Zach Zenner (FA)","1","1","1.0","1","0","0","1","2","6","6.0","0","0","1","0.7","0.7","0.0%"
"65","Anthony Sherman (KC)","2","7","3.5","5","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"66","Darrel Williams (KC)","2","1","0.5","1","0","0","2","2","5","2.5","0","0","1","0.6","0.6","2.0%"
"67","Dwayne Washington (NO)","0","0","0","0","0","0","1","1","6","6.0","0","0","1","0.6","0.6","0.0%"
"68","Damien Williams (KC)","9","7","0.8","4","0","0","2","3","-1","-0.5","0","0","1","0.6","0.6","50.0%"
"69","Giovani Bernard (CIN)","4","0","0.0","2","0","0","2","3","4","2.0","0","0","1","0.4","0.4","6.0%"
"70","Bilal Powell (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"71","Ryquell Armstead (JAC)","3","3","1.0","6","0","0","0","1","0","0","0","0","1","0.3","0.3","6.0%"
"72","David Johnson (HOU)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","94.0%"
"73","Dion Lewis (NYG)","1","2","2.0","2","0","0","0","1","0","0","0","0","1","0.2","0.2","2.0%"
"74","Dexter Williams (GB)","3","2","0.7","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"75","Justice Hill (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","5.0%"
"76","Devine Ozigbo (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Christian Wade (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Bryce Love (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"79","Kerrith Whyte Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Benny Snell Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.0%"
"81","Wes Hills (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Jakob Johnson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Qadree Ollison (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Jordan Scarlett (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"86","Rodney Anderson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"87","Travis Homer (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"88","Karan Higdon (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Damarea Crockett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Jacques Patrick (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Darwin Thompson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"92","Patrick Laird (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"93","Alec Ingold (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"94","Elijah Holyfield (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Isaac Nauta (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Darrynton Evans (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.0%"
"97","Connor Slomka (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Joshua Kelley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"99","J.J. Taylor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Javon Leake (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Michael Warren II (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.0%"
"103","Eno Benjamin (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"104","A.J. Dillon (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.0%"
"105","Ke'Shawn Vaughn (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.0%"
"106","Salvon Ahmed (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Darius Anderson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Lamical Perine (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"109","Artavis Pierce (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Patrick Taylor Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","DeeJay Dallas (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"112","Adrian Killins Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Xavier Jones (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Benny LeMay (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"115","Darius Bradwell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Tony Jones Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Levante Bellamy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.0%"
"119","Chandler Cox (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"120","Jeremy Cox (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"121","Khari Blasingame (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Bruce Anderson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Cullen Gillaspia (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"125","D'Andre Swift (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.0%"
"126","Cam Akers (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.0%"
"127","Zack Moss (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.0%"
"128","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.0%"
"129","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.0%"
"130","Derrick Gore (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","D'Ernest Johnson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Craig Reynolds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"133","Dalyn Dawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Alex Armah (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Dare Ogunbowale (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"136","William Stanback (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Elijhaa Penny (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"138","Troymaine Pope (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"139","Christian McCaffrey (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"140","Alvin Kamara (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"141","Wayne Gallman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"142","Samaje Perine (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Kareem Hunt (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.0%"
"144","Corey Clement (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Cethan Carter (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"146","James Conner (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.0%"
"147","T.J. Logan (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Brandon Wilson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","42.0%"
"149","Elijah McGuire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Ryan Nall (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Mike Boone (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"152","Reggie Bonnafon (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"153","Johnny Stanton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Dontrell Hilliard (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Nick Chubb (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"156","Jaylen Samuels (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"157","Myles Gaskin (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"158","Josh Adams (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Ronald Jones II (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.0%"
"160","Trey Edmunds (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Patrick Ricard (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"162","Bo Scarbrough (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
