"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Saquon Barkley (NYG)","22","189","8.6","67","3","1","4","4","90","22.5","1","0","1","39.9","39.9","100.0%"
"2","Kenyan Drake (ARI)","24","166","6.9","80","1","2","3","4","18","6.0","0","0","1","30.4","30.4","99.0%"
"3","Aaron Jones (GB)","23","154","6.7","56","1","2","2","3","6","3.0","0","1","1","26.0","26.0","100.0%"
"4","Devonta Freeman (FA)","13","53","4.1","17","0","1","9","10","74","8.2","1","0","1","24.7","24.7","39.0%"
"5","Alvin Kamara (NO)","11","80","7.3","40","1","2","6","7","30","5.0","0","0","1","23.0","23.0","100.0%"
"6","Miles Sanders (PHI)","20","79","4.0","38","1","1","5","6","77","15.4","0","0","1","21.6","21.6","99.0%"
"7","Phillip Lindsay (DEN)","19","109","5.7","27","1","1","2","3","9","4.5","0","0","1","17.8","17.8","88.0%"
"8","Christian McCaffrey (CAR)","13","54","4.2","14","0","0","15","15","119","7.9","0","0","1","17.3","17.3","100.0%"
"9","Ronald Jones II (TB)","14","77","5.5","49","1","1","3","4","32","10.7","0","0","1","16.9","16.9","89.0%"
"10","Todd Gurley (ATL)","15","48","3.2","8","0","2","0","2","0","0","0","0","1","16.8","16.8","99.0%"
"11","Melvin Gordon (DEN)","9","15","1.7","10","0","2","6","7","32","5.3","0","0","1","16.7","16.7","98.0%"
"12","DeAndre Washington (KC)","23","85","3.7","13","0","1","2","3","21","10.5","0","0","1","16.6","16.6","7.0%"
"13","Marlon Mack (IND)","16","95","5.9","30","1","1","2","2","6","3.0","0","0","1","16.1","16.1","87.0%"
"14","Damien Williams (KC)","16","65","4.1","12","0","0","3","3","27","9.0","1","0","1","15.2","15.2","50.0%"
"15","Mark Ingram II (BAL)","8","55","6.9","27","1","0","2","2","36","18.0","1","0","1","15.1","15.1","97.0%"
"16","Jordan Wilkins (IND)","9","84","9.3","38","1","1","0","0","0","0","0","0","1","14.4","14.4","1.0%"
"17","Rex Burkhead (NE)","5","20","4.0","6","0","1","4","4","77","19.3","0","1","1","13.7","13.7","2.0%"
"18","Nyheim Hines (IND)","1","4","4.0","4","0","0","1","1","2","2.0","0","0","1","12.6","12.6","23.0%"
"19","Myles Gaskin (MIA)","16","55","3.4","15","0","1","1","3","3","3.0","0","0","1","11.8","11.8","1.0%"
