"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Daniel Jones (NYG)","28","41","68.3","322","7.9","4","0","3","4","13","0","1","1","28.2","28.2","69.0%"
"2","Deshaun Watson (HOU)","27","39","69.2","279","7.2","3","0","3","10","46","0","0","1","27.8","27.8","99.0%"
"3","Aaron Rodgers (GB)","23","33","69.7","305","9.2","3","0","5","6","29","0","0","1","27.1","27.1","95.0%"
"4","Drew Brees (NO)","34","43","79.1","373","8.7","3","1","0","0","0","0","0","1","25.9","25.9","98.0%"
"5","Matthew Stafford (DET)","25","32","78.1","342","10.7","3","1","4","2","-3","0","0","1","24.4","24.4","90.0%"
"6","Gardner Minshew II (JAC)","22","34","64.7","279","8.2","3","0","2","8","28","0","1","1","24.0","24.0","33.0%"
"7","Derek Carr (LV)","18","30","60.0","285","9.5","3","0","0","0","0","0","0","1","23.4","23.4","33.0%"
"8","Jared Goff (LAR)","17","31","54.8","372","12.0","2","0","0","0","0","0","0","1","22.9","22.9","69.0%"
"9","Matt Schaub (ATL)","39","52","75.0","460","8.8","1","1","2","0","0","0","1","1","21.4","21.4","0.0%"
"10","Jameis Winston (NO)","21","43","48.8","301","7.0","2","2","3","8","53","0","2","1","21.3","21.3","5.0%"
"11","Ryan Tannehill (TEN)","21","33","63.6","193","5.8","3","0","3","4","-3","0","0","1","19.4","19.4","73.0%"
"12","Matt Moore (KC)","24","36","66.7","267","7.4","2","0","2","1","3","0","0","1","19.0","19.0","0.0%"
"13","Tom Brady (TB)","20","36","55.6","259","7.2","2","0","3","0","0","0","0","1","18.4","18.4","97.0%"
"14","Josh Allen (BUF)","16","34","47.1","169","5.0","2","0","4","8","45","0","1","1","17.3","17.3","98.0%"
"15","Andy Dalton (DAL)","32","52","61.5","329","6.3","1","0","5","1","4","0","0","1","17.2","17.2","2.0%"
"16","Mason Rudolph (PIT)","20","36","55.6","251","7.0","2","1","2","0","0","0","0","1","17.0","17.0","1.0%"
"17","Russell Wilson (SEA)","14","20","70.0","182","9.1","2","0","2","4","4","0","0","1","15.7","15.7","100.0%"
"18","Sam Darnold (NYJ)","21","30","70.0","218","7.3","2","3","8","1","-1","0","0","1","15.6","15.6","39.0%"
"19","Carson Wentz (PHI)","17","24","70.8","172","7.2","1","0","3","8","35","0","0","1","14.4","14.4","95.0%"
"20","Jimmy Garoppolo (SF)","18","22","81.8","175","8.0","2","1","3","0","0","0","0","1","14.0","14.0","67.0%"
"21","Ryan Fitzpatrick (MIA)","21","34","61.8","190","5.6","2","2","4","5","17","0","1","1","13.3","13.3","11.0%"
"22","Baker Mayfield (CLE)","20","31","64.5","194","6.3","1","1","5","1","18","0","0","1","12.6","12.6","80.0%"
"23","Taysom Hill (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","12.3","12.3","3.0%"
"24","Kirk Cousins (MIN)","23","26","88.5","285","11.0","0","0","3","2","2","0","0","1","11.6","11.6","56.0%"
"25","Philip Rivers (IND)","19","29","65.5","201","6.9","1","1","1","0","0","0","0","1","11.0","11.0","48.0%"
"26","Kyler Murray (ARI)","19","33","57.6","220","6.7","0","0","3","2","13","0","0","1","10.1","10.1","99.0%"
"27","Jacoby Brissett (IND)","15","25","60.0","202","8.1","0","0","4","6","34","0","1","1","9.5","9.5","2.0%"
"28","Mitch Trubisky (CHI)","23","35","65.7","253","7.2","0","1","4","4","10","0","1","1","8.1","8.1","6.0%"
"29","Joe Flacco (NYJ)","20","32","62.5","174","5.4","0","0","3","1","9","0","0","1","7.9","7.9","1.0%"
"30","Kyle Allen (WAS)","19","37","51.4","158","4.3","0","3","7","0","0","0","0","1","3.3","3.3","1.0%"
"31","Case Keenum (CLE)","12","16","75.0","130","8.1","0","0","2","0","0","0","1","1","3.2","3.2","1.0%"
"32","Dwayne Haskins (WAS)","3","5","60.0","33","6.6","0","1","2","0","0","0","0","1","0.3","0.3","10.0%"
"33","Jake Browning (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"34","Trace McSorley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Clayton Thorson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"36","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Brett Rypien (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Will Grier (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Drew Lock (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.0%"
"40","John Wolford (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Ryan Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","David Blough (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Jarrett Stidham (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"44","Joe Burrow (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.0%"
"45","Nate Stanley (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Bryce Perkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Anthony Gordon (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Tyler Huntley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Jalen Hurts (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"50","Jordan Love (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"51","Jake Fromm (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Jacob Eason (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"53","Tua Tagovailoa (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.0%"
"54","Jordan Ta'amu (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Justin Herbert (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"56","Devlin Hodges (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Jake Dolegala (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"59","Phillip Walker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Cooper Rush (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","C.J. Beathard (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Davis Webb (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Joshua Dobbs (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Chad Kelly (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Nathan Peterman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Patrick Mahomes (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"67","Lamar Jackson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"68","Kurt Benkert (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Tim Boyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Cole McDonald (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Alex McGough (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Danny Etling (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
