"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Russell Wilson (SEA)","32","50","64.0","406","8.1","2","0","0","7","51","2","0","1","41.3","41.3","100.0%"
"2","Daniel Jones (NYG)","23","36","63.9","336","9.3","2","0","5","4","28","2","2","1","34.2","34.2","69.0%"
"3","Patrick Mahomes (KC)","27","37","73.0","374","10.1","3","0","1","4","9","0","0","1","27.9","27.9","100.0%"
"4","Jameis Winston (NO)","23","37","62.2","380","10.3","3","1","4","4","3","0","0","1","26.5","26.5","5.0%"
"5","Deshaun Watson (HOU)","25","34","73.5","351","10.3","3","0","2","7","18","0","1","1","25.8","25.8","99.0%"
"6","Kyle Allen (WAS)","19","26","73.1","261","10.0","4","0","2","3","-1","0","1","1","24.3","24.3","1.0%"
"7","Matt Ryan (ATL)","29","34","85.3","304","8.9","3","1","0","2","3","0","0","1","23.5","23.5","97.0%"
"8","Dak Prescott (DAL)","19","32","59.4","246","7.7","2","1","1","2","7","1","0","1","23.5","23.5","99.0%"
"9","Carson Wentz (PHI)","19","36","52.8","259","7.2","2","0","3","4","33","0","0","1","21.7","21.7","95.0%"
"10","Lamar Jackson (BAL)","22","43","51.2","267","6.2","0","0","3","8","46","1","0","1","21.3","21.3","100.0%"
"11","Jacoby Brissett (IND)","28","37","75.7","310","8.4","2","0","1","3","4","0","0","1","20.8","20.8","2.0%"
"12","Mitch Trubisky (CHI)","25","31","80.6","231","7.5","3","1","3","1","2","0","0","1","20.4","20.4","6.0%"
"13","Tom Brady (TB)","28","42","66.7","306","7.3","2","0","0","2","-1","0","0","1","20.1","20.1","97.0%"
"14","Kyler Murray (ARI)","30","43","69.8","173","4.0","2","2","8","8","69","0","0","1","19.8","19.8","99.0%"
"15","Philip Rivers (IND)","31","46","67.4","318","6.9","2","0","5","2","9","0","1","1","19.6","19.6","48.0%"
"16","Josh Allen (BUF)","23","36","63.9","243","6.8","1","1","1","9","46","0","0","1","19.3","19.3","98.0%"
"17","Andy Dalton (DAL)","20","36","55.6","250","6.9","1","2","2","1","1","1","0","1","18.1","18.1","2.0%"
"18","Gardner Minshew II (JAC)","20","30","66.7","204","6.8","2","0","0","4","18","0","0","1","18.0","18.0","33.0%"
"19","Derek Carr (LV)","27","34","79.4","242","7.1","2","1","4","1","0","0","0","1","16.7","16.7","33.0%"
"20","Teddy Bridgewater (CAR)","19","27","70.4","177","6.6","2","0","0","3","12","0","0","1","16.3","16.3","37.0%"
"21","Jared Goff (LAR)","24","38","63.2","268","7.1","2","2","2","4","14","0","1","1","16.1","16.1","69.0%"
"22","Marcus Mariota (LV)","23","40","57.5","304","7.6","0","0","9","6","34","0","0","1","15.6","15.6","2.0%"
"23","Mason Rudolph (PIT)","14","27","51.9","174","6.4","2","1","2","4","15","0","0","1","15.5","15.5","1.0%"
"24","Case Keenum (CLE)","30","43","69.8","332","7.7","2","3","4","2","3","0","2","1","14.6","14.6","1.0%"
