"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","New England Patriots (NE)","5","4","0","2","0","0","1","1","29.0","29.0","96.0%"
"2","New York Giants (NYG)","3","4","0","0","1","0","0","1","24.0","24.0","1.0%"
"3","Pittsburgh Steelers (PIT)","8","1","1","2","0","0","0","1","19.0","19.0","99.0%"
"4","Chicago Bears (CHI)","6","0","2","3","0","0","0","1","17.0","17.0","93.0%"
"5","Seattle Seahawks (SEA)","4","1","0","0","1","0","0","1","16.0","16.0","53.0%"
"6","Tampa Bay Buccaneers (TB)","2","3","1","1","1","0","0","1","15.0","15.0","56.0%"
"7","Carolina Panthers (CAR)","6","1","1","1","0","0","0","1","14.0","14.0","2.0%"
"8","Kansas City Chiefs (KC)","4","0","2","2","1","0","0","1","13.0","13.0","94.0%"
"9","Tennessee Titans (TEN)","5","0","1","1","0","0","0","1","11.0","11.0","39.0%"
"10","New Orleans Saints (NO)","1","1","2","2","0","0","0","1","11.0","11.0","94.0%"
"11","Dallas Cowboys (DAL)","5","1","0","0","0","0","0","1","11.0","11.0","46.0%"
"12","Los Angeles Chargers (LAC)","5","1","0","2","0","0","0","1","11.0","11.0","66.0%"
"13","Cleveland Browns (CLE)","4","2","1","1","0","0","0","1","10.0","10.0","34.0%"
"14","Las Vegas Raiders (LV)","0","1","1","1","1","0","0","1","10.0","10.0","3.0%"
"15","Houston Texans (HOU)","3","0","3","3","0","0","0","1","10.0","10.0","10.0%"
"16","Washington Football Team (WAS)","0","2","2","2","0","0","0","1","9.0","9.0","14.0%"
"17","Buffalo Bills (BUF)","0","1","0","1","0","0","0","1","9.0","9.0","98.0%"
"18","Los Angeles Rams (LAR)","2","1","0","0","1","0","0","1","6.0","6.0","76.0%"
"19","Philadelphia Eagles (PHI)","1","1","1","1","0","0","0","1","5.0","5.0","65.0%"
"20","Denver Broncos (DEN)","5","0","0","1","0","0","0","1","5.0","5.0","69.0%"
"21","Detroit Lions (DET)","0","0","3","2","0","0","0","1","5.0","5.0","4.0%"
"22","Arizona Cardinals (ARI)","4","0","0","3","0","0","0","1","4.0","4.0","5.0%"
"23","Indianapolis Colts (IND)","1","0","1","0","0","0","0","1","3.0","3.0","74.0%"
"24","Minnesota Vikings (MIN)","1","0","0","0","0","0","0","1","2.0","2.0","86.0%"
"25","Jacksonville Jaguars (JAC)","0","1","0","0","0","0","0","1","2.0","2.0","4.0%"
"26","Cincinnati Bengals (CIN)","0","0","1","1","0","0","0","1","2.0","2.0","7.0%"
"27","New York Jets (NYJ)","0","0","0","0","0","0","0","0","0","0","29.0%"
"28","Atlanta Falcons (ATL)","0","0","0","3","0","0","0","1","0.0","0.0","2.0%"
"29","San Francisco 49ers (SF)","0","0","0","0","0","0","0","0","0","0","100.0%"
"30","Miami Dolphins (MIA)","1","0","0","0","0","0","0","1","0.0","0.0","3.0%"
"31","Green Bay Packers (GB)","0","0","0","0","0","0","0","1","-1.0","-1.0","32.0%"
"32","Baltimore Ravens (BAL)","1","1","0","0","0","0","0","1","-1.0","-1.0","99.0%"
""
""
