"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","New York Jets (NYJ)","1","1","1","0","1","0","0","1","18.0","18.0","29.0%"
"2","Seattle Seahawks (SEA)","3","2","3","3","0","0","0","1","17.0","17.0","53.0%"
"3","Tampa Bay Buccaneers (TB)","6","1","1","2","1","0","0","1","16.0","16.0","56.0%"
"4","Washington Football Team (WAS)","6","3","1","2","0","0","1","1","15.0","15.0","14.0%"
"5","Baltimore Ravens (BAL)","2","2","0","1","0","0","0","1","13.0","13.0","99.0%"
"6","Buffalo Bills (BUF)","4","1","0","0","0","0","0","1","13.0","13.0","98.0%"
"7","Pittsburgh Steelers (PIT)","4","0","2","3","0","0","0","1","12.0","12.0","99.0%"
"8","San Francisco 49ers (SF)","5","0","1","1","0","0","0","1","11.0","11.0","100.0%"
"9","Philadelphia Eagles (PHI)","6","1","1","1","0","0","0","1","11.0","11.0","65.0%"
"10","Cleveland Browns (CLE)","4","2","0","1","0","0","0","1","8.0","8.0","34.0%"
"11","Detroit Lions (DET)","3","1","1","1","0","0","0","1","8.0","8.0","4.0%"
"12","New York Giants (NYG)","2","2","0","0","0","0","0","1","7.0","7.0","1.0%"
"13","Tennessee Titans (TEN)","3","0","1","0","0","0","0","1","6.0","6.0","39.0%"
"14","Cincinnati Bengals (CIN)","3","1","0","0","0","0","0","1","6.0","6.0","7.0%"
"15","Dallas Cowboys (DAL)","2","0","0","1","0","0","0","1","6.0","6.0","46.0%"
"16","New England Patriots (NE)","0","1","0","2","0","0","0","1","6.0","6.0","96.0%"
"17","New Orleans Saints (NO)","4","0","1","1","0","0","0","1","5.0","5.0","94.0%"
"18","Denver Broncos (DEN)","1","1","0","0","0","0","0","1","4.0","4.0","69.0%"
"19","Indianapolis Colts (IND)","1","1","0","1","0","0","0","1","4.0","4.0","74.0%"
"20","Chicago Bears (CHI)","1","0","1","1","0","0","0","1","4.0","4.0","93.0%"
"21","Atlanta Falcons (ATL)","0","2","0","0","0","0","0","1","3.0","3.0","2.0%"
"22","Carolina Panthers (CAR)","2","1","0","0","0","0","0","1","3.0","3.0","2.0%"
"23","Las Vegas Raiders (LV)","1","0","1","0","0","0","0","1","2.0","2.0","3.0%"
"24","Houston Texans (HOU)","1","0","0","0","0","0","0","1","2.0","2.0","10.0%"
"25","Jacksonville Jaguars (JAC)","1","0","2","2","0","0","0","1","1.0","1.0","4.0%"
"26","Arizona Cardinals (ARI)","0","0","0","0","0","0","0","0","0","0","5.0%"
"27","Los Angeles Chargers (LAC)","0","0","0","0","0","0","0","0","0","0","66.0%"
"28","Minnesota Vikings (MIN)","0","0","0","0","0","0","0","0","0","0","86.0%"
"29","Kansas City Chiefs (KC)","0","0","0","0","0","0","0","0","0","0","94.0%"
"30","Los Angeles Rams (LAR)","3","0","0","0","0","0","0","1","-1.0","-1.0","76.0%"
"31","Green Bay Packers (GB)","3","0","0","0","0","0","0","1","-1.0","-1.0","32.0%"
"32","Miami Dolphins (MIA)","1","1","0","0","0","0","0","1","-1.0","-1.0","3.0%"
""
""
