"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","John Brown (BUF)","9","14","137","15.2","40","2","2","0","0","0","0","1","25.7","25.7","89.0%"
"2","D.J. Chark (JAC)","8","15","104","13.0","34","2","2","0","0","0","0","1","22.4","22.4","95.0%"
"3","Calvin Ridley (ATL)","8","8","143","17.9","36","3","1","0","0","0","0","1","20.3","20.3","96.0%"
"4","Stefon Diggs (BUF)","5","5","121","24.2","54","2","1","0","0","0","0","1","18.1","18.1","95.0%"
"5","Randall Cobb (HOU)","4","7","115","28.8","49","2","1","0","0","0","0","1","17.5","17.5","10.0%"
"6","Michael Thomas (NO)","8","10","114","14.3","41","1","1","0","0","0","0","1","17.4","17.4","100.0%"
"7","Marvin Jones (DET)","4","5","43","10.8","25","1","2","1","-4","0","0","1","15.9","15.9","76.0%"
"8","Jakeem Grant (MIA)","3","3","32","10.7","12","0","0","1","7","1","0","1","15.9","15.9","1.0%"
"9","Michael Gallup (DAL)","9","13","148","16.4","41","3","0","0","0","0","0","1","14.8","14.8","93.0%"
"10","Courtland Sutton (DEN)","5","9","113","22.6","48","2","0","2","10","0","0","1","13.8","13.8","97.0%"
"11","Jamison Crowder (NYJ)","5","8","76","15.2","29","1","1","0","0","0","0","1","13.6","13.6","55.0%"
"12","DeVante Parker (MIA)","7","10","135","19.3","50","2","0","0","0","0","0","1","13.5","13.5","96.0%"
"13","Deebo Samuel (SF)","8","10","134","16.8","26","4","0","0","0","0","0","1","13.4","13.4","89.0%"
"14","Keenan Allen (LAC)","8","12","71","8.9","30","1","1","0","0","0","0","1","13.1","13.1","96.0%"
"15","Chris Godwin (TB)","3","6","47","15.7","30","1","1","0","0","0","0","1","10.7","10.7","100.0%"
"16","Jarvis Landry (CLE)","4","7","43","10.8","25","1","1","0","0","0","0","1","10.3","10.3","92.0%"
"17","Julian Edelman (NE)","5","10","53","10.6","14","0","0","0","0","0","0","1","9.9","9.9","91.0%"
"18","Marcus Johnson (IND)","4","4","38","9.5","17","0","1","0","0","0","0","1","9.8","9.8","0.0%"
"19","D.J. Moore (CAR)","8","15","95","11.9","31","1","0","0","0","0","0","1","9.5","9.5","98.0%"
"20","Pharoh Cooper (CAR)","3","4","35","11.7","23","1","1","0","0","0","0","1","9.5","9.5","0.0%"
"21","Phillip Dorsett (SEA)","3","5","33","11.0","15","0","1","0","0","0","0","1","9.3","9.3","2.0%"
"22","Kendrick Bourne (SF)","4","6","31","7.8","19","0","1","0","0","0","0","1","9.1","9.1","2.0%"
"23","Julio Jones (ATL)","6","8","91","15.2","48","1","0","1","-4","0","0","1","8.7","8.7","100.0%"
"24","Tyrell Williams (LV)","4","4","82","20.5","24","3","0","0","0","0","0","1","8.2","8.2","23.0%"
"25","DeAndre Hopkins (ARI)","7","12","80","11.4","20","1","0","0","0","0","0","1","8.0","8.0","100.0%"
"26","Larry Fitzgerald (ARI)","5","5","37","7.4","12","0","1","0","0","0","1","1","7.7","7.7","23.0%"
"27","Tim Patrick (DEN)","4","8","77","19.3","38","2","0","0","0","0","0","1","7.7","7.7","0.0%"
"28","Mike Williams (LAC)","2","6","76","38.0","50","2","0","0","0","0","0","1","7.6","7.6","72.0%"
"29","Seth Roberts (CAR)","1","1","15","15.0","15","0","1","0","0","0","0","1","7.5","7.5","0.0%"
"30","Ted Ginn (CHI)","2","4","14","7.0","8","0","1","0","0","0","0","1","7.4","7.4","1.0%"
"31","Scott Miller (TB)","4","6","71","17.8","48","1","0","0","0","0","0","1","7.1","7.1","0.0%"
"32","Terry McLaurin (WAS)","3","4","69","23.0","41","2","0","0","0","0","0","1","6.9","6.9","95.0%"
"33","Mike Evans (TB)","4","8","69","17.3","27","2","0","0","0","0","0","1","6.9","6.9","100.0%"
"34","Hunter Renfrow (LV)","5","6","66","13.2","27","2","0","0","0","0","0","1","6.6","6.6","40.0%"
"35","Robby Anderson (CAR)","1","3","6","6.0","6","0","1","0","0","0","0","1","6.6","6.6","47.0%"
"36","Odell Beckham Jr. (CLE)","4","10","60","15.0","42","1","0","0","0","0","0","1","6.0","6.0","100.0%"
"37","Chris Conley (JAC)","6","8","58","9.7","24","1","0","0","0","0","0","1","5.8","5.8","3.0%"
"38","Richie James (SF)","1","1","57","57.0","57","1","0","0","0","0","0","1","5.7","5.7","0.0%"
"39","Taylor Gabriel (FA)","7","14","57","8.1","15","0","0","0","0","0","0","1","5.7","5.7","1.0%"
"40","Auden Tate (CIN)","4","6","56","14.0","20","1","0","0","0","0","0","1","5.6","5.6","2.0%"
"41","Anthony Miller (CHI)","6","11","54","9.0","16","0","0","0","0","0","0","1","5.4","5.4","50.0%"
"42","Cooper Kupp (LAR)","3","3","53","17.7","50","1","0","0","0","0","0","1","5.3","5.3","97.0%"
"43","Kelvin Harmon (WAS)","5","6","53","10.6","24","1","0","0","0","0","0","1","5.3","5.3","1.0%"
"44","Josh Reynolds (LAR)","3","6","55","18.3","26","1","0","1","-5","0","0","1","5.0","5.0","5.0%"
"45","James Washington (PIT)","3","5","49","16.3","22","1","0","0","0","0","0","1","4.9","4.9","21.0%"
"46","Danny Amendola (DET)","4","5","47","11.8","21","1","0","0","0","0","0","1","4.7","4.7","3.0%"
"47","Demaryius Thomas (FA)","4","5","44","11.0","17","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"48","Christian Kirk (ARI)","6","9","41","6.8","11","0","0","1","1","0","0","1","4.2","4.2","60.0%"
"49","Keelan Cole (JAC)","4","5","41","10.3","14","0","0","0","0","0","0","1","4.1","4.1","0.0%"
"50","Khadarel Hodge (CLE)","1","2","41","41.0","41","1","0","0","0","0","0","1","4.1","4.1","0.0%"
"51","Nelson Agholor (LV)","4","9","40","10.0","19","0","0","0","0","0","0","1","4.0","4.0","2.0%"
"52","Marvin Hall (DET)","1","1","39","39.0","39","1","0","0","0","0","0","1","3.9","3.9","0.0%"
"53","Amari Cooper (DAL)","3","8","38","12.7","16","0","0","0","0","0","0","1","3.8","3.8","99.0%"
"54","Cole Beasley (BUF)","4","4","38","9.5","15","0","0","0","0","0","0","1","3.8","3.8","11.0%"
"55","Olabisi Johnson (MIN)","6","9","35","5.8","9","0","0","0","0","0","0","1","3.5","3.5","1.0%"
"56","Kenny Golladay (DET)","1","5","34","34.0","34","1","0","0","0","0","0","1","3.4","3.4","99.0%"
"57","Emmanuel Sanders (NO)","3","5","33","11.0","14","0","0","0","0","0","0","1","3.3","3.3","73.0%"
"58","Allen Hurns (MIA)","4","6","53","13.3","20","1","0","0","0","0","1","1","3.3","3.3","0.0%"
"59","Russell Gage (ATL)","2","4","32","16.0","18","0","0","0","0","0","0","1","3.2","3.2","3.0%"
"60","Dede Westbrook (JAC)","4","6","32","8.0","15","0","0","0","0","0","0","1","3.2","3.2","14.0%"
"61","Isaiah McKenzie (BUF)","3","6","21","7.0","16","0","0","1","10","0","0","1","3.1","3.1","0.0%"
"62","Trey Quinn (WAS)","2","4","9","4.5","5","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"63","J.J. Arcega-Whiteside (PHI)","1","1","29","29.0","29","1","0","0","0","0","0","1","2.9","2.9","3.0%"
"64","Chester Rogers (MIA)","1","2","11","11.0","11","0","0","1","18","0","0","1","2.9","2.9","0.0%"
"65","Kenny Stills (HOU)","4","7","27","6.8","13","0","0","0","0","0","0","1","2.7","2.7","11.0%"
"66","Albert Wilson (MIA)","3","6","26","8.7","13","0","0","0","0","0","0","1","2.6","2.6","1.0%"
"67","Sammy Watkins (KC)","2","3","26","13.0","15","0","0","0","0","0","0","1","2.6","2.6","59.0%"
"68","Curtis Samuel (CAR)","4","6","25","6.3","14","0","0","0","0","0","0","1","2.5","2.5","40.0%"
"69","Keke Coutee (HOU)","3","3","25","8.3","11","0","0","0","0","0","0","1","2.5","2.5","1.0%"
"70","Zay Jones (LV)","3","3","25","8.3","13","0","0","0","0","0","0","1","2.5","2.5","1.0%"
"71","Tevin Jones (DAL)","2","4","24","12.0","16","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"72","Marquise Brown (BAL)","2","4","23","11.5","17","0","0","0","0","0","0","1","2.3","2.3","93.0%"
"73","JuJu Smith-Schuster (PIT)","2","4","21","10.5","16","0","0","0","0","0","0","1","2.1","2.1","99.0%"
"74","Breshad Perriman (NYJ)","1","3","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","39.0%"
"75","Jarius Wright (FA)","1","2","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"76","Johnny Holton (FA)","1","7","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"77","N'Keal Harry (NE)","3","4","18","6.0","11","0","0","0","0","0","0","1","1.8","1.8","47.0%"
"78","Zach Pascal (IND)","2","6","17","8.5","14","0","0","0","0","0","0","1","1.7","1.7","3.0%"
"79","Diontae Johnson (PIT)","2","4","17","8.5","13","0","0","0","0","0","0","1","1.7","1.7","82.0%"
"80","Allen Robinson (CHI)","4","6","15","3.8","6","0","0","0","0","0","0","1","1.5","1.5","99.0%"
"81","Justin Hardy (FA)","2","4","14","7.0","13","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"82","Willie Snead (BAL)","2","3","13","6.5","10","0","0","0","0","0","0","1","1.3","1.3","1.0%"
"83","Mecole Hardman (KC)","2","4","13","6.5","9","0","0","0","0","0","0","1","1.3","1.3","68.0%"
"84","Mohamed Sanu (NE)","2","4","4","2.0","3","0","0","1","8","0","0","1","1.2","1.2","7.0%"
"85","Javon Wims (CHI)","1","2","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"86","Tyler Boyd (CIN)","1","3","0","0.0","0","0","0","1","10","0","0","1","1.0","1.0","91.0%"
"87","Mike Thomas (CIN)","1","3","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"88","Byron Pringle (KC)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"89","Jakobi Meyers (NE)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","1.0%"
"90","Steven Sims (WAS)","2","4","6","3.0","9","0","0","0","0","0","0","1","0.6","0.6","7.0%"
"91","Jordan Matthews (FA)","1","6","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"92","Andy Isabella (ARI)","1","4","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","3.0%"
"93","Marquise Goodwin (PHI)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","1.0%"
"94","Christian Blake (ATL)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"95","Jordan Veasy (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Saeed Blacknall (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Devin Ross (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Rico Gafford (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Cam Batson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Steven Mitchell Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Codey McElroy (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Trent Sherfield (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"103","De'Mornay Pierson-El (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Chad Beebe (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Devin Gray (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Keith Kirkwood (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Cam Sims (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"108","Shaq Roland (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Stephen Carlson (CLE)","1","1","8","8.0","8","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"110","Trinity Benson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Tyron Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Jeff Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Penny Hart (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Michael Walker (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Nick Easley (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","John Ursua (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Darius Slayton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.0%"
"119","Quinton Bell (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"120","Juwann Winfree (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Ishmael Hyman (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"123","Jalen Guyton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Jason Moore (LAC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"125","Nsimba Webster (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Alex Bachman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Malik Henry (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Joe Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Deonte Harris (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"130","Olamide Zaccheaus (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"131","Malik Taylor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Kabion Ento (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Miles Boykin (BAL)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","4.0%"
"134","A.J. Brown (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.0%"
"135","DaMarkus Lodge (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Terry Godwin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Alexander Hollins (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","A.J. Richardson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
