"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Christian Kirk (ARI)","6","10","138","23.0","69","2","3","0","0","0","0","1","31.8","31.8","60.0%"
"2","Darius Slayton (NYG)","10","15","121","12.1","39","1","2","0","0","0","0","1","24.1","24.1","85.0%"
"3","Tyreek Hill (KC)","11","19","157","14.3","39","2","1","1","3","0","0","1","22.0","22.0","100.0%"
"4","Amari Cooper (DAL)","11","14","147","13.4","20","2","1","0","0","0","0","1","20.7","20.7","99.0%"
"5","Golden Tate (NYG)","4","8","95","23.8","61","1","2","0","0","0","1","1","19.5","19.5","45.0%"
"6","Randall Cobb (HOU)","6","8","106","17.7","24","4","1","0","0","0","0","1","16.6","16.6","10.0%"
"7","Jarvis Landry (CLE)","9","10","97","10.8","24","1","1","0","0","0","0","1","15.7","15.7","92.0%"
"8","Michael Thomas (NO)","13","14","152","11.7","18","0","0","0","0","0","0","1","15.2","15.2","100.0%"
"9","Jamison Crowder (NYJ)","5","6","81","16.2","25","2","1","0","0","0","0","1","14.1","14.1","55.0%"
"10","Marquise Brown (BAL)","4","4","80","20.0","49","2","1","0","0","0","0","1","14.0","14.0","93.0%"
"11","Michael Gallup (DAL)","4","10","76","19.0","25","2","1","0","0","0","0","1","13.6","13.6","93.0%"
"12","James Washington (PIT)","6","7","90","15.0","34","1","1","0","0","0","1","1","13.0","13.0","21.0%"
"13","Mecole Hardman (KC)","1","1","63","63.0","63","1","1","0","0","0","0","1","12.3","12.3","68.0%"
"14","Kendrick Bourne (SF)","4","8","42","10.5","16","0","1","0","0","0","0","1","12.2","12.2","2.0%"
"15","D.J. Moore (CAR)","9","11","120","13.3","38","2","0","0","0","0","0","1","12.0","12.0","98.0%"
"16","Davante Adams (GB)","7","10","118","16.9","38","2","0","0","0","0","0","1","11.8","11.8","100.0%"
"17","Kenny Golladay (DET)","3","9","57","19.0","47","1","1","0","0","0","0","1","11.7","11.7","99.0%"
"18","Deebo Samuel (SF)","8","11","112","14.0","30","2","0","0","0","0","0","1","11.2","11.2","89.0%"
"19","Taylor Gabriel (FA)","4","6","39","9.8","24","1","1","1","-1","0","0","1","9.8","9.8","1.0%"
"20","Robert Woods (LAR)","7","11","95","13.6","24","1","0","0","0","0","0","1","9.5","9.5","94.0%"
"21","Curtis Samuel (CAR)","4","8","35","8.8","15","0","1","0","0","0","0","1","9.5","9.5","40.0%"
"22","Allen Robinson (CHI)","6","9","86","14.3","33","1","0","0","0","0","0","1","8.6","8.6","99.0%"
"23","Keenan Allen (LAC)","8","11","68","8.5","26","1","0","1","18","0","0","1","8.6","8.6","96.0%"
"24","Demaryius Thomas (FA)","6","9","84","14.0","47","1","0","0","0","0","0","1","8.4","8.4","0.0%"
"25","Adam Humphries (TEN)","1","1","23","23.0","23","1","1","0","0","0","0","1","8.3","8.3","1.0%"
"26","Mike Evans (TB)","4","6","82","20.5","27","1","0","0","0","0","0","1","8.2","8.2","100.0%"
"27","Julio Jones (ATL)","3","9","79","26.3","54","1","0","0","0","0","0","1","7.9","7.9","100.0%"
"28","Andy Isabella (ARI)","3","3","78","26.0","55","1","0","0","0","0","0","1","7.8","7.8","3.0%"
"29","Marvin Jones (DET)","5","5","77","15.4","22","1","0","0","0","0","0","1","7.7","7.7","76.0%"
"30","John Brown (BUF)","5","11","77","15.4","21","1","0","0","0","0","0","1","7.7","7.7","89.0%"
"31","Chris Godwin (TB)","6","12","74","12.3","49","1","0","0","0","0","0","1","7.4","7.4","100.0%"
"32","Cole Beasley (BUF)","4","6","74","18.5","26","2","0","0","0","0","0","1","7.4","7.4","11.0%"
"33","Larry Fitzgerald (ARI)","8","8","71","8.9","24","1","0","0","0","0","0","1","7.1","7.1","23.0%"
"34","DeVante Parker (MIA)","5","10","69","13.8","21","2","0","0","0","0","0","1","6.9","6.9","96.0%"
"35","Rashard Higgins (CLE)","1","1","7","7.0","7","0","1","0","0","0","0","1","6.7","6.7","0.0%"
"36","Diontae Johnson (PIT)","4","6","64","16.0","30","1","0","0","0","0","0","1","6.4","6.4","82.0%"
"37","Tyler Boyd (CIN)","6","8","62","10.3","24","1","0","0","0","0","0","1","6.2","6.2","91.0%"
"38","Odell Beckham Jr. (CLE)","5","12","57","11.4","16","0","0","0","0","0","0","1","5.7","5.7","100.0%"
"39","Demarcus Robinson (KC)","4","5","56","14.0","23","2","0","0","0","0","0","1","5.6","5.6","2.0%"
"40","Mike Williams (LAC)","2","3","55","27.5","45","1","0","0","0","0","0","1","5.5","5.5","72.0%"
"41","Kalif Raymond (TEN)","1","1","52","52.0","52","1","0","0","0","0","0","1","5.2","5.2","0.0%"
"42","Sammy Watkins (KC)","5","9","39","7.8","10","0","0","2","12","0","0","1","5.1","5.1","59.0%"
"43","D.K. Metcalf (SEA)","6","10","70","11.7","25","1","0","0","0","0","1","1","5.0","5.0","97.0%"
"44","Josh Reynolds (LAR)","3","5","49","16.3","21","1","0","0","0","0","0","1","4.9","4.9","5.0%"
"45","Stefon Diggs (BUF)","3","6","49","16.3","27","1","0","0","0","0","0","1","4.9","4.9","95.0%"
"46","Calvin Ridley (ATL)","3","5","28","9.3","15","0","0","1","19","0","0","1","4.7","4.7","96.0%"
"47","JuJu Smith-Schuster (PIT)","3","5","44","14.7","20","1","0","0","0","0","0","1","4.4","4.4","99.0%"
"48","Hunter Renfrow (LV)","4","5","42","10.5","14","0","0","0","0","0","0","1","4.2","4.2","40.0%"
"49","Auden Tate (CIN)","3","6","36","12.0","15","0","0","0","0","0","0","1","3.6","3.6","2.0%"
"50","Bennie Fowler III (NO)","2","3","16","8.0","11","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"51","Malik Turner (FA)","2","2","35","17.5","28","1","0","0","0","0","0","1","3.5","3.5","0.0%"
"52","Scott Miller (TB)","2","3","33","16.5","28","1","0","0","0","0","0","1","3.3","3.3","0.0%"
"53","Allen Hurns (MIA)","2","4","32","16.0","18","0","0","0","0","0","0","1","3.2","3.2","0.0%"
"54","Chester Rogers (MIA)","2","4","31","15.5","20","1","0","0","0","0","0","1","3.1","3.1","0.0%"
"55","Pharoh Cooper (CAR)","2","5","29","14.5","26","1","0","0","0","0","0","1","2.9","2.9","0.0%"
"56","Danny Amendola (DET)","4","9","29","7.3","11","0","0","0","0","0","0","1","2.9","2.9","3.0%"
"57","Tyler Lockett (SEA)","3","4","26","8.7","13","0","0","1","3","0","0","1","2.9","2.9","97.0%"
"58","Allen Lazard (GB)","3","6","27","9.0","19","0","0","0","0","0","0","1","2.7","2.7","27.0%"
